Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Большеуковская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104					
1	"Число избирателей, внесенных в списки"	6876	1939	518	716	630	67	116	86	491	156	384	71	78	295	388	140	274	124	374	29					
2	"Число бюллетеней, полученных участковыми комиссиями"	6362	1720	500	650	600	68	112	79	450	155	340	74	77	280	350	139	260	127	350	31					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4466	1195	300	401	349	44	81	43	316	130	300	53	58	239	280	96	198	84	275	24					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	432	82	54	31	24	3	19	16	36	12	22	3	6	26	31	22	12	13	20	0					
6	Число погашенных бюллетеней	1464	443	146	218	227	21	12	20	98	13	18	18	13	15	39	21	50	30	55	7					
7	Число бюллетеней в переносных ящиках для голосования	432	82	54	31	24	3	19	16	36	12	22	3	6	26	31	22	12	13	20	0					
8	Число бюллетеней в стационарных ящиках для голосования	4384	1113	300	401	349	44	81	43	316	130	300	53	58	239	280	96	198	84	275	24					
9	Число недействительных бюллетеней	94	17	4	7	12	3	2	0	6	4	8	4	2	7	5	6	2	0	5	0					
10	Число действительных бюллетеней	4722	1178	350	425	361	44	98	59	346	138	314	52	62	258	306	112	208	97	290	24					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	25	6	10	10	2	2	2	5	5	5	2	2	2	5	2	5	3	5	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	36	11	2	4	7	0	0	0	0	0	1	0	0	0	2	2	5	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	6	0	1	0	1	0	2	2	2	4	0	3	2	1	0	0	1	0	1					
14	Число погашенных открепительных удостоверений	64	14	4	6	3	2	2	2	5	5	4	2	2	2	3	0	0	1	5	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	100	18	2	15	10	3	2	0	1	6	2	1	0	10	8	2	10	1	9	0					
		2.07%	1.50%	0.56%	3.47%	2.68%	6.38%	2.0%	0.0%	0.28%	4.22%	0.62%	1.78%	0.0%	3.77%	2.57%	1.69%	4.76%	1.03%	3.05%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	37	10	8	8	1	0	2	0	1	0	2	0	2	0	1	1	1	0	0	0					
		0.76%	0.83%	2.25%	1.85%	0.26%	0.0%	2.0%	0.0%	0.28%	0.0%	0.62%	0.0%	3.12%	0.0%	0.32%	0.84%	0.47%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	132	39	5	19	12	2	1	3	6	5	16	0	0	3	6	5	3	0	7	0					
		2.74%	3.26%	1.41%	4.39%	3.21%	4.25%	1.0%	5.08%	1.70%	3.52%	4.96%	0.0%	0.0%	1.13%	1.92%	4.23%	1.42%	0.0%	2.37%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	26	6	3	1	0	1	2	0	3	0	0	0	1	1	4	0	2	0	2	0					
		0.53%	0.50%	0.84%	0.23%	0.0%	2.12%	2.0%	0.0%	0.85%	0.0%	0.0%	0.0%	1.56%	0.37%	1.28%	0.0%	0.95%	0.0%	0.67%	0.0%					
22	"5. ""За Русь Святую"""	18	3	2	3	2	1	0	0	1	1	2	0	0	0	0	2	0	0	1	0					
