Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Канская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №2269					
1	"Число избирателей, внесенных в списки избирателей"	18867	904	103	112	244	248	54	557	174	147	400	1268	266	718	176	123	137	553	52	97	601	54	52	138	633	74	98	231	95	168	408	127	210	85	681	291	125	215	83	213	933	70	1667	181	193	227	877	355	190	258	125	161	195	2399	121					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18602	845	99	109	254	245	56	562	174	147	392	1218	253	687	169	119	136	560	49	95	584	53	53	134	633	74	97	216	94	170	401	123	204	83	688	278	119	205	88	204	918	73	1635	176	188	230	908	328	184	261	121	164	196	2431	119					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11947	561	59	67	181	160	44	352	88	106	288	765	194	499	126	85	121	390	42	74	414	39	41	112	411	51	76	134	68	127	325	102	134	66	400	215	86	163	83	163	660	51	940	103	111	112	499	259	124	138	60	86	98	1228	66					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	752	35	5	6	6	10	0	14	4	5	4	47	9	30	3	3	3	39	0	0	38	5	4	0	9	3	0	21	0	13	9	9	17	7	39	6	0	7	0	7	27	0	60	0	4	28	100	6	7	2	2	0	0	81	18					
6	Число погашенных избирательных бюллетеней	5903	249	35	36	67	75	12	196	82	36	100	406	50	158	40	31	12	131	7	21	132	9	8	22	213	20	21	61	26	30	67	12	53	10	249	57	33	35	5	34	231	22	635	73	73	90	309	63	53	121	59	78	98	1122	35					
7	Число избирательных бюллетеней в переносных ящиках для голосования	752	35	5	6	6	10	0	14	4	5	4	47	9	30	3	3	3	39	0	0	38	5	4	0	9	3	0	21	0	13	9	9	17	7	39	6	0	7	0	7	27	0	60	0	4	28	100	6	7	2	2	0	0	81	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11946	561	59	67	181	160	44	352	88	106	288	765	194	499	126	85	121	390	42	74	414	39	41	112	411	51	76	134	68	127	325	102	134	66	400	215	86	163	83	163	660	51	939	103	111	112	499	259	124	138	60	86	98	1228	66					
9	Число недействительных избирательных бюллетеней	141	4	2	0	3	2	0	10	0	1	3	15	7	7	3	0	5	1	0	2	7	0	0	0	3	0	0	0	3	0	1	0	2	0	2	3	1	2	2	3	7	2	10	0	1	1	2	2	0	0	0	2	3	14	3					
10	Число действительных избирательных бюллетеней	12557	592	62	73	184	168	44	356	92	110	289	797	196	522	126	88	119	428	42	72	445	44	45	112	417	54	76	155	65	140	333	111	149	73	437	218	85	168	81	167	680	49	989	103	114	139	597	263	131	140	62	84	95	1295	81					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	335	16	2	5	5	5	5	10	5	5	5	10	5	10	5	5	5	10	5	5	10	5	5	5	10	5	5	5	5	5	10	5	5	5	10	5	5	5	5	5	10	1	14	5	5	5	5	5	5	5	5	5	5	15	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	100	14	0	2	2	0	0	2	0	0	0	3	1	3	0	0	1	10	0	2	8	1	0	0	1	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	7	0	12	0	0	0	5	2	0	0	1	2	0	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	131	7	5	0	2	1	0	1	2	1	1	3	4	2	0	0	1	3	5	4	4	2	1	2	2	1	1	4	1	1	1	3	2	2	1	7	2	1	5	0	6	0	4	3	4	2	5	4	0	7	1	2	2	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	235	2	2	3	3	5	5	8	5	5	5	7	4	7	5	5	4	0	5	3	2	4	5	5	9	5	4	3	5	5	10	5	5	5	7	5	5	5	5	5	3	1	2	5	5	5	0	3	5	5	4	3	5	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	2	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
