Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Волжская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192					
1	"Число избирателей, внесенных в список"	57538	1682	1549	979	137	176	2422	512	404	1502	1528	2137	355	1248	847	381	653	186	130	1893	1841	1632	2143	977	308	262	617	1004	1020	338	493	1616	1867	1427	1802	1561	2221	1200	821	1180	1129	1662	1024	1890	1600	903	1481	1939	258	1488	331	782					
2	Число полученных избирательных бюллетеней	55950	1700	1500	900	120	170	2400	500	350	1500	1500	2100	300	1200	800	350	650	170	140	1900	1800	1600	2100	1000	300	250	500	1000	1100	350	450	1500	1800	1300	1800	1500	2200	1200	800	1100	1100	1600	1000	1900	1600	800	1500	1900	250	1400	300	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30329	741	641	363	91	77	1337	282	244	740	740	1072	191	627	405	223	327	117	53	916	901	790	1224	545	178	174	289	495	499	154	231	968	1356	1100	1024	983	1416	462	375	571	430	859	541	908	635	583	973	1011	134	748	170	415					
5	"Число избирательных бюллетеней, выданных вне помещения"	2780	104	164	139	18	77	64	17	10	38	65	46	7	50	34	26	31	32	44	58	28	32	65	65	40	19	37	14	44	38	20	17	16	168	6	31	41	171	39	29	134	41	22	40	44	58	101	135	37	136	20	68					
6	Число погашенных избирательных бюллетеней	22841	855	695	398	11	16	999	201	96	722	695	982	102	523	361	101	292	21	43	926	871	778	811	390	82	57	174	491	557	158	199	515	428	32	770	486	743	567	386	500	536	700	437	952	921	159	426	754	79	516	110	217					
7	Число избирательных бюллетеней в переносных ящиках	2780	104	164	139	18	77	64	17	10	38	65	46	7	50	34	26	31	32	44	58	28	32	65	65	40	19	37	14	44	38	20	17	16	168	6	31	41	171	39	29	134	41	22	40	44	58	101	135	37	136	20	68					
8	Число бюллетеней в стационарных ящиках для голосования	30328	741	641	363	91	77	1337	282	244	740	740	1072	191	627	405	223	327	117	53	916	901	790	1224	545	178	174	289	495	499	154	231	968	1356	1100	1024	983	1416	462	375	571	430	859	541	907	635	583	973	1011	134	748	170	415					
9	Число недействительных избирательных бюллетеней	464	12	8	9	2	3	19	6	3	10	16	24	4	22	6	2	9	0	0	27	0	9	12	3	6	3	3	5	3	0	6	11	3	10	8	7	10	11	8	9	10	17	13	18	13	12	27	27	1	11	3	3					
10	Число действительных избирательных бюллетеней	32644	833	797	493	107	151	1382	293	251	768	789	1094	194	655	433	247	349	149	97	947	929	813	1277	607	212	190	323	504	540	192	245	974	1369	1258	1022	1007	1447	622	406	591	554	883	550	929	666	629	1047	1119	170	873	187	480					
