Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №7																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619					
1	"Число избирателей, внесенных в список избирателей"	126640	1942	1989	1642	1393	1982	2132	1947	2470	1518	2644	1999	2395	2438	3165	1384	1888	1893	1927	2423	2200	1927	1965	1558	2526	1273	2337	1727	2156	320	2327	2480	2879	2944	2305	2220	1993	1909	2240	2299	1943	2337	2128	2467	2216	2079	2812	3028	2785	2721	2926	2139	2763	2306	2536	2528	2154	1853	2163					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	99500	1600	1600	1300	1100	1700	1700	1500	2000	1200	1900	1600	1900	2000	2400	1100	1400	1400	1500	1900	1700	1500	1500	1300	2000	900	1800	1400	1700	1000	1800	2000	1900	2000	1600	1500	1800	1500	1800	1900	2100	1600	1400	1700	1800	2200	2400	2400	2000	2100	2200	1700	2200	1700	2000	1900	1700	1400	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	71122	988	1028	796	763	1123	1119	953	1214	747	1460	1138	1269	1294	1490	703	996	1050	979	1234	1245	1141	962	839	1243	536	1078	946	1112	189	1107	1788	1686	1801	1202	1361	1200	1205	1327	1489	1750	1216	1155	1586	1536	1446	1730	1572	1810	1244	1905	1167	1693	1185	1491	1426	1149	1014	1246					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1980	23	14	8	17	23	34	20	31	15	24	29	17	14	12	10	13	19	19	17	15	9	9	20	18	2	24	12	24	110	20	169	22	15	19	86	18	13	12	271	24	29	23	22	23	10	19	307	9	22	19	44	45	11	27	32	18	28	21					
6	Число погашенных избирательных бюллетеней	26396	589	558	496	320	554	547	527	755	438	416	433	614	692	898	387	391	331	502	649	440	350	529	441	739	362	698	442	564	699	673	43	192	184	379	53	582	282	461	140	326	355	222	92	241	744	651	521	181	834	276	489	462	504	482	442	533	358	333					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1968	23	14	8	17	23	34	20	31	15	24	29	17	14	12	10	13	19	19	17	11	9	9	20	18	2	24	12	24	102	20	169	22	15	19	86	18	13	12	271	24	29	23	22	23	10	19	307	9	22	19	44	45	11	27	32	18	28	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70330	986	1026	796	762	1121	1116	953	1183	747	1456	1138	1252	1292	1490	700	995	1046	977	1234	1240	1128	962	839	1243	536	1068	946	1088	189	1107	1788	1637	1689	1183	1355	1200	1187	1292	1383	1750	1216	1114	1586	1536	1436	1603	1558	1790	1238	1886	1160	1682	1183	1464	1394	1149	1010	1245					
9	Число недействительных избирательных бюллетеней	1080	14	11	24	17	21	21	15	162	10	30	14	20	18	16	8	9	16	18	11	20	9	28	15	0	6	16	13	19	10	11	8	6	16	9	21	18	8	2	23	0	3	9	41	23	22	70	0	34	18	15	13	23	15	13	6	29	15	18					
10	Число действительных избирательных бюллетеней	71218	995	1029	780	762	1123	1129	958	1052	752	1450	1153	1249	1288	1486	702	999	1049	978	1240	1231	1128	943	844	1261	532	1076	945	1093	281	1116	1949	1653	1688	1193	1420	1200	1192	1302	1631	1774	1242	1128	1567	1536	1424	1552	1865	1765	1242	1890	1191	1704	1179	1478	1420	1138	1023	1248					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2340	40	40	40	40	40	40	40	40	40	40	40	40	40	50	40	40	40	40	40	50	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1291	23	25	15	13	22	23	15	26	13	28	20	19	33	45	12	18	16	21	20	42	30	13	21	23	14	14	14	19	0	23	18	33	28	19	10	27	22	30	28	22	25	21	28	16	20	26	36	30	23	19	19	29	22	27	27	21	19	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1002	10	9	9	18	10	10	12	12	17	6	15	10	10	10	12	16	20	9	13	13	6	11	8	4	4	23	8	10	32	10	215	30	17	17	41	8	7	4	13	13	25	13	11	11	15	0	13	26	26	24	15	21	18	9	16	11	17	9					
14	Число погашенных неиспользованных открепительных удостоверений	1049	17	15	25	27	18	17	25	14	27	12	20	21	7	5	28	22	24	19	20	8	10	27	19	17	26	26	26	21	40	17	22	7	12	21	30	13	18	10	12	18	15	19	12	24	20	14	4	10	17	21	21	11	18	13	13	19	21	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	3	2	0	2	0	0	0	0	0	0	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
