Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
"Наименование Избирательной комиссии:    Чебоксары, Ленинская"																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728					
1	"Число избирателей, внесенных в списки избирателей"	103470	1986	1473	1028	2617	2143	2278	2339	2211	2223	2158	2100	1872	2547	2010	2901	2894	2092	2604	2438	2817	2431	2061	2657	2709	2461	2793	2654	2411	2713	2062	2178	2543	2332	1883	2772	2486	2023	2570	2450	2602	1578	2586	2686	2225	360	92	161	260					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	93900	1900	1300	900	2200	2000	2000	2000	2000	1800	2000	1900	1700	2300	1700	2300	2300	2000	2400	2300	2500	2300	1800	2400	2500	2300	2500	2500	2400	2500	2000	2000	2000	2200	1700	2600	2400	1700	2400	2400	2500	1400	2400	2500	2000	400	100	200	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	63830	1179	1004	869	1740	1414	1483	1459	1492	1485	1328	1311	1132	1475	1204	1580	1994	1373	1740	1401	1710	1485	1373	1672	1604	1618	1784	1715	1472	1608	1075	1147	1371	1428	1109	1810	1490	1260	1425	1199	1351	932	1611	1701	1380	355	92	161	229					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1133	33	27	11	48	25	33	12	16	37	55	33	22	37	43	10	7	27	20	25	29	28	13	19	19	32	38	23	10	19	4	9	4	23	17	15	19	21	50	29	43	18	28	14	58	5	0	0	25					
6	Число погашенных избирательных бюллетеней	28937	688	269	20	412	561	484	529	492	278	617	556	546	788	453	710	299	600	640	874	761	787	414	709	877	650	678	762	918	873	921	844	625	749	574	775	891	419	925	1172	1106	450	761	785	562	40	8	39	46					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1133	33	27	11	48	25	33	12	16	37	55	33	22	37	43	10	7	27	20	25	29	28	13	19	19	32	38	23	10	19	4	9	4	23	17	15	19	21	50	29	43	18	28	14	58	5	0	0	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63798	1178	1003	869	1740	1414	1483	1457	1492	1485	1328	1311	1131	1474	1201	1579	1986	1371	1738	1401	1710	1485	1373	1672	1603	1618	1783	1715	1472	1608	1075	1146	1371	1428	1108	1805	1490	1260	1424	1199	1351	932	1611	1701	1380	355	92	161	229					
9	Число недействительных избирательных бюллетеней	924	12	16	18	31	15	34	21	18	28	16	28	26	19	19	17	28	26	37	14	26	15	9	17	23	19	21	24	32	16	11	18	28	18	17	24	20	17	17	19	20	7	32	18	23	1	4	1	4					
10	Число действительных избирательных бюллетеней	64007	1199	1014	862	1757	1424	1482	1448	1490	1494	1367	1316	1127	1492	1225	1572	1965	1372	1721	1412	1713	1498	1377	1674	1599	1631	1800	1714	1450	1611	1068	1137	1347	1433	1108	1796	1489	1264	1457	1209	1374	943	1607	1697	1415	359	88	160	250					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4418	98	70	70	110	130	90	90	80	80	90	80	70	90	60	100	130	80	120	110	130	110	80	110	115	100	120	130	100	120	120	80	120	140	105	140	100	90	90	120	80	70	110	120	70	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3719	90	47	63	79	115	73	89	74	70	46	47	48	90	57	100	98	76	97	76	74	88	79	83	104	75	102	103	98	116	106	79	116	124	105	137	94	89	89	61	80	60	67	100	55	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	5051	82	111	127	214	32	110	169	243	252	102	154	141	123	64	78	53	55	44	48	99	49	122	165	23	161	146	49	62	103	43	108	85	130	26	86	51	148	69	43	46	133	119	36	31	358	80	137	141					
14	Число погашенных неиспользованных открепительных удостоверений	699	8	23	7	31	15	17	1	6	10	44	33	22	0	3	0	32	4	23	34	56	22	1	27	11	25	18	27	2	4	14	1	4	16	0	3	6	1	1	59	0	10	43	20	15	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	82	0	1	3	2	3	4	4	3	4	0	1	2	0	1	2	5	1	1	2	1	0	2	1	0	2	3	2	1	5	1	5	3	1	1	4	1	0	1	1	2	2	2	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
