Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Тоджинская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3447	1379	309	705	694	163	197									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3608	1536	310	706	694	165	197									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	712	0	0	285	340	0	87									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1990	839	193	388	319	141	110									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	394	315	15	24	18	22	0									
6	Число погашенных избирательных бюллетеней	512	382	102	9	17	2	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1106	315	15	309	358	22	87									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1990	839	193	388	319	141	110									
9	Число недействительных избирательных бюллетеней	46	27	11	0	7	1	0									
10	Число действительных избирательных бюллетеней	3050	1127	197	697	670	162	197									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	26	13	3	5	5	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	26	13	3	5	5	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	14	11	1	1	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	8	1	2	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	11	3	1	4	3	0	0									
		0.36%	0.26%	0.48%	0.57%	0.44%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	45	26	6	2	4	2	5									
		1.45%	2.25%	2.88%	0.29%	0.59%	1.23%	2.54%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	31	17	5	2	4	3	0									
		1.00%	1.47%	2.40%	0.29%	0.59%	1.84%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2547	858	108	671	605	115	190									
		82.27%	74.35%	51.92%	96.27%	89.36%	70.55%	96.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	4	1	0	2	1	0									
		0.26%	0.35%	0.48%	0.00%	0.30%	0.61%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	5	0	0	2	0	0									
		0.23%	0.43%	0.00%	0.00%	0.30%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	117	52	41	3	1	20	0									
		3.78%	4.51%	19.71%	0.43%	0.15%	12.27%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	9	2	0	3	0	0									
		0.45%	0.78%	0.96%	0.00%	0.44%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	6	0	0	2	1	0									
		0.29%	0.52%	0.00%	0.00%	0.30%	0.61%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	2	1	0	1	0	0									
		0.13%	0.17%	0.48%	0.00%	0.15%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	14	6	8	1	3	0									
		1.03%	1.21%	2.88%	1.15%	0.15%	1.84%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	119	72	16	0	18	11	2									
		3.84%	6.24%	7.69%	0.00%	2.66%	6.75%	1.02%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	6	4	0	0	0	0									
		0.32%	0.52%	1.92%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	96	53	6	7	24	6	0									
		3.10%	4.59%	2.88%	1.00%	3.55%	3.68%	0.00%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
