Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:     Ханкайская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052					
1	"Число избирателей, внесенных в списки избирателей"	18165	1781	1815	2250	492	1595	1689	166	897	576	152	578	472	440	1202	178	174	508	454	442	122	261	950	455	313	91	112					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16910	1600	1670	2000	460	1500	1620	150	840	500	150	550	430	420	1150	180	173	450	430	420	115	250	900	455	300	92	105					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	37	0	21	0	18	0	19					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11475	1160	1253	1524	318	903	974	116	570	359	102	320	308	372	736	128	126	293	283	274	44	130	549	287	227	71	48					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	793	50	103	105	18	39	59	1	17	39	5	46	42	0	63	16	10	19	17	13	3	20	52	15	32	2	7					
6	Число погашенных избирательных бюллетеней	4527	390	314	371	124	558	587	33	253	102	43	184	80	48	351	36	37	138	130	113	31	100	278	153	23	19	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	903	45	103	105	18	39	59	1	17	39	5	46	42	0	63	16	10	19	17	33	40	20	73	15	50	2	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11388	1075	1251	1524	318	903	974	116	570	359	102	320	308	372	736	128	126	293	283	274	44	130	549	287	227	71	48					
9	Число недействительных избирательных бюллетеней	166	11	23	26	2	4	11	1	7	4	2	7	9	7	14	0	2	3	4	5	0	2	8	3	6	4	1					
10	Число действительных избирательных бюллетеней	12125	1109	1331	1603	334	938	1022	116	580	394	105	359	341	365	785	144	134	309	296	302	84	148	614	299	271	69	73					
