Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Первомайская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20178	2964	2874	2834	3057	1632	484	407	692	374	4480	380									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15700	2900	2800	2800	3000	1600	450	400	650	350	400	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12548	2388	2315	2077	2414	1190	373	255	568	304	329	335									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	299	13	17	24	23	56	24	92	6	37	0	7									
6	Число погашенных избирательных бюллетеней	2853	499	468	699	563	354	53	53	76	9	71	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	299	13	17	24	23	56	24	92	6	37	0	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12548	2388	2315	2077	2414	1190	373	255	568	304	329	335									
9	Число недействительных избирательных бюллетеней	117	25	68	8	0	11	0	0	1	1	3	0									
10	Число действительных избирательных бюллетеней	12730	2376	2264	2093	2437	1235	397	347	573	340	326	342									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	110	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	21	3	2	6	2	2	0	1	1	1	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	14	2	3	1	2	2	0	0	2	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	89	7	8	4	8	8	10	9	9	9	8	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	1	2	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	33	0	10	13	7	2	0	0	0	0	1	0									
		0.26%	0.00%	0.43%	0.62%	0.29%	0.16%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	195	0	30	55	80	12	0	0	5	0	5	8									
		1.52%	0.00%	1.29%	2.62%	3.28%	0.96%	0.00%	0.00%	0.87%	0.00%	1.52%	2.34%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	81	0	25	29	8	14	0	0	0	0	4	1									
		0.63%	0.00%	1.07%	1.38%	0.33%	1.12%	0.00%	0.00%	0.00%	0.00%	1.22%	0.29%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10048	1782	1849	1663	1827	1041	336	282	458	276	247	287									
		78.21%	74.22%	79.29%	79.15%	74.97%	83.55%	84.63%	81.27%	79.79%	80.94%	75.08%	83.92%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	0	4	5	3	2	0	0	0	0	1	0									
		0.12%	0.00%	0.17%	0.24%	0.12%	0.16%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	1	1	5	0	0	0	0	0	0	0									
		0.05%	0.00%	0.04%	0.05%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	926	201	149	180	187	79	26	16	42	24	22	0									
		7.21%	8.37%	6.39%	8.57%	7.67%	6.34%	6.55%	4.61%	7.32%	7.04%	6.69%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	33	0	6	7	15	1	0	0	4	0	0	0									
		0.26%	0.00%	0.26%	0.33%	0.62%	0.08%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	38	0	8	9	21	0	0	0	0	0	0	0									
		0.30%	0.00%	0.34%	0.43%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
