Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Пронская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630					
1	"Число избирателей, внесенных в списки"	27833	420	348	721	195	311	129	313	291	797	198	203	722	155	445	545	511	345	146	137	715	1107	1164	472	1765	1760	1843	1832	1916	2134	2029	1929	2235					
2	"Число бюллетеней, полученных участковыми комиссиями"	27574	421	344	714	188	309	133	309	417	787	196	206	709	157	440	546	505	346	144	136	698	1093	1159	471	1704	1722	1811	1810	1884	2063	2035	1915	2202					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15611	255	170	359	64	163	63	153	222	342	133	97	287	78	204	268	268	179	93	71	331	548	639	233	922	907	1103	1139	1223	1486	1175	1080	1356					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	824	24	23	41	47	44	35	37	69	36	19	1	9	5	12	8	46	27	3	23	55	52	40	29	7	17	25	17	25	20	13	7	8					
6	Число погашенных бюллетеней	11139	142	151	314	77	102	35	119	126	409	44	108	413	74	224	270	191	140	48	42	312	493	480	209	775	798	683	654	636	557	847	828	838					
7	Число бюллетеней в переносных ящиках для голосования	824	24	23	41	47	44	35	37	69	36	19	1	9	5	12	8	46	27	3	23	55	52	40	29	7	17	25	17	25	20	13	7	8					
8	Число бюллетеней в стационарных ящиках для голосования	15590	255	170	359	63	163	63	153	222	342	133	97	287	78	204	268	268	179	93	71	331	548	638	233	922	907	1103	1139	1223	1467	1175	1080	1356					
9	Число недействительных бюллетеней	217	2	5	14	4	5	5	3	5	6	3	6	2	2	2	1	7	2	4	2	6	15	6	8	9	11	11	7	19	18	16	5	6					
10	Число действительных бюллетеней	16197	277	188	386	106	202	93	187	286	372	149	92	294	81	214	275	307	204	92	92	380	585	672	254	920	913	1117	1149	1229	1469	1172	1082	1358					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	392	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	5	12	5	30	30	30	30	30	30	30	30	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	154	1	0	1	0	1	0	1	0	5	0	2	0	0	2	1	1	2	0	0	4	5	5	1	14	17	14	11	17	14	15	9	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	5	4	2	3	5	1	3	5	5	3	2	7	1	4	1	7	1	4	3	2	2	2	2	6	3	4	3	4	1	1	1	6					
14	Число погашенных открепительных удостоверений	238	4	5	4	5	4	5	4	5	5	5	3	5	5	3	4	4	3	5	5	1	0	7	4	16	13	16	19	13	16	15	21	14					
15	Число открепительных удостоверений выданных ТИК	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	2	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	204	6	8	14	2	7	2	4	3	10	5	1	2	1	4	2	5	6	0	2	0	8	7	3	10	9	8	10	5	12	17	19	12					
		1.24%	2.15%	4.14%	3.5%	1.81%	3.38%	2.04%	2.10%	1.03%	2.64%	3.28%	1.02%	0.67%	1.20%	1.85%	0.72%	1.59%	2.91%	0.0%	2.12%	0.0%	1.33%	1.03%	1.14%	1.07%	0.97%	0.70%	0.86%	0.40%	0.80%	1.43%	1.74%	0.87%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1446	2	3	15	3	6	3	9	28	5	2	6	8	2	7	12	4	12	2	2	11	28	41	2	91	88	148	135	144	235	141	97	154					
		8.80%	0.71%	1.55%	3.75%	2.72%	2.89%	3.06%	4.73%	9.62%	1.32%	1.31%	6.12%	2.70%	2.40%	3.24%	4.34%	1.27%	5.82%	2.08%	2.12%	2.84%	4.66%	6.04%	0.76%	9.79%	9.52%	13.12%	11.67%	11.53%	15.80%	11.86%	8.92%	11.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1330	12	25	38	19	4	5	23	33	32	7	9	23	10	25	50	26	21	10	9	51	75	65	30	56	62	107	83	64	115	67	85	89					
		8.10%	4.30%	12.95%	9.5%	17.27%	1.93%	5.10%	12.10%	11.34%	8.46%	4.60%	9.18%	7.77%	12.04%	11.57%	18.11%	8.28%	10.19%	10.41%	9.57%	13.21%	12.5%	9.58%	11.45%	6.02%	6.70%	9.48%	7.17%	5.12%	7.73%	5.63%	7.81%	6.52%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	314	5	3	11	0	1	0	1	2	7	1	0	2	1	5	5	2	2	2	2	8	6	6	2	20	17	20	21	27	44	33	28	30					
		1.91%	1.79%	1.55%	2.75%	0.0%	0.48%	0.0%	0.52%	0.68%	1.85%	0.65%	0.0%	0.67%	1.20%	2.31%	1.81%	0.63%	0.97%	2.08%	2.12%	2.07%	1.0%	0.88%	0.76%	2.15%	1.83%	1.77%	1.81%	2.16%	2.95%	2.77%	2.57%	2.19%					
22	"5. ""За Русь Святую"""	80	0	1	1	0	0	0	2	0	3	0	0	3	1	2	1	2	0	0	2	3	0	4	0	7	2	9	3	6	9	4	9	6					
		0.48%	0.0%	0.51%	0.25%	0.0%	0.0%	0.0%	1.05%	0.0%	0.79%	0.0%	0.0%	1.01%	1.20%	0.92%	0.36%	0.63%	0.0%	0.0%	2.12%	0.77%	0.0%	0.58%	0.0%	0.75%	0.21%	0.79%	0.25%	0.48%	0.60%	0.33%	0.82%	0.43%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	0	0	0	0	0	0	1	1	1	0	0	0	1	2	1	0	0	0	0	1	1	2	0	2	1	3	3	3	3	3	2	1					
