Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Облученская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21384	660	2034	1004	908	770	1658	1269	512	333	811	708	683	1634	332	357	374	1321	1012	806	293	306	125	143	322	331	359	389	419	418	417	326	350									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21750	700	2060	1010	915	770	1670	1270	535	335	880	695	645	1700	345	360	380	1335	1040	835	305	315	130	145	335	335	370	385	430	425	415	325	355									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	83	0	3	0	0	0	0	0	0	0	0	0	46	22	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7063	201	748	369	313	200	290	421	248	149	276	253	152	549	88	107	89	534	398	173	125	96	37	91	75	99	131	62	177	157	186	128	141									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	648	21	19	9	5	41	14	80	9	26	26	30	54	55	31	12	18	41	19	30	13	11	4	5	19	8	6	9	3	2	7	9	12									
6	Число погашенных избирательных бюллетеней	13956	478	1290	632	597	529	1366	769	278	160	578	412	393	1074	226	241	273	760	623	632	167	196	89	49	241	228	233	314	250	266	222	188	202									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	731	21	22	9	5	41	14	80	9	26	26	30	100	77	31	12	18	41	19	30	13	23	4	5	19	8	6	9	3	2	7	9	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7062	201	748	369	313	200	290	421	248	149	276	253	152	549	88	106	89	534	398	173	125	96	37	91	75	99	131	62	177	157	186	128	141									
9	Число недействительных избирательных бюллетеней	261	8	21	15	9	10	12	10	17	0	7	3	4	14	8	8	3	21	18	8	3	9	0	3	3	4	2	0	2	8	13	9	9									
10	Число действительных избирательных бюллетеней	7532	214	749	363	309	231	292	491	240	175	295	280	248	612	111	110	104	554	399	195	135	110	41	93	91	103	135	71	178	151	180	128	144									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	782	40	50	40	40	40	50	45	20	20	30	30	20	70	10	10	10	50	40	30	15	10	10	12	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	128	1	9	3	3	0	4	10	10	10	1	1	0	19	0	5	1	16	1	1	1	1	4	10	1	5	2	4	3	0	0	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	115	0	4	1	1	1	5	0	2	0	4	45	1	5	0	1	2	13	8	2	2	1	3	3	5	0	0	0	1	0	4	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	654	39	41	37	37	40	46	35	10	10	29	29	20	51	10	5	9	34	39	29	14	9	6	2	9	5	8	6	7	10	10	9	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	2	2	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
