Выборы Президента Российской Федерации											
											
Наименование Избирательной комиссии:    Соболевская											
											
Итоги голосования 											
											
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163					
1	"Число избирателей, внесенных в список"	2332	1465	391	390	86					
2	Число полученных избирательных бюллетеней	2400	1468	434	394	104					
3	"Число избирательных бюллетеней, выданных  досрочно"	33	0	2	28	3					
4	"Число избирательных бюллетеней, выданных в день голосования"	1278	779	206	236	57					
5	"Число избирательных бюллетеней, выданных вне помещения"	78	36	8	28	6					
6	Число погашенных избирательных бюллетеней	1011	653	218	102	38					
7	Число избирательных бюллетеней в переносных ящиках	111	36	10	56	9					
8	Число бюллетеней в стационарных ящиках для голосования	1278	779	206	236	57					
9	Число недействительных избирательных бюллетеней	2	0	1	0	1					
10	Число действительных избирательных бюллетеней	1387	815	215	292	65					
11	Число полученных открепительных  удостоверений	115	50	30	20	15					
12	Число выданных открепительных удостоверений	21	11	8	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	94	39	22	18	15					
15	"Число открепительных удостоверений, выданных в ТИК"	3	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"											
18	. Глазьев Сергей Юрьевич	50	28	15	5	2					
		3.60%	3.44%	6.94%	1.71%	3.03%					
19	. Малышкин Олег Александрович	30	15	8	6	1					
		2.16%	1.84%	3.70%	2.05%	1.52%					
20	. Миронов Сергей Михайлович	8	5	2	1	0					
		0.58%	0.61%	0.93%	0.34%	0.00%					
21	. Путин Владимир Владимирович	1087	634	152	255	46					
		78.26%	77.79%	70.37%	87.33%	69.70%					
22	. Хакамада Ирина Муцуовна	52	37	10	2	3					
		3.74%	4.54%	4.63%	0.68%	4.55%					
23	. Харитонов Николай Михайлович	114	74	15	16	9					
		8.21%	9.08%	6.94%	5.48%	13.64%					
											
24	Против всех	46	22	13	7	4					
		3.31%	2.70%	6.02%	2.40%	6.06%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
