Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
"Наименование Избирательной комиссии:    Кемерово, Рудничная"																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350					
1	"Число избирателей, внесенных в списки избирателей"	41019	2490	2460	2024	2230	2396	2400	2455	2442	1889	2216	2209	1437	2134	2111	1854	1924	1339	2775	2234					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	36000	2200	2100	1800	2000	2100	2100	2200	2000	1600	1900	1900	1300	1800	2000	1700	1700	1200	2300	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24134	1201	1456	998	1077	1465	1500	1570	1200	1318	1378	1383	732	1143	1532	939	1194	844	1656	1548					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2929	325	115	76	83	156	54	81	418	35	99	46	108	428	267	166	129	151	136	56					
6	Число погашенных избирательных бюллетеней	8937	674	529	726	840	479	546	549	382	247	423	471	460	229	201	595	377	205	508	496					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2929	325	115	76	83	156	54	81	418	35	99	46	108	428	267	166	129	151	136	56					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23968	1201	1456	998	1077	1309	1500	1570	1200	1318	1378	1377	732	1143	1532	938	1194	844	1653	1548					
9	Число недействительных избирательных бюллетеней	146	12	9	6	6	7	9	11	16	18	12	11	3	0	0	0	5	3	10	8					
10	Число действительных избирательных бюллетеней	26751	1514	1562	1068	1154	1458	1545	1640	1602	1335	1465	1412	837	1571	1799	1104	1318	992	1779	1596					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	792	36	40	32	32	37	49	51	37	51	48	42	28	50	42	37	36	28	64	52					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	792	36	40	32	32	37	49	51	37	51	48	42	28	50	42	37	36	28	64	52					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	471	17	40	19	17	29	19	26	13	26	21	76	16	17	16	17	11	25	58	8					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	1	2	1	0	3	6	4	5	5	2	7	1	6	2	0	5	0	5	3					
