Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    Иссинская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520					
1	"Число избирателей, внесенных в списки избирателей"	9846	782	74	144	416	148	258	74	383	114	104	201	1420	1488	1659	377	253	104	116	255	110	337	145	393	224	267					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9820	799	73	143	422	148	259	74	381	111	102	201	1390	1460	1660	378	254	104	118	253	111	340	146	401	221	271					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7008	606	64	83	309	108	194	58	314	92	82	143	973	861	983	327	203	93	95	215	94	301	103	301	163	243					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	891	67	5	43	34	28	46	10	41	11	12	38	85	136	99	29	29	5	14	15	6	14	26	60	38	0					
6	Число погашенных избирательных бюллетеней	1921	126	4	17	79	12	19	6	26	8	8	20	332	463	578	22	22	6	9	23	11	25	17	40	20	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	891	67	5	43	34	28	46	10	41	11	12	38	85	136	99	29	29	5	14	15	6	14	26	60	38	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7008	606	64	83	309	108	194	58	314	92	82	143	973	861	983	327	203	93	95	215	94	301	103	301	163	243					
9	Число недействительных избирательных бюллетеней	193	1	2	0	10	0	2	0	4	0	0	9	96	7	17	0	1	0	1	3	0	1	4	2	6	27					
10	Число действительных избирательных бюллетеней	7706	672	67	126	333	136	238	68	351	103	94	172	962	990	1065	356	231	98	108	227	100	314	125	359	195	216					
