Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Шабалинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9202	2038	800	1238	791	200	264	644	108	108	115	364	150	151	981	345	276	629									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9380	2062	812	1260	803	209	268	672	112	117	118	369	150	156	987	354	286	645									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3271	774	280	462	223	36	95	208	24	59	43	127	49	75	368	143	105	200									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	828	78	26	34	86	67	27	63	26	6	12	44	37	15	64	52	34	157									
6	Число погашенных избирательных бюллетеней	5281	1210	506	764	494	106	146	401	62	52	63	198	64	66	555	159	147	288									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	828	78	26	34	86	67	27	63	26	6	12	44	37	15	64	52	34	157									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3259	774	280	462	223	36	95	208	24	59	43	127	49	75	356	143	105	200									
9	Число недействительных избирательных бюллетеней	75	24	13	8	6	1	5	2	0	1	0	4	0	1	0	1	2	7									
10	Число действительных избирательных бюллетеней	4012	828	293	488	303	102	117	269	50	64	55	167	86	89	420	194	137	350									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	393	44	25	30	25	15	20	25	11	14	14	25	20	20	35	25	20	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	8	5	20	7	10	2	6	3	10	1	5	0	6	0	0	9	0									
