Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва										
Дата голосования: 04.12.2011										
										
Наименование Избирательной комиссии:    Эвено-Бытантайская										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №698	УИК №699	УИК №700					
1	"Число избирателей, внесенных в список избирателей"	1814	156	1222	436					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1900	150	1300	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	78	14	37	27					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1087	112	686	289					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	141	4	112	25					
6	Число погашенных избирательных бюллетеней	594	20	465	109					
7	Число избирательных бюллетеней в переносных ящиках для голосования	219	18	149	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1087	112	686	289					
9	Число недействительных избирательных бюллетеней	5	0	3	2					
10	Число действительных избирательных бюллетеней	1301	130	832	339					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	85	15	40	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	66	8	32	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	25	1	19	5					
14	Число погашенных неиспользованных открепительных удостоверений	19	7	8	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	10	1					
16	Число утраченных открепительных удостоверений	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	231	22	147	62					
		17.69%	16.92%	17.60%	18.18%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	24	0	16	8					
		1.84%	0.00%	1.92%	2.35%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	0	7	1					
		0.61%	0.00%	0.84%	0.29%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	198	19	144	35					
		15.16%	14.62%	17.25%	10.26%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	7	1	5	1					
		0.54%	0.77%	0.60%	0.29%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	831	88	511	232					
		63.63%	67.69%	61.20%	68.04%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	2	0	2	0					
		0.15%	0.00%	0.24%	0.00%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
