Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва										
Дата голосования: 02.12.2007										
										
Наименование Избирательной комиссии:    Эвено-Бытантайская										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №718	УИК №719	УИК №720					
1	"Число избирателей, внесенных в списки избирателей"	1708	160	1133	415					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1700	170	1090	440					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	101	19	64	18					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1171	127	701	343					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	125	4	106	15					
6	Число погашенных избирательных бюллетеней	303	20	219	64					
7	Число избирательных бюллетеней в переносных ящиках для голосования	226	23	170	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1170	127	701	342					
9	Число недействительных избирательных бюллетеней	6	3	2	1					
10	Число действительных избирательных бюллетеней	1390	147	869	374					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	85	10	50	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	55	7	24	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	23	1	22	0					
14	Число погашенных неиспользованных открепительных удостоверений	30	3	26	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0					
										
18	1.Политическая партия «Аграрная партия России»	14	2	9	3					
		1.00%	1.33%	1.03%	0.80%					
19	2.Всероссийская политическая партия «Гражданская Сила»	4	2	2	0					
		0.29%	1.33%	0.23%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	160	27	99	34					
		11.46%	18.00%	11.37%	9.07%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	12	1	9	2					
		0.86%	0.67%	1.03%	0.53%					
23	6.Политическая партия «Партия социальной справедливости»	2	0	2	0					
		0.14%	0.00%	0.23%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	32	5	15	12					
		2.29%	3.33%	1.72%	3.20%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	194	17	117	60					
		13.90%	11.33%	13.43%	16.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	6	0	4	2					
		0.43%	0.00%	0.46%	0.53%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	965	93	611	261					
		69.13%	62.00%	70.15%	69.60%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1	0	1	0					
		0.07%	0.00%	0.11%	0.00%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
