Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Иловлинская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846					
1	"Число избирателей, внесенных в списки"	25078	1767	1542	1828	1725	1282	723	330	188	614	205	323	1356	1342	177	457	103	583	195	651	775	234	149	260	604	178	937	1179	138	111	1687	345	245	803	111	90	61	706	118	153	633	170					
2	"Число бюллетеней, полученных участковыми комиссиями"	22735	1600	1300	1600	1500	1100	700	300	180	600	200	300	1200	1200	170	450	100	500	200	600	700	200	150	250	550	180	800	1000	140	110	1500	300	300	700	110	100	65	700	130	150	600	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13587	915	869	894	818	572	342	163	124	314	133	202	743	834	113	327	68	371	161	318	384	130	90	153	426	125	440	527	116	83	770	134	200	385	76	56	53	438	80	87	438	115					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	841	23	24	23	21	23	17	17	0	27	17	26	41	43	13	32	12	32	12	34	27	13	8	9	39	9	25	32	10	7	24	24	0	33	6	0	0	49	14	11	52	12					
6	Число погашенных бюллетеней	8302	659	407	683	661	505	341	120	56	259	50	72	416	321	44	91	20	97	27	248	289	57	52	88	85	46	335	441	14	20	706	142	100	282	28	44	12	213	36	52	110	73					
7	Число бюллетеней в переносных ящиках для голосования	841	23	24	23	21	23	17	17	0	27	17	26	41	43	13	32	12	32	12	34	27	13	8	9	39	9	25	32	10	7	24	24	0	33	6	0	0	49	14	11	52	12					
8	Число бюллетеней в стационарных ящиках для голосования	13584	913	868	894	818	572	342	163	124	314	133	202	743	834	113	327	68	371	161	318	384	130	90	153	426	125	440	527	116	83	770	134	200	385	76	56	53	438	80	87	438	115					
9	Число недействительных бюллетеней	320	18	12	15	18	11	4	5	0	9	2	2	16	11	6	2	0	10	0	17	21	8	1	1	10	1	25	11	0	4	16	5	9	8	1	0	0	17	6	1	8	9					
10	Число действительных бюллетеней	14105	918	880	902	821	584	355	175	124	332	148	226	768	866	120	357	80	393	173	335	390	135	97	161	455	133	440	548	126	86	778	153	191	410	81	56	53	470	88	97	482	118					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	210	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	50	7	3	4	1	1	2	1	0	1	2	1	1	1	0	2	0	2	0	1	3	0	0	0	0	0	2	5	0	0	2	0	0	2	0	0	0	5	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	133	5	2	3	6	1	0	0	0	9	3	0	1	4	1	2	4	0	0	0	0	0	0	0	0	0	10	3	2	0	2	4	65	3	0	1	0	1	0	0	1	0					
14	Число погашенных открепительных удостоверений	160	3	2	1	4	4	3	4	5	4	3	4	4	4	5	3	5	3	5	4	2	5	5	5	5	5	3	0	5	5	3	5	5	3	5	5	5	0	4	5	5	5					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	5	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	141	7	9	3	6	7	5	2	1	3	1	2	5	3	2	1	0	8	3	2	10	1	0	3	2	1	7	6	1	0	10	3	0	2	2	1	0	2	7	5	7	1					
		0.97%	0.74%	1.00%	0.32%	0.71%	1.17%	1.39%	1.11%	0.80%	0.87%	0.66%	0.87%	0.63%	0.34%	1.58%	0.27%	0.0%	1.98%	1.73%	0.56%	2.43%	0.69%	0.0%	1.85%	0.43%	0.74%	1.50%	1.07%	0.79%	0.0%	1.25%	1.89%	0.0%	0.47%	2.43%	1.78%	0.0%	0.41%	7.44%	5.10%	1.42%	0.78%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	362	28	25	30	22	32	11	1	8	6	3	6	8	17	3	6	1	15	0	6	3	1	2	4	20	0	16	9	1	4	22	3	3	13	1	0	0	10	9	3	9	1					
		2.50%	2.99%	2.80%	3.27%	2.62%	5.37%	3.06%	0.55%	6.45%	1.75%	2.0%	2.63%	1.02%	1.93%	2.38%	1.67%	1.25%	3.72%	0.0%	1.70%	0.72%	0.69%	2.04%	2.46%	4.30%	0.0%	3.44%	1.61%	0.79%	4.44%	2.77%	1.89%	1.5%	3.11%	1.21%	0.0%	0.0%	2.05%	9.57%	3.06%	1.83%	0.78%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	293	14	7	23	24	7	8	11	4	7	4	7	13	8	8	7	1	9	3	8	17	2	0	2	11	1	7	17	1	2	17	2	7	9	3	0	1	5	7	0	9	0					
