Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Ирбейская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №1288	УИК №1289	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №2343									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12680	452	323	274	31	433	106	289	435	219	562	141	2659	1050	271	179	179	295	158	152	42	118	593	388	42	44	76	498	101	143	564	152	187	52	26	299	80	432	195	110	128	202									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12600	451	323	271	33	424	105	287	424	214	549	140	2655	1050	267	176	178	294	158	148	44	116	586	385	43	45	78	491	103	141	560	151	187	53	28	294	80	434	196	110	127	201									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4836	154	99	114	11	197	50	122	189	105	225	62	951	338	120	82	99	112	76	87	29	56	162	150	20	15	30	162	60	53	212	48	59	24	16	121	35	140	63	42	65	81									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	241	5	3	11	0	16	2	4	6	5	7	1	17	10	2	0	1	10	1	6	0	4	44	16	2	7	0	9	7	4	5	11	7	0	1	5	2	6	1	0	2	1									
6	Число погашенных избирательных бюллетеней	7523	292	221	146	22	211	53	161	229	104	317	77	1687	702	145	94	78	172	81	55	15	56	380	219	21	23	48	320	36	84	343	92	121	29	11	168	43	288	132	68	60	119									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	241	5	3	11	0	16	2	4	6	5	7	1	17	10	2	0	1	10	1	6	0	4	44	16	2	7	0	9	7	4	5	11	7	0	1	5	2	6	1	0	2	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4836	154	99	114	11	197	50	122	189	105	225	62	951	338	120	82	99	112	76	87	29	56	162	150	20	15	30	162	60	53	212	48	59	24	16	121	35	140	63	42	65	81									
9	Число недействительных избирательных бюллетеней	109	15	0	9	0	3	0	1	5	1	4	2	20	4	1	3	1	5	0	1	1	4	3	3	0	0	2	4	1	0	7	0	1	0	0	2	0	3	0	2	0	1									
10	Число действительных избирательных бюллетеней	4968	144	102	116	11	210	52	125	190	109	228	61	948	344	121	79	99	117	77	92	28	56	203	163	22	22	28	167	66	57	210	59	65	24	17	124	37	143	64	40	67	81									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	435	15	11	9	3	14	4	9	14	8	18	5	84	36	9	6	6	9	6	6	3	4	20	13	3	3	3	16	4	5	19	6	7	3	3	9	4	14	7	5	5	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	2	1	0	2	0	0	3	0	0	7	0	22	9	2	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	2	2	2	2	3	0	1	2	1	1	3	4	4	0	0	0	1	1	1	0	3	3	0	1	1	0	1	0	1	0	0	0	1	1	1	2	2	1	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	376	13	10	9	1	14	4	6	14	8	11	5	62	27	7	6	6	8	6	6	3	4	19	11	3	3	3	16	4	5	19	6	7	3	2	9	4	9	7	5	5	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	55	0	0	2	0	4	1	3	1	0	4	1	15	6	0	1	0	1	0	1	0	2	1	1	0	0	0	3	2	0	1	1	1	0	0	0	0	1	2	0	0	0									
		1.08%	0.00%	0.00%	1.60%	0.00%	1.88%	1.92%	2.38%	0.51%	0.00%	1.72%	1.59%	1.55%	1.72%	0.00%	1.22%	0.00%	0.82%	0.00%	1.08%	0.00%	3.33%	0.49%	0.60%	0.00%	0.00%	0.00%	1.75%	2.99%	0.00%	0.46%	1.69%	1.52%	0.00%	0.00%	0.00%	0.00%	0.68%	3.13%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	177	4	1	3	0	2	3	2	3	3	9	3	31	12	2	3	4	14	2	10	1	3	10	6	0	0	0	2	1	2	10	3	1	0	0	6	2	8	0	4	3	4									
		3.49%	2.52%	0.98%	2.40%	0.00%	0.94%	5.77%	1.59%	1.54%	2.73%	3.88%	4.76%	3.20%	3.45%	1.64%	3.66%	4.00%	11.48%	2.60%	10.75%	3.45%	5.00%	4.85%	3.61%	0.00%	0.00%	0.00%	1.17%	1.49%	3.51%	4.61%	5.08%	1.52%	0.00%	0.00%	4.76%	5.41%	5.48%	0.00%	9.52%	4.48%	4.88%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	92	1	4	0	1	5	0	0	4	2	1	2	18	5	0	1	3	4	0	0	0	0	13	7	0	0	0	2	0	1	5	1	2	0	0	2	1	3	0	0	0	4									
		1.81%	0.63%	3.92%	0.00%	9.09%	2.35%	0.00%	0.00%	2.05%	1.82%	0.43%	3.17%	1.86%	1.44%	0.00%	1.22%	3.00%	3.28%	0.00%	0.00%	0.00%	0.00%	6.31%	4.22%	0.00%	0.00%	0.00%	1.17%	0.00%	1.75%	2.30%	1.69%	3.03%	0.00%	0.00%	1.59%	2.70%	2.05%	0.00%	0.00%	0.00%	4.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2279	61	56	65	5	126	16	62	105	58	115	25	382	147	59	42	44	30	29	54	12	19	82	93	14	11	15	97	44	30	95	23	22	12	11	54	8	59	25	12	33	27									
		44.89%	38.36%	54.90%	52.00%	45.45%	59.15%	30.77%	49.21%	53.85%	52.73%	49.57%	39.68%	39.46%	42.24%	48.36%	51.22%	44.00%	24.59%	37.66%	58.06%	41.38%	31.67%	39.81%	56.02%	63.64%	50.00%	50.00%	56.73%	65.67%	52.63%	43.78%	38.98%	33.33%	50.00%	64.71%	42.86%	21.62%	40.41%	39.06%	28.57%	49.25%	32.93%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	0	0	1	0	2	0	1	1	1	1	0	9	2	1	0	0	1	0	0	0	0	1	0	0	1	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0									
