Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Бугульминская городская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142					
1	"Число избирателей, внесенных в списки избирателей"	65544	2086	1437	1899	1478	1006	902	959	955	1036	1131	1052	1209	1394	1286	1237	1715	1120	1293	1731	1089	1178	1197	1120	1106	1090	1003	988	1196	1107	1970	1229	1260	888	1023	879	1285	1357	1614	2182	1358	1852	978	917	1234	1465	1806	1062	1385	1239	1014	831	233	483					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	65661	2145	1480	1881	1474	974	901	950	970	1048	1180	1028	1214	1361	1290	1240	1716	1055	1482	1641	1120	1229	1180	1113	1114	1089	920	937	1220	1093	1873	1184	1271	868	1033	858	1277	1537	1636	2180	1290	1851	964	930	1223	1448	1813	1043	1529	1241	1016	835	233	483					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	54122	1751	1204	1470	1184	781	696	766	787	853	952	864	1039	1149	1151	880	1204	907	1215	1332	844	1026	1040	962	870	876	788	811	950	848	1629	900	1074	671	832	654	1089	1289	1369	1836	1163	1564	857	702	841	1189	1591	952	1342	1031	915	716	233	483					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3583	64	52	69	55	74	72	54	31	57	26	42	51	65	32	200	300	95	78	105	62	50	37	50	69	73	69	60	61	38	45	139	38	56	58	115	40	68	84	36	24	42	16	95	217	62	50	26	43	138	43	57	0	0					
6	Число погашенных избирательных бюллетеней	7956	330	224	342	235	119	133	130	152	138	202	122	124	147	107	160	212	53	189	204	214	153	103	101	175	140	63	66	209	207	199	145	159	141	143	89	148	180	183	308	103	245	91	133	165	197	172	65	144	72	58	62	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3583	64	52	69	55	74	72	54	31	57	26	42	51	65	32	200	300	95	78	105	62	50	37	50	69	73	69	60	61	38	45	139	38	56	58	115	40	68	84	36	24	42	16	95	217	62	50	26	43	138	43	57	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54106	1751	1204	1470	1184	781	696	766	787	853	952	864	1039	1149	1151	877	1204	907	1215	1332	843	1026	1040	962	870	876	780	811	950	848	1629	900	1074	671	831	654	1089	1289	1369	1836	1163	1564	857	702	841	1189	1588	952	1342	1031	915	716	233	483					
9	Число недействительных избирательных бюллетеней	696	50	6	18	10	9	4	8	11	0	0	23	21	2	6	25	0	5	0	11	6	7	8	0	11	56	3	7	10	11	13	8	16	0	7	1	9	9	13	11	8	14	8	8	5	17	25	0	134	3	12	0	34	13					
10	Число действительных избирательных бюллетеней	56993	1765	1250	1521	1229	846	764	812	807	910	978	883	1069	1212	1177	1052	1504	997	1293	1426	899	1069	1069	1012	928	893	846	864	1001	875	1661	1031	1096	727	882	768	1120	1348	1440	1861	1179	1592	865	789	1053	1234	1613	978	1251	1166	946	773	199	470					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	769	34	15	25	25	10	10	13	10	10	10	22	20	15	15	13	12	10	12	20	10	10	10	10	10	10	10	10	15	15	23	17	10	8	15	13	10	20	22	49	10	15	10	15	16	15	30	8	22	10	10	10	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	693	34	15	25	25	7	10	13	10	10	10	22	13	7	14	13	6	9	9	17	10	10	10	10	10	10	10	10	15	15	23	16	10	8	15	13	10	11	16	47	10	10	10	15	16	15	30	2	22	3	6	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	524	15	6	8	4	7	0	3	0	5	1	7	4	3	7	0	0	6	5	7	7	0	4	1	5	0	27	13	3	9	7	2	6	1	0	4	1	4	1	16	0	2	7	5	1	2	2	23	0	4	1	4	0	274					
