Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва								
Дата голосования: 02.12.2007								
								
Наименование Избирательной комиссии:    Михайловская								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №1826					
1	"Число избирателей, внесенных в списки избирателей"	1006	1006					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	988	988					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	661	661					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	54	54					
6	Число погашенных избирательных бюллетеней	273	273					
7	Число избирательных бюллетеней в переносных ящиках для голосования	54	54					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	661	661					
9	Число недействительных избирательных бюллетеней	7	7					
10	Число действительных избирательных бюллетеней	708	708					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	99	99					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	13	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	23	23					
14	Число погашенных неиспользованных открепительных удостоверений	86	86					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1					
16	Число утраченных избирательных бюллетеней	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
17а	Число утраченных открепительных удостоверений	0	0					
17б	Число не учтенных открепительных удостоверений	0	0					
								
18	1.Политическая партия «Аграрная партия России»	7	7					
		0.98%	0.98%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6	6					
		0.84%	0.84%					
20	3.Политическая партия «Демократическая партия России»	0	0					
		0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	30	30					
		4.20%	4.20%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2	2					
		0.28%	0.28%					
23	6.Политическая партия «Партия социальной справедливости»	0	0					
		0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	54	54					
		7.55%	7.55%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	42	42					
		5.87%	5.87%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	2	2					
		0.28%	0.28%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	560	560					
		78.32%	78.32%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5	5					
		0.70%	0.70%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
