Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
Наименование Избирательной комиссии:    Тамбовская																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019					
1	"Число избирателей, внесенных в списки"	77220	2607	531	1163	1266	692	1357	1763	1523	385	1110	545	373	972	355	1110	823	487	793	2135	1303	138	488	531	1475	547	1511	249	3226	295	316	435	401	666	549	703	478	268	149	1673	858	1437	2903	1768	170	96	1589	1634	328	394	99	2553	2872	2972	2941	2857	1411	2134	2235	1594	1355	2941	726	2267	1019	676					
2	"Число бюллетеней, полученных участковыми комиссиями"	78016	2550	520	1150	1118	836	1380	1768	1501	381	1228	450	320	927	374	1120	830	490	850	2107	1330	143	485	580	1510	589	1439	264	3200	297	350	430	400	632	548	700	462	261	237	1724	926	1400	2890	1768	321	111	1640	1650	574	406	120	2550	2800	2950	3000	2785	1462	2168	2285	1565	1299	2968	733	2444	1030	690					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	34169	1303	229	528	449	366	586	698	605	215	453	261	176	348	133	379	249	234	329	946	500	77	244	235	599	287	714	106	1401	52	173	132	142	391	256	360	232	131	107	905	316	785	1324	925	153	47	689	617	267	204	59	991	1350	1362	1222	1298	639	931	1111	763	481	1335	364	858	330	217					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3615	40	19	47	186	7	77	68	84	40	32	20	6	59	72	36	39	95	74	69	25	9	95	80	76	0	129	71	69	45	24	41	52	110	90	50	53	39	42	44	51	150	25	46	17	0	160	140	61	32	20	20	15	18	19	29	99	71	16	23	105	69	14	66	74	61					
6	Число погашенных бюллетеней	40232	1207	272	575	483	463	717	1002	812	126	743	169	138	520	169	705	542	161	447	1092	805	57	146	265	835	302	596	87	1730	200	153	257	206	131	202	290	177	91	88	775	559	465	1541	797	151	64	791	893	246	170	41	1539	1435	1570	1759	1458	724	1166	1158	779	713	1564	355	1520	626	412					
7	Число бюллетеней в переносных ящиках для голосования	3614	40	19	47	186	7	77	68	84	40	32	20	6	59	72	36	39	95	74	69	25	9	95	80	76	0	129	71	69	45	24	41	52	110	90	50	53	39	42	44	51	150	25	46	17	0	160	140	61	32	20	20	15	18	19	29	99	71	16	23	104	69	14	66	74	61					
8	Число бюллетеней в стационарных ящиках для голосования	34128	1303	229	528	449	366	586	698	605	215	453	261	176	348	133	379	249	234	329	946	500	77	243	235	599	287	711	106	1396	52	173	132	142	391	256	360	232	131	107	905	316	785	1324	924	153	47	689	617	267	204	59	991	1350	1344	1220	1298	639	931	1111	762	478	1328	364	858	330	217					
9	Число недействительных бюллетеней	1424	9	13	24	6	13	17	23	35	4	27	14	7	15	4	26	3	19	16	40	28	4	9	17	32	5	39	10	30	1	7	5	13	17	29	34	12	17	3	29	17	25	42	25	6	1	56	46	22	5	0	0	14	34	26	59	42	18	35	32	35	101	34	27	52	14					
10	Число действительных бюллетеней	36318	1334	235	551	629	360	646	743	654	251	458	267	175	392	201	389	285	310	387	975	497	82	329	298	643	282	801	167	1435	96	190	168	181	484	317	376	273	153	146	920	350	910	1307	945	164	46	793	711	306	231	79	1011	1351	1328	1213	1268	696	984	1092	753	547	1296	344	897	352	264					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	649	15	10	10	10	5	10	10	10	5	10	10	5	5	5	5	5	5	5	10	10	5	5	5	5	5	10	5	10	5	5	10	10	5	5	10	5	5	3	10	5	10	15	15	5	5	7	10	10	10	5	25	25	25	25	24	10	15	15	15	20	20	15	15	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	193	5	0	1	1	3	0	9	2	1	1	1	0	1	0	1	0	4	1	5	4	0	0	0	1	1	1	0	10	0	0	0	0	0	0	0	0	0	0	5	1	1	14	9	0	0	5	1	2	0	0	2	13	7	22	10	5	10	12	8	0	3	0	10	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	197	3	2	0	0	2	1	5	3	5	3	1	0	12	0	1	3	12	3	6	3	2	1	3	2	0	6	0	5	2	0	4	4	4	0	3	7	1	1	1	1	2	6	7	5	3	1	2	2	0	0	3	8	7	4	6	5	1	0	2	3	6	6	1	3	2					
