Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Шелеховская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574					
1	"Число избирателей, внесенных в списки"	45172	972	1527	1843	2283	1858	1784	1599	2224	2117	2686	2832	2304	2669	1839	2100	2534	2382	1955	1528	560	259	881	1622	657	829	1328					
2	"Число бюллетеней, полученных участковыми комиссиями"	40680	885	1390	1655	2045	1660	1600	1435	1980	1995	2370	2520	2100	2400	1640	1910	2300	2145	1710	1370	500	240	810	1500	600	750	1170					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21535	332	522	890	1037	889	1012	905	1058	1145	1329	1425	1260	1297	999	1112	1354	1131	710	468	242	153	373	573	247	302	770					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	829	13	59	19	32	25	61	28	53	37	16	19	10	34	14	11	31	19	43	45	32	14	14	89	43	66	2					
6	Число погашенных бюллетеней	18317	540	809	746	976	747	527	502	869	813	1025	1076	830	1069	627	787	915	995	957	857	226	73	423	838	310	382	398					
7	Число бюллетеней в переносных ящиках для голосования	829	13	59	19	32	25	61	28	53	37	16	19	10	34	14	11	31	19	43	45	32	14	14	89	43	66	2					
8	Число бюллетеней в стационарных ящиках для голосования	21530	332	522	890	1035	887	1012	905	1058	1145	1329	1425	1259	1297	998	1112	1354	1131	710	468	242	153	373	573	247	302	771					
9	Число недействительных бюллетеней	251	4	3	15	16	15	14	7	17	12	12	6	5	10	9	13	23	9	8	10	5	3	4	11	8	6	6					
10	Число действительных бюллетеней	22108	341	578	894	1051	897	1059	926	1094	1170	1333	1438	1264	1321	1003	1110	1362	1141	745	503	269	164	383	651	282	362	767					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	462	5	20	20	25	25	25	25	25	25	25	25	25	25	25	25	25	25	10	10	5	2	10	5	5	5	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	155	1	1	3	3	2	16	10	5	8	10	7	12	6	5	13	11	5	5	6	0	0	5	3	0	3	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	140	4	2	2	6	4	5	2	3	7	9	5	4	6	1	1	5	2	18	13	7	11	6	5	5	7	0					
14	Число погашенных открепительных удостоверений	307	4	19	17	22	23	9	15	20	17	15	18	13	19	20	12	14	20	5	4	5	2	5	2	5	2	0					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	227	0	8	5	4	8	5	10	8	12	17	16	11	11	13	11	11	9	10	6	5	1	6	10	6	10	14					
		1.01%	0.0%	1.37%	0.55%	0.37%	0.87%	0.46%	1.07%	0.72%	1.01%	1.26%	1.10%	0.86%	0.82%	1.28%	0.97%	0.79%	0.78%	1.32%	1.16%	1.82%	0.59%	1.55%	1.51%	2.06%	2.71%	1.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	850	9	17	38	44	30	35	45	40	39	46	77	60	62	64	37	52	40	24	10	2	6	9	28	5	6	25					
		3.80%	2.60%	2.92%	4.18%	4.12%	3.28%	3.26%	4.82%	3.60%	3.29%	3.42%	5.33%	4.72%	4.65%	6.32%	3.29%	3.75%	3.47%	3.18%	1.94%	0.72%	3.59%	2.32%	4.22%	1.72%	1.63%	3.23%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	654	12	15	25	37	29	30	31	37	25	39	44	26	39	23	24	53	30	19	21	8	2	10	35	13	20	7					
		2.92%	3.47%	2.58%	2.75%	3.46%	3.17%	2.79%	3.32%	3.33%	2.11%	2.89%	3.04%	2.04%	2.93%	2.27%	2.13%	3.82%	2.60%	2.52%	4.09%	2.91%	1.19%	2.58%	5.28%	4.48%	5.43%	0.90%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1581	20	39	58	74	79	107	73	74	140	98	100	107	89	68	95	113	78	29	20	2	7	23	27	8	11	42					
		7.07%	5.79%	6.71%	6.38%	6.93%	8.66%	9.97%	7.82%	6.66%	11.84%	7.28%	6.92%	8.43%	6.68%	6.71%	8.45%	8.15%	6.78%	3.85%	3.89%	0.72%	4.19%	5.94%	4.07%	2.75%	2.98%	5.43%					
22	"5. ""За Русь Святую"""	89	2	2	2	4	8	2	2	4	2	8	10	3	4	5	3	7	3	2	1	2	0	3	3	0	3	4					
		0.39%	0.57%	0.34%	0.22%	0.37%	0.87%	0.18%	0.21%	0.36%	0.16%	0.59%	0.69%	0.23%	0.30%	0.49%	0.26%	0.50%	0.26%	0.26%	0.19%	0.72%	0.0%	0.77%	0.45%	0.0%	0.81%	0.51%					
23	"6. ""Объединенная Российская партия ""Русь"""	53	0	3	4	1	2	3	4	1	2	4	3	3	3	2	2	2	2	1	2	0	1	3	1	2	2	0					
		0.23%	0.0%	0.51%	0.44%	0.09%	0.21%	0.27%	0.42%	0.09%	0.16%	0.29%	0.20%	0.23%	0.22%	0.19%	0.17%	0.14%	0.17%	0.13%	0.38%	0.0%	0.59%	0.77%	0.15%	0.68%	0.54%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	241	3	5	4	13	7	9	16	5	14	13	26	21	20	13	14	10	13	4	3	5	0	0	3	3	8	9					
		1.07%	0.86%	0.86%	0.44%	1.21%	0.76%	0.83%	1.71%	0.45%	1.18%	0.96%	1.80%	1.65%	1.50%	1.28%	1.24%	0.72%	1.13%	0.53%	0.58%	1.82%	0.0%	0.0%	0.45%	1.03%	2.17%	1.16%					
25	"8. ""Народно-республиканская партия России"""	10	0	1	0	0	0	0	1	0	0	2	0	2	0	0	1	1	1	0	0	0	0	0	0	1	0	0					
		0.04%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.14%	0.0%	0.15%	0.0%	0.0%	0.08%	0.07%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	99	3	2	4	1	4	6	4	5	6	6	11	5	5	5	1	4	3	4	4	4	0	1	6	1	0	4					
		0.44%	0.86%	0.34%	0.44%	0.09%	0.43%	0.55%	0.42%	0.45%	0.50%	0.44%	0.76%	0.39%	0.37%	0.49%	0.08%	0.28%	0.26%	0.53%	0.77%	1.45%	0.0%	0.25%	0.90%	0.34%	0.0%	0.51%					
27	"10. ""Аграрная партия России"""	488	10	11	18	23	16	27	20	19	47	29	26	21	34	26	22	20	29	16	6	5	4	7	23	4	16	9					
		2.18%	2.89%	1.89%	1.98%	2.15%	1.75%	2.51%	2.14%	1.71%	3.97%	2.15%	1.80%	1.65%	2.55%	2.56%	1.95%	1.44%	2.52%	2.12%	1.16%	1.82%	2.39%	1.80%	3.47%	1.37%	4.34%	1.16%					
28	"11. ""Истинные патриоты России"""	17	1	0	1	2	1	1	1	0	0	4	0	2	0	0	1	2	0	1	0	0	0	0	0	0	0	0					
		0.07%	0.28%	0.0%	0.11%	0.18%	0.10%	0.09%	0.10%	0.0%	0.0%	0.29%	0.0%	0.15%	0.0%	0.0%	0.08%	0.14%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	147	3	3	3	9	9	4	3	4	5	13	9	6	6	1	16	10	11	8	4	1	0	2	4	1	7	5					
		0.65%	0.86%	0.51%	0.33%	0.84%	0.98%	0.37%	0.32%	0.36%	0.42%	0.96%	0.62%	0.47%	0.45%	0.09%	1.42%	0.72%	0.95%	1.06%	0.77%	0.36%	0.0%	0.51%	0.60%	0.34%	1.90%	0.64%					
30	"13. ""Демократическая партия России"""	52	2	0	5	2	2	5	1	4	1	5	5	4	2	2	1	2	0	0	0	1	0	3	1	0	1	3					
		0.23%	0.57%	0.0%	0.55%	0.18%	0.21%	0.46%	0.10%	0.36%	0.08%	0.37%	0.34%	0.31%	0.15%	0.19%	0.08%	0.14%	0.0%	0.0%	0.0%	0.36%	0.0%	0.77%	0.15%	0.0%	0.27%	0.38%					
31	"14. ""Великая Россия - Евразийский Союз"""	38	1	2	2	2	1	0	1	2	1	1	1	4	0	1	2	2	3	3	2	1	1	1	2	0	2	0					
		0.16%	0.28%	0.34%	0.22%	0.18%	0.10%	0.0%	0.10%	0.18%	0.08%	0.07%	0.06%	0.31%	0.0%	0.09%	0.17%	0.14%	0.26%	0.39%	0.38%	0.36%	0.59%	0.25%	0.30%	0.0%	0.54%	0.0%					
32	"15. ""Партия СЛОН"""	34	0	1	1	1	2	1	2	1	3	6	0	3	3	0	2	4	0	0	3	0	1	0	0	0	0	0					
