Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Новокуйбышевская городская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78					
1	"Число избирателей, внесенных в списки"	90574	3020	1758	1430	912	1480	1590	2580	2200	2364	2493	2386	2392	2682	502	1928	1227	1765	1861	2736	2385	2108	2839	2714	1945	1842	2750	1381	924	1840	1541	1844	1526	1563	1637	1719	1589	1413	1701	1084	1234	1847	2095	2692	1821	733	849	2047	1397	298	1910					
2	"Число бюллетеней, полученных участковыми комиссиями"	81530	2688	1574	1271	822	1337	1427	2323	1989	2128	2221	2131	2165	2440	431	1740	1117	1565	1693	2480	2153	1919	2558	2461	1754	1641	2483	1215	870	1659	1397	1610	1361	1412	1475	1562	1418	1271	1534	977	1116	1671	1877	2428	1623	663	776	1842	1300	271	1691					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	45118	1581	935	808	542	900	808	1287	1059	1278	1224	1245	1311	1421	174	1011	626	906	1004	1230	1226	980	1495	1443	1018	984	1300	511	390	851	758	761	786	771	850	883	848	758	886	527	579	824	1072	1344	697	277	289	1011	517	111	1021					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1736	11	45	43	14	26	36	19	16	22	32	29	27	41	32	40	25	33	45	33	20	47	36	36	13	52	63	82	25	45	17	63	30	31	49	35	48	27	24	17	6	34	23	39	95	27	64	11	72	24	12					
6	Число погашенных бюллетеней	34676	1096	594	420	266	411	583	1017	914	828	965	857	827	978	225	689	466	626	644	1217	907	892	1027	982	723	605	1120	622	455	763	622	786	545	610	576	644	522	486	624	433	531	813	782	1045	831	359	423	820	711	136	658					
7	Число бюллетеней в переносных ящиках для голосования	1736	11	45	43	14	26	36	19	16	22	32	29	27	41	32	40	25	33	45	33	20	47	36	36	13	52	63	82	25	45	17	63	30	31	49	35	48	27	24	17	6	34	23	39	95	27	64	11	72	24	12					
8	Число бюллетеней в стационарных ящиках для голосования	45103	1581	935	808	542	900	808	1287	1059	1278	1224	1244	1311	1421	174	1009	626	906	1004	1230	1226	980	1495	1443	1017	984	1292	511	390	851	758	761	786	771	850	883	848	758	886	526	579	823	1072	1344	696	277	289	1011	517	111	1021					
9	Число недействительных бюллетеней	841	5	13	8	9	7	18	31	9	27	21	23	26	20	1	21	11	16	6	17	15	12	25	18	17	42	26	7	20	16	14	17	16	27	22	15	16	22	31	19	10	9	21	31	14	7	16	13	16	4	14					
10	Число действительных бюллетеней	45998	1587	967	843	547	919	826	1275	1066	1273	1235	1250	1312	1442	205	1028	640	923	1043	1246	1231	1015	1506	1461	1013	994	1329	586	395	880	761	807	800	775	877	903	880	763	879	524	575	848	1074	1352	777	297	337	1009	573	131	1019					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	810	15	15	15	15	15	15	15	15	15	25	15	15	25	15	15	15	15	15	15	20	20	15	15	15	15	25	15	15	15	15	15	15	15	15	25	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	460	11	6	10	2	14	10	9	8	10	19	6	12	18	0	4	8	7	14	14	15	13	14	13	5	13	15	6	4	3	12	10	6	6	11	17	12	6	9	4	5	11	10	14	6	5	3	10	4	2	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	232	10	2	1	2	9	10	5	4	3	5	6	3	10	17	5	1	4	9	0	2	1	4	1	5	3	2	7	3	1	2	2	2	3	11	3	12	4	1	2	2	6	5	7	15	5	4	3	2	3	3					
14	Число погашенных открепительных удостоверений	350	4	9	5	13	1	5	6	7	5	6	9	3	7	15	11	7	8	1	1	5	7	1	2	10	2	10	9	11	12	3	5	9	9	4	8	3	9	6	11	10	4	5	1	9	10	12	5	11	13	11					
15	Число открепительных удостоверений выданных ТИК	7	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	"1. ""ЕДИНЕНИЕ"""	499	15	12	12	9	10	6	15	12	14	11	14	10	15	2	7	9	15	19	14	14	5	5	11	9	10	7	6	7	14	7	12	10	6	7	11	14	9	8	6	4	11	9	18	7	10	4	20	3	0	14					
		1.06%	0.94%	1.22%	1.41%	1.61%	1.07%	0.71%	1.14%	1.11%	1.07%	0.87%	1.09%	0.74%	1.02%	0.97%	0.66%	1.38%	1.59%	1.81%	1.10%	1.12%	0.48%	0.32%	0.74%	0.87%	0.96%	0.51%	1.01%	1.68%	1.56%	0.90%	1.45%	1.22%	0.74%	0.77%	1.19%	1.56%	1.14%	0.87%	1.10%	0.68%	1.28%	0.82%	1.30%	0.88%	3.28%	1.13%	1.95%	0.50%	0.0%	1.35%					
