Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Горнозаводская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21015	1432	1350	1335	1438	1428	1180	1536	433	1152	1255	773	337	1409	792	1908	858	429	652	455	485	378									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20580	1400	1350	1300	1400	1400	1150	1500	440	1150	1200	780	300	1410	750	1900	850	400	650	450	450	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	118	0	0	0	0	0	0	0	49	0	0	0	0	33	0	13	0	0	0	0	23	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5522	462	388	438	374	421	361	408	64	325	385	151	96	311	96	456	225	108	154	94	107	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	378	8	12	8	18	10	9	5	17	15	26	29	11	38	45	26	6	20	41	10	12	12									
6	Число погашенных избирательных бюллетеней	14562	930	950	854	1008	969	780	1087	310	810	789	600	193	1028	609	1405	619	272	455	346	308	240									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	496	8	12	8	18	10	9	5	66	15	26	29	11	71	45	39	6	20	41	10	35	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5519	462	388	438	373	420	360	408	64	325	385	151	96	311	96	456	225	108	154	94	107	98									
9	Число недействительных избирательных бюллетеней	253	26	15	14	23	16	12	24	1	21	13	9	2	10	7	32	8	5	7	3	4	1									
10	Число действительных избирательных бюллетеней	5762	444	385	432	368	414	357	389	129	319	398	171	105	372	134	463	223	123	188	101	138	109									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	660	40	40	40	40	40	40	40	15	35	35	15	10	40	30	50	30	20	30	20	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	83	4	9	7	5	13	0	6	2	2	6	6	0	3	1	9	4	1	1	2	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	1	3	4	2	6	3	4	2	0	4	3	2	4	0	1	1	1	4	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	577	36	31	33	35	27	40	34	13	33	29	9	10	37	29	41	26	19	29	18	30	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	4	1	3	3	7	8	2	1	0	2	0	2	0	0	0	1	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	67	8	2	5	4	4	6	5	1	5	5	4	0	6	0	7	2	0	1	0	2	0									
		1.11%	1.70%	0.50%	1.12%	1.02%	0.93%	1.63%	1.21%	0.77%	1.47%	1.22%	2.22%	0.00%	1.57%	0.00%	1.41%	0.87%	0.00%	0.51%	0.00%	1.41%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	207	13	11	17	14	11	9	12	2	18	12	11	1	17	5	29	8	2	6	3	2	4									
		3.44%	2.77%	2.75%	3.81%	3.58%	2.56%	2.44%	2.91%	1.54%	5.29%	2.92%	6.11%	0.93%	4.45%	3.55%	5.86%	3.46%	1.56%	3.08%	2.88%	1.41%	3.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	171	15	13	11	3	16	8	13	3	8	8	9	2	10	6	15	9	5	7	3	3	4									
		2.84%	3.19%	3.25%	2.47%	0.77%	3.72%	2.17%	3.15%	2.31%	2.35%	1.95%	5.00%	1.87%	2.62%	4.26%	3.03%	3.90%	3.91%	3.59%	2.88%	2.11%	3.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2399	146	156	147	155	151	143	166	83	134	172	71	65	156	46	183	98	61	92	34	74	66									
