Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Кизлярская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783					
1	"Число избирателей, внесенных в списки избирателей"	36714	1570	291	1297	290	1078	1230	359	1064	226	1043	234	268	1270	709	265	527	419	178	1225	1104	1076	186	221	582	1195	1092	624	788	491	1155	185	872	886	521	417	861	697	710	307	594	493	348	544	1331	122	311	406	1807	403	987	254	413	774	414					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35086	1491	276	1216	290	1024	1168	341	919	226	1108	222	268	1183	673	251	500	397	179	1163	1048	1076	186	221	548	1155	989	592	748	472	1097	175	828	842	494	396	820	662	674	292	651	468	348	544	1259	114	311	385	1716	382	937	241	392	735	393					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33702	1466	268	1216	270	1000	1134	341	865	220	1025	214	266	1177	673	241	482	396	178	1158	1026	826	165	203	477	1144	989	569	745	451	1028	172	800	817	451	396	820	652	660	280	541	468	327	536	1125	112	311	373	1662	376	881	240	392	726	371					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	404	0	0	0	4	0	0	0	50	0	0	0	0	6	0	0	0	0	0	0	0	159	0	0	60	0	0	0	0	0	20	3	0	0	0	0	0	0	0	0	21	0	0	0	60	0	0	2	0	0	19	0	0	0	0					
6	Число погашенных избирательных бюллетеней	980	25	8	0	16	24	34	0	4	6	83	8	2	0	0	10	18	1	1	5	22	91	21	18	11	11	0	23	3	21	49	0	28	25	43	0	0	10	14	12	89	0	21	8	74	2	0	10	54	6	37	1	0	9	22					
7	Число избирательных бюллетеней в переносных ящиках для голосования	404	0	0	0	4	0	0	0	50	0	0	0	0	6	0	0	0	0	0	0	0	159	0	0	60	0	0	0	0	0	20	3	0	0	0	0	0	0	0	0	21	0	0	0	60	0	0	2	0	0	19	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33702	1466	268	1216	270	1000	1134	341	865	220	1025	214	266	1177	673	241	482	396	178	1158	1026	826	165	203	477	1144	989	569	745	451	1028	172	800	817	451	396	820	652	660	280	541	468	327	536	1125	112	311	373	1662	376	881	240	392	726	371					
9	Число недействительных избирательных бюллетеней	160	3	0	3	0	0	0	0	0	8	3	0	5	3	24	10	0	7	8	4	0	0	1	4	0	0	0	2	0	2	4	0	11	0	0	0	2	13	1	2	4	0	2	2	0	0	0	0	4	0	9	0	9	4	6					
10	Число действительных избирательных бюллетеней	33946	1463	268	1213	274	1000	1134	341	915	212	1022	214	261	1180	649	231	482	389	170	1154	1026	985	164	199	537	1144	989	567	745	449	1044	175	789	817	451	396	818	639	659	278	558	468	325	534	1185	112	311	375	1658	376	891	240	383	722	365					
