Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Район Капотня																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №3116	УИК  5064	УИК  5065	УИК  5215	УИК  5260	УИК  5262	УИК  5281					
1	"Число избирателей, внесенных в списки"	20844	2381	2168	2256	2674	2441	2624	2878	356	656	468	233	809	523	377					
2	"Число бюллетеней, полученных участковыми комиссиями"	62250	2200	2000	2100	2500	2200	2400	2600	380	10000	5000	1200	11170	12000	6500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12823	1334	1243	1323	1494	1271	1439	1527	210	656	466	233	804	453	370					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	506	46	24	42	48	26	31	63	146	0	0	0	5	70	5					
6	Число погашенных бюллетеней	48919	820	733	735	958	903	930	1010	24	9344	4532	967	10361	11477	6125					
7	Число бюллетеней в переносных ящиках для голосования	506	46	24	42	48	26	31	63	146	0	0	0	5	70	5					
8	Число бюллетеней в стационарных ящиках для голосования	12734	1334	1243	1323	1424	1271	1439	1508	210	655	468	233	803	453	370					
9	Число недействительных бюллетеней	196	32	15	28	29	21	25	29	2	6	0	1	4	1	3					
10	Число действительных бюллетеней	13044	1348	1252	1337	1443	1276	1445	1542	354	649	468	232	804	522	372					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1111	70	60	66	76	72	74	80	0	0	10	3	300	300	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	131	9	25	17	18	15	18	24	0	0	1	0	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	216	5	35	2	15	24	25	5	12	2	3	0	48	40	0					
14	Число погашенных открепительных удостоверений	980	61	35	49	58	57	56	56	0	0	9	3	297	299	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	111	8	5	14	12	11	10	14	9	8	3	3	9	3	2					
		0.83%	0.57%	0.39%	1.02%	0.81%	0.84%	0.68%	0.89%	2.52%	1.22%	0.64%	1.28%	1.11%	0.57%	0.53%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	622	40	52	43	46	59	68	54	8	31	10	22	96	60	33					
		4.69%	2.89%	4.10%	3.15%	3.12%	4.54%	4.62%	3.43%	2.24%	4.73%	2.13%	9.44%	11.88%	11.47%	8.8%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	312	32	19	53	50	24	37	38	11	9	5	6	5	16	7					
		2.35%	2.31%	1.49%	3.88%	3.39%	1.85%	2.51%	2.41%	3.08%	1.37%	1.06%	2.57%	0.61%	3.05%	1.86%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	761	88	50	80	60	72	82	74	17	34	15	33	64	58	34					
		5.74%	6.37%	3.94%	5.86%	4.07%	5.55%	5.57%	4.71%	4.77%	5.19%	3.20%	14.16%	7.92%	11.08%	9.06%					
22	"5. ""За Русь Святую"""	93	6	14	13	9	8	13	11	0	4	5	0	7	3	0					
		0.70%	0.43%	1.10%	0.95%	0.61%	0.61%	0.88%	0.70%	0.0%	0.61%	1.06%	0.0%	0.86%	0.57%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	33	3	2	4	4	6	4	3	5	2	0	0	0	0	0					
