Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Тюкалинская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765					
1	"Число избирателей, внесенных в список избирателей"	20426	1331	437	1368	834	1156	258	1008	444	1070	908	621	60	40	87	309	335	72	225	182	269	136	82	415	109	83	87	603	92	68	398	59	73	104	523	178	146	500	56	68	590	66	336	105	610	68	65	97	895	504	90	760	93	363	113	498	87	160	132					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20500	1300	300	1300	850	1150	250	1000	400	1000	950	600	62	43	88	307	385	91	230	194	270	149	81	440	129	92	89	585	94	71	410	62	71	107	545	200	155	515	64	71	580	70	380	120	608	70	70	102	900	558	92	805	95	345	105	515	88	162	135					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11109	661	143	631	392	649	104	572	232	461	434	331	40	31	50	175	213	9	133	126	191	72	49	241	25	69	74	316	28	57	291	0	40	81	280	89	76	285	8	52	431	47	226	60	295	54	63	94	535	313	61	375	54	234	60	266	51	97	82					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2008	35	84	79	22	58	47	68	17	80	35	38	2	0	12	43	28	51	16	3	14	29	5	57	57	3	4	87	41	0	42	53	20	6	47	46	34	51	32	7	118	14	42	26	68	0	2	0	73	66	3	77	21	47	38	26	6	16	12					
6	Число погашенных избирательных бюллетеней	7383	604	73	590	436	443	99	360	151	459	481	231	20	12	26	89	144	31	81	65	65	48	27	142	47	20	11	182	25	14	77	9	11	20	218	65	45	179	24	12	31	9	112	34	245	16	5	8	292	179	28	353	20	64	7	223	31	49	41					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2008	35	84	79	22	58	47	68	17	80	35	38	2	0	12	43	28	51	16	3	14	29	5	57	57	3	4	87	41	0	42	53	20	6	47	46	34	51	32	7	118	14	42	26	68	0	2	0	73	66	3	77	21	47	38	26	6	16	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11109	661	143	631	392	649	104	572	232	461	434	331	40	31	50	175	213	9	133	126	191	72	49	241	25	69	74	316	28	57	291	0	40	81	280	89	76	285	8	52	431	47	226	60	295	54	63	94	535	313	61	375	54	234	60	266	51	97	82					
9	Число недействительных избирательных бюллетеней	213	13	8	10	7	8	2	12	7	10	9	6	1	0	0	5	2	1	4	3	5	5	2	3	0	1	1	2	0	1	4	0	2	0	5	0	0	9	0	0	2	0	1	1	6	0	1	0	15	6	0	6	4	7	3	9	2	0	2					
10	Число действительных избирательных бюллетеней	12904	683	219	700	407	699	149	628	242	531	460	363	41	31	62	213	239	59	145	126	200	96	52	295	82	71	77	401	69	56	329	53	58	87	322	135	110	327	40	59	547	61	267	85	357	54	64	94	593	373	64	446	71	274	95	283	55	113	92					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	676	20	5	35	20	25	10	50	30	20	25	14	2	2	2	5	27	2	3	8	16	2	2	29	16	2	2	10	2	3	9	2	2	2	26	5	2	26	4	2	23	2	12	3	14	2	2	2	30	43	2	33	2	18	4	10	1	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	569	18	5	24	20	25	10	41	17	7	25	11	0	0	0	4	27	2	3	2	10	2	1	29	16	2	2	4	0	3	8	0	0	2	24	0	2	26	4	0	17	2	12	3	14	0	2	2	28	43	0	33	0	18	4	10	1	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	137	9	3	4	5	0	2	7	11	4	3	4	1	1	2	2	1	1	1	4	0	1	1	4	1	1	1	2	1	2	6	0	2	2	5	2	1	4	1	1	1	5	0	1	0	1	0	1	3	6	1	0	2	4	3	1	1	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	107	2	0	11	0	0	0	9	13	13	0	3	2	2	2	1	0	0	0	6	6	0	1	0	0	0	0	6	2	0	1	2	2	0	2	5	0	0	0	2	6	0	0	0	0	2	0	0	2	0	2	0	2	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	2	1	6	0	0	2	0	1	2	2	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1335	80	13	67	56	76	19	68	36	77	53	52	1	2	2	19	26	4	23	10	28	3	5	19	9	3	3	49	5	3	24	2	2	7	30	10	17	23	5	1	23	4	19	7	50	2	3	14	79	30	1	45	2	25	22	42	7	18	10					
		10.18%	11.49%	5.73%	9.44%	13.53%	10.75%	12.58%	10.63%	14.46%	14.23%	11.30%	14.09%	2.38%	6.45%	3.23%	8.72%	10.79%	6.67%	15.44%	7.75%	13.66%	2.97%	9.26%	6.38%	10.98%	4.17%	3.85%	12.16%	7.25%	5.26%	7.21%	3.77%	3.33%	8.05%	9.17%	7.41%	15.45%	6.85%	12.50%	1.69%	4.19%	6.56%	7.09%	8.14%	13.77%	3.70%	4.62%	14.89%	12.99%	7.92%	1.56%	9.96%	2.67%	8.90%	22.45%	14.38%	12.28%	15.93%	10.64%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1715	80	39	97	52	94	20	70	37	63	68	51	3	4	10	21	34	7	29	24	33	5	4	25	14	0	8	67	11	14	42	4	3	10	46	10	14	58	2	9	41	5	24	13	40	3	20	23	109	34	1	75	7	47	16	37	9	12	17					
		13.07%	11.49%	17.18%	13.66%	12.56%	13.30%	13.25%	10.94%	14.86%	11.65%	14.50%	13.82%	7.14%	12.90%	16.13%	9.63%	14.11%	11.67%	19.46%	18.60%	16.10%	4.95%	7.41%	8.39%	17.07%	0.00%	10.26%	16.63%	15.94%	24.56%	12.61%	7.55%	5.00%	11.49%	14.07%	7.41%	12.73%	17.26%	5.00%	15.25%	7.47%	8.20%	8.96%	15.12%	11.02%	5.56%	30.77%	24.47%	17.93%	8.97%	1.56%	16.59%	9.33%	16.73%	16.33%	12.67%	15.79%	10.62%	18.09%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	102	4	1	5	5	1	1	3	1	7	3	3	1	1	0	2	2	0	3	1	2	0	3	3	0	0	0	10	1	0	0	0	1	1	1	4	0	3	0	0	1	1	1	0	6	0	0	1	2	4	0	6	2	0	0	2	2	1	0					
		0.78%	0.57%	0.44%	0.70%	1.21%	0.14%	0.66%	0.47%	0.40%	1.29%	0.64%	0.81%	2.38%	3.23%	0.00%	0.92%	0.83%	0.00%	2.01%	0.78%	0.98%	0.00%	5.56%	1.01%	0.00%	0.00%	0.00%	2.48%	1.45%	0.00%	0.00%	0.00%	1.67%	1.15%	0.31%	2.96%	0.00%	0.89%	0.00%	0.00%	0.18%	1.64%	0.37%	0.00%	1.65%	0.00%	0.00%	1.06%	0.33%	1.06%	0.00%	1.33%	2.67%	0.00%	0.00%	0.68%	3.51%	0.88%	0.00%					
