Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Тюкалинская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800					
1	"Число избирателей, внесенных в списки избирателей"	19969	1677	1331	801	1393	984	439	1108	863	580	61	69	43	81	265	355	64	215	170	269	118	37	67	422	67	73	91	71	576	38	55	68	371	59	22	53	110	513	170	160	465	60	72	478	48	39	62	308	132	48	534	64	60	51	89	872	499	81	758	94	21	359	75	42	435	83	129	102					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21000	1600	1300	800	1400	960	400	1050	800	650	72	70	55	83	270	390	80	220	170	316	140	50	74	482	83	103	107	95	620	40	54	66	384	63	22	54	107	573	200	177	538	66	76	551	71	39	79	316	141	53	583	81	69	62	95	950	588	102	834	103	23	405	79	56	480	90	162	128					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14121	1078	767	483	903	652	260	639	513	364	54	60	41	62	228	288	53	170	146	228	102	30	47	332	63	47	91	63	433	31	49	60	307	59	15	53	102	355	118	90	362	60	62	408	39	39	62	256	118	48	361	64	60	50	88	637	398	72	512	62	21	236	67	35	326	60	103	79					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1440	88	73	33	72	44	32	102	63	58	0	3	1	10	10	39	5	18	7	9	6	4	8	41	0	21	0	5	40	0	0	0	30	0	7	0	5	42	18	41	44	0	7	34	8	0	0	15	0	0	45	0	0	0	0	55	60	4	80	16	0	82	8	7	18	9	6	7					
6	Число погашенных избирательных бюллетеней	5439	434	460	284	425	264	108	309	224	228	18	7	13	11	32	63	22	32	17	79	32	16	19	109	20	35	16	27	147	9	5	6	47	4	0	1	0	176	64	46	132	6	7	109	24	0	17	45	23	5	177	17	9	12	7	258	130	26	242	25	2	87	4	14	136	21	53	42					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1440	88	73	33	72	44	32	102	63	58	0	3	1	10	10	39	5	18	7	9	6	4	8	41	0	21	0	5	40	0	0	0	30	0	7	0	5	42	18	41	44	0	7	34	8	0	0	15	0	0	45	0	0	0	0	55	60	4	80	16	0	82	8	7	18	9	6	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14121	1078	767	483	903	652	260	639	513	364	54	60	41	62	228	288	53	170	146	228	102	30	47	332	63	47	91	63	433	31	49	60	307	59	15	53	102	355	118	90	362	60	62	408	39	39	62	256	118	48	361	64	60	50	88	637	398	72	512	62	21	236	67	35	326	60	103	79					
9	Число недействительных избирательных бюллетеней	260	11	24	8	21	10	6	15	14	8	0	0	0	2	1	0	0	7	3	3	1	0	2	10	0	0	2	1	12	0	0	0	9	0	0	0	2	2	1	1	5	2	1	8	0	0	3	0	0	0	8	0	7	1	1	10	9	0	11	2	0	3	0	0	5	0	5	3					
10	Число действительных избирательных бюллетеней	15301	1155	816	508	954	686	286	726	562	414	54	63	42	70	237	327	58	181	150	234	107	34	53	363	63	68	89	67	461	31	49	60	328	59	22	53	105	395	135	130	401	58	68	434	47	39	59	271	118	48	398	64	53	49	87	682	449	76	581	76	21	315	75	42	339	69	104	83					
