Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Домодедовская																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386					
1	"Число избирателей, внесенных в списки"	102217	2359	2425	2714	2552	1850	1489	2002	2504	2432	2883	2768	2842	1705	2460	2502	2794	2306	2774	2791	1291	943	924	1262	1501	1043	612	2388	2631	2386	2340	1779	1288	1331	1549	283	176	2157	146	2619	1234	1543	456	1361	2869	334	935	1909	2919	803	1719	1973	955	1279	1195	1542	559	2207	1624					
2	"Число бюллетеней, полученных участковыми комиссиями"	91420	2120	2190	2430	2280	1680	1330	1750	2260	2180	2590	2470	2520	1520	2200	2250	2480	2080	2480	2500	1170	860	850	1140	1330	940	550	2130	2380	2140	2110	1680	1130	1180	1420	260	160	1870	130	2360	1110	1400	410	1220	2580	300	860	1720	2560	720	1550	1780	820	1160	1070	1350	470	1850	1390					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	46766	907	856	1177	1074	775	611	911	943	1190	1234	1273	1240	707	1251	1087	1111	1109	1316	1339	543	447	590	689	781	451	306	1091	1313	1214	1134	914	467	531	702	60	66	1014	53	1152	548	754	146	627	1214	57	352	940	1414	285	775	848	569	638	526	796	310	1463	875					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1936	15	14	18	12	13	18	58	18	41	25	28	11	2	21	16	18	26	12	9	77	19	8	10	20	30	32	14	4	24	21	36	24	57	49	105	35	99	45	86	39	39	78	4	131	118	56	15	36	45	46	34	21	27	42	15	0	11	9					
6	Число погашенных бюллетеней	42717	1198	1320	1235	1194	892	701	782	1299	949	1331	1169	1269	811	928	1147	1351	945	1152	1152	550	394	252	441	529	459	212	1024	1063	902	955	730	639	592	669	95	59	758	32	1122	523	607	186	589	1235	125	452	765	1110	390	729	898	230	495	502	539	160	376	504					
7	Число бюллетеней в переносных ящиках для голосования	1936	15	14	18	12	13	18	58	18	41	25	28	11	2	21	16	18	26	12	9	77	19	8	10	20	30	32	15	4	24	21	36	24	57	49	105	35	99	45	86	39	39	78	4	131	118	56	15	36	45	46	34	21	27	42	15	0	11	8					
8	Число бюллетеней в стационарных ящиках для голосования	46668	906	856	1177	1069	775	611	909	940	1186	1234	1273	1240	700	1251	1087	1111	1109	1316	1337	543	446	590	687	781	451	294	1090	1313	1213	1134	911	467	480	702	60	66	1014	53	1152	548	754	146	627	1214	57	352	940	1414	285	775	846	569	638	526	794	310	1463	876					
9	Число недействительных бюллетеней	936	10	24	29	15	21	12	8	30	27	11	14	18	2	13	34	18	29	13	18	12	5	13	30	14	14	15	32	15	14	26	15	7	6	15	6	1	33	1	26	12	20	9	3	21	7	7	25	33	10	25	20	25	25	10	18	7	8	5					
10	Число действительных бюллетеней	47668	911	846	1166	1066	767	617	959	928	1200	1248	1287	1233	700	1259	1069	1111	1106	1315	1328	608	460	585	667	787	467	311	1073	1302	1223	1129	932	484	531	736	159	100	1080	97	1212	575	773	215	628	1324	168	401	930	1417	320	796	860	565	640	558	791	303	1466	879					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2050	50	50	40	40	30	30	40	40	40	50	50	50	30	50	40	40	40	50	50	30	30	30	40	30	30	30	50	50	50	50	40	30	30	40	20	20	40	20	30	30	30	20	30	40	20	20	30	40	20	40	40	20	20	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	573	16	13	20	7	17	3	10	9	12	22	6	19	10	12	14	11	16	10	13	5	1	6	9	11	2	2	12	15	10	11	15	5	7	19	0	6	6	0	6	4	5	1	21	11	0	8	22	12	1	6	8	12	1	4	10	11	30	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	619	4	5	5	5	1	6	12	1	16	10	5	7	2	9	13	15	1	6	3	20	0	8	4	8	5	14	16	25	13	4	8	13	7	7	0	11	90	4	8	7	2	4	2	13	2	3	25	84	18	9	4	18	9	12	8	0	1	7					
14	Число погашенных открепительных удостоверений	1477	34	37	20	33	13	27	30	31	28	28	44	31	20	38	26	29	24	40	37	25	29	24	31	19	28	28	38	35	40	39	25	25	23	21	20	14	34	20	24	26	25	19	9	29	20	12	8	28	19	34	32	8	19	26	20	19	0	12					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
17	Число не учтенных при получении бюллетеней	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	"1. ""ЕДИНЕНИЕ"""	458	6	11	12	12	4	7	8	9	10	7	9	14	6	8	6	6	9	10	8	7	4	2	4	9	5	3	7	5	11	7	9	3	11	9	4	0	8	3	26	11	14	5	5	12	1	2	11	11	5	7	15	10	4	3	6	1	26	10					
		0.94%	0.65%	1.26%	1.00%	1.11%	0.50%	1.11%	0.82%	0.93%	0.81%	0.55%	0.69%	1.11%	0.85%	0.62%	0.54%	0.53%	0.79%	0.75%	0.59%	1.12%	0.86%	0.33%	0.57%	1.12%	1.03%	0.92%	0.63%	0.37%	0.88%	0.60%	0.95%	0.61%	2.04%	1.19%	2.42%	0.0%	0.71%	3.06%	2.10%	1.87%	1.76%	2.23%	0.79%	0.89%	0.57%	0.49%	1.15%	0.75%	1.51%	0.85%	1.70%	1.69%	0.60%	0.52%	0.74%	0.32%	1.76%	1.13%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1861	39	18	58	45	24	16	42	32	75	43	75	63	67	47	38	67	44	56	60	13	12	50	27	42	12	19	52	79	51	43	44	17	22	8	2	6	25	2	34	14	14	4	13	29	6	5	18	65	8	20	20	14	22	22	40	6	48	24					
		3.82%	4.23%	2.06%	4.85%	4.16%	3.04%	2.54%	4.34%	3.34%	6.11%	3.41%	5.76%	5.03%	9.54%	3.69%	3.44%	5.93%	3.87%	4.21%	4.45%	2.09%	2.58%	8.36%	3.87%	5.24%	2.49%	5.82%	4.70%	5.99%	4.12%	3.72%	4.64%	3.46%	4.09%	1.06%	1.21%	5.94%	2.24%	2.04%	2.74%	2.38%	1.76%	1.78%	2.06%	2.15%	3.42%	1.22%	1.88%	4.48%	2.42%	2.43%	2.27%	2.37%	3.30%	3.87%	4.94%	1.93%	3.25%	2.71%					
