Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Жуковская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28770	1555	1629	951	1468	1477	831	1633	1265	740	996	985	1272	849	217	525	2026	353	581	368	382	529	355	276	242	157	566	747	873	1316	227	754	528	237	511	1349									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26725	1425	1475	900	1350	1350	800	1500	1150	700	950	800	1200	800	200	500	1850	325	550	350	375	500	325	250	225	150	525	700	800	1200	200	700	500	225	475	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13000	843	730	398	480	656	323	582	544	261	372	395	412	384	190	174	682	123	303	190	252	235	168	129	137	74	297	380	401	623	108	369	156	133	269	1227									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1417	25	17	19	48	57	52	35	49	23	15	93	156	11	5	26	78	48	25	10	15	34	32	21	11	9	48	58	48	127	12	27	73	30	47	33									
6	Число погашенных избирательных бюллетеней	12308	557	728	483	822	637	425	883	557	416	563	312	632	405	5	300	1090	154	222	150	108	231	125	100	77	67	180	262	351	450	80	304	271	62	159	140									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1417	25	17	19	48	57	52	35	49	23	15	93	156	11	5	26	78	48	25	10	15	34	32	21	11	9	48	58	48	127	12	27	73	30	47	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12998	843	730	398	480	656	323	582	544	259	372	395	412	384	190	174	682	123	303	190	252	235	168	129	137	74	297	380	401	623	108	369	156	133	269	1227									
9	Число недействительных избирательных бюллетеней	326	12	19	16	9	15	7	13	8	4	21	26	11	5	7	2	34	1	10	1	5	5	5	3	1	1	6	15	6	23	6	2	2	5	7	13									
10	Число действительных избирательных бюллетеней	14089	856	728	401	519	698	368	604	585	278	366	462	557	390	188	198	726	170	318	199	262	264	195	147	147	82	339	423	443	727	114	394	227	158	309	1247									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	188	7	9	10	12	6	6	10	7	5	8	5	7	5	5	5	5	2	3	2	3	4	4	2	3	1	6	6	5	6	1	6	2	2	3	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	179	7	9	10	12	6	6	10	7	5	8	5	7	5	0	5	5	2	3	2	3	4	4	2	3	1	6	6	2	6	1	6	1	2	3	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	118	3	5	1	3	3	2	5	10	3	2	14	7	2	0	1	14	2	2	2	1	0	2	1	1	1	4	1	3	2	2	1	2	1	3	12									
14	Число погашенных неиспользованных открепительных удостоверений	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	140	6	6	2	12	4	0	14	10	3	4	5	9	4	0	0	2	0	1	0	6	3	0	0	3	3	5	6	3	4	1	3	0	2	1	18									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	284	10	20	12	14	15	15	12	9	6	7	4	9	8	7	3	12	2	3	5	2	6	7	2	5	4	2	5	15	25	0	7	1	1	7	22									
		1.97%	1.15%	2.68%	2.88%	2.65%	2.10%	4.00%	1.94%	1.52%	2.13%	1.81%	0.82%	1.58%	2.03%	3.59%	1.50%	1.58%	1.17%	0.91%	2.50%	0.75%	2.23%	3.50%	1.33%	3.38%	4.82%	0.58%	1.14%	3.34%	3.33%	0.00%	1.77%	0.44%	0.61%	2.22%	1.75%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	469	20	28	16	20	37	11	31	8	6	20	16	19	26	3	8	30	5	4	4	7	10	3	4	5	3	19	14	13	19	3	18	7	3	7	22									
		3.25%	2.30%	3.75%	3.84%	3.79%	5.19%	2.93%	5.02%	1.35%	2.13%	5.17%	3.28%	3.35%	6.58%	1.54%	4.00%	3.95%	2.92%	1.22%	2.00%	2.62%	3.72%	1.50%	2.67%	3.38%	3.61%	5.51%	3.20%	2.90%	2.53%	2.50%	4.55%	3.06%	1.84%	2.22%	1.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	240	28	17	4	11	12	13	7	4	7	5	8	14	4	4	7	13	7	5	1	3	6	3	2	0	0	1	5	3	9	3	4	8	4	7	11									
		1.66%	3.23%	2.28%	0.96%	2.08%	1.68%	3.47%	1.13%	0.67%	2.48%	1.29%	1.64%	2.46%	1.01%	2.05%	3.50%	1.71%	4.09%	1.52%	0.50%	1.12%	2.23%	1.50%	1.33%	0.00%	0.00%	0.29%	1.14%	0.67%	1.20%	2.50%	1.01%	3.49%	2.45%	2.22%	0.87%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7515	401	274	194	247	336	164	280	356	121	171	248	252	234	140	96	314	75	165	93	188	161	86	103	84	43	199	267	259	386	65	238	138	102	181	854									
		52.13%	46.20%	36.68%	46.52%	46.78%	47.12%	43.73%	45.38%	60.03%	42.91%	44.19%	50.82%	44.37%	59.24%	71.79%	48.00%	41.32%	43.86%	50.30%	46.50%	70.41%	59.85%	43.00%	68.67%	56.76%	51.81%	57.68%	60.96%	57.68%	51.47%	54.17%	60.10%	60.26%	62.58%	57.28%	67.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	58	4	4	1	2	5	1	1	0	2	0	8	4	0	1	0	3	0	0	0	2	0	1	0	0	1	3	0	0	2	0	3	0	0	2	8									
		0.40%	0.46%	0.54%	0.24%	0.38%	0.70%	0.27%	0.16%	0.00%	0.71%	0.00%	1.64%	0.70%	0.00%	0.51%	0.00%	0.39%	0.00%	0.00%	0.00%	0.75%	0.00%	0.50%	0.00%	0.00%	1.20%	0.87%	0.00%	0.00%	0.27%	0.00%	0.76%	0.00%	0.00%	0.63%	0.63%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	1	2	1	1	0	0	0	0	0	0	1	0	0	1	0	2	2	1	0	2	0	0	2	0	0	0	0	2	1	0	0	1	0	0	5									
		0.17%	0.12%	0.27%	0.24%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.51%	0.00%	0.26%	1.17%	0.30%	0.00%	0.75%	0.00%	0.00%	1.33%	0.00%	0.00%	0.00%	0.00%	0.45%	0.13%	0.00%	0.00%	0.44%	0.00%	0.00%	0.40%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1924	85	102	46	77	87	60	101	52	47	62	57	57	36	11	22	186	20	54	31	22	31	26	13	19	9	52	55	57	82	23	41	23	22	51	205									
		13.35%	9.79%	13.65%	11.03%	14.58%	12.20%	16.00%	16.37%	8.77%	16.67%	16.02%	11.68%	10.04%	9.11%	5.64%	11.00%	24.47%	11.70%	16.46%	15.50%	8.24%	11.52%	13.00%	8.67%	12.84%	10.84%	15.07%	12.56%	12.69%	10.93%	19.17%	10.35%	10.04%	13.50%	16.14%	16.27%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	39	1	2	0	4	5	2	2	0	4	1	2	1	0	0	2	6	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0									
		0.27%	0.12%	0.27%	0.00%	0.76%	0.70%	0.53%	0.32%	0.00%	1.42%	0.26%	0.41%	0.18%	0.00%	0.00%	1.00%	0.79%	0.58%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	49	1	5	1	6	2	5	1	1	2	1	2	1	0	0	0	2	1	3	1	1	2	0	0	0	0	1	2	0	2	0	1	0	0	1	4									
		0.34%	0.12%	0.67%	0.24%	1.14%	0.28%	1.33%	0.16%	0.17%	0.71%	0.26%	0.41%	0.18%	0.00%	0.00%	0.00%	0.26%	0.58%	0.91%	0.50%	0.37%	0.74%	0.00%	0.00%	0.00%	0.00%	0.29%	0.46%	0.00%	0.27%	0.00%	0.25%	0.00%	0.00%	0.32%	0.32%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	98	6	5	3	6	4	0	7	8	5	3	8	8	2	1	1	2	2	1	0	2	0	1	0	0	0	4	1	0	4	1	0	2	1	2	8									
		0.68%	0.69%	0.67%	0.72%	1.14%	0.56%	0.00%	1.13%	1.35%	1.77%	0.78%	1.64%	1.41%	0.51%	0.51%	0.50%	0.26%	1.17%	0.30%	0.00%	0.75%	0.00%	0.50%	0.00%	0.00%	0.00%	1.16%	0.23%	0.00%	0.53%	0.83%	0.00%	0.87%	0.61%	0.63%	0.63%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2644	257	210	93	111	151	76	133	109	69	76	86	143	66	11	49	122	26	66	56	31	38	59	12	18	17	45	53	73	142	13	71	24	19	39	80									
		18.34%	29.61%	28.11%	22.30%	21.02%	21.18%	20.27%	21.56%	18.38%	24.47%	19.64%	17.62%	25.18%	16.71%	5.64%	24.50%	16.05%	15.20%	20.12%	28.00%	11.61%	14.13%	29.50%	8.00%	12.16%	20.48%	13.04%	12.10%	16.26%	18.93%	10.83%	17.93%	10.48%	11.66%	12.34%	6.35%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	55	5	2	1	3	4	4	1	1	1	0	1	1	0	0	1	3	0	1	0	1	0	0	2	1	2	2	3	1	5	0	1	3	0	1	4									
		0.38%	0.58%	0.27%	0.24%	0.57%	0.56%	1.07%	0.16%	0.17%	0.35%	0.00%	0.20%	0.18%	0.00%	0.00%	0.50%	0.39%	0.00%	0.30%	0.00%	0.37%	0.00%	0.00%	1.33%	0.68%	2.41%	0.58%	0.68%	0.22%	0.67%	0.00%	0.25%	1.31%	0.00%	0.32%	0.32%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	682	37	57	29	17	40	17	28	37	8	20	21	48	14	8	9	30	29	15	8	1	9	9	7	15	3	11	18	19	42	6	10	20	6	10	24									
		4.73%	4.26%	7.63%	6.95%	3.22%	5.61%	4.53%	4.54%	6.24%	2.84%	5.17%	4.30%	8.45%	3.54%	4.10%	4.50%	3.95%	16.96%	4.57%	4.00%	0.37%	3.35%	4.50%	4.67%	10.14%	3.61%	3.19%	4.11%	4.23%	5.60%	5.00%	2.53%	8.73%	3.68%	3.16%	1.90%									
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
