Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Озерская городская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №2227	УИК №2228									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	76526	1578	1821	3078	1591	2887	1503	2848	2877	1998	2037	2177	1125	1789	1229	1535	2893	3061	2890	2921	3023	2990	2943	2966	1782	2910	2922	2099	3045	1348	2889	2690	248	2677	156									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55250	1200	1300	2200	1200	2100	1100	2050	2050	1400	1450	1550	850	1300	900	1100	2100	2200	2050	2100	2150	2150	2100	2100	1500	2100	2100	1500	2200	1000	2100	1800	200	1900	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31866	637	742	1210	643	1192	644	1110	1198	838	922	976	476	789	527	664	1199	1272	1214	1276	1345	1229	1347	1123	1383	1150	1078	854	1130	457	915	1112	84	1092	38									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	762	9	13	13	9	16	17	23	22	47	13	18	17	0	7	7	22	9	16	6	14	19	17	37	11	5	26	19	10	5	17	112	43	37	106									
6	Число погашенных избирательных бюллетеней	22622	554	545	977	548	892	439	917	830	515	515	556	357	511	366	429	879	919	820	818	791	902	736	940	106	945	996	627	1060	538	1168	576	73	771	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	762	9	13	13	9	16	17	23	22	47	13	18	17	0	7	7	22	9	16	6	14	19	17	37	11	5	26	19	10	5	17	112	43	37	106									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31827	635	739	1208	643	1191	644	1109	1198	836	920	975	476	788	527	664	1198	1262	1213	1276	1341	1229	1347	1121	1383	1150	1078	854	1127	457	915	1109	84	1092	38									
9	Число недействительных избирательных бюллетеней	953	14	21	47	20	34	13	30	34	53	20	26	13	16	7	20	36	40	38	40	47	32	52	25	56	24	38	22	32	14	35	35	2	16	1									
10	Число действительных избирательных бюллетеней	31636	630	731	1174	632	1173	648	1102	1186	830	913	967	480	772	527	651	1184	1231	1191	1242	1308	1216	1312	1133	1338	1131	1066	851	1105	448	897	1186	125	1113	143									
