Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																				
Дата голосования: 18.09.2016																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Нижнеудинская																																																																																																				
																																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																				
																																																																																																				
		Сумма	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	53738	893	848	848	543	614	778	603	1172	53	161	118	176	101	82	122	69	277	748	205	51	296	261	139	412	191	106	113	399	208	67	48	818	155	2214	1235	1443	1092	1945	843	1919	1874	815	2081	1600	2680	633	897	1205	1342	1692	1987	1059	420	167	274	123	86	202	157	384	957	571	151	470	1278	397	359	587	118	147	106	113	782	763	79	73	153	60	286	66	471	104	254	239	422	195	200	120	2173									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49337	800	800	800	550	600	750	550	1000	53	160	120	170	100	85	120	73	280	700	200	55	300	250	140	400	190	110	115	400	200	71	50	700	160	2200	1000	1000	1000	1800	800	1800	1700	800	2000	1500	2500	600	800	1000	1100	1500	1800	1000	400	170	230	120	90	200	150	380	900	500	160	400	1100	350	300	500	115	150	105	115	700	700	80	75	150	60	250	70	400	105	250	200	400	190	200	120	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14833	217	197	165	130	111	190	137	439	13	47	54	63	38	36	46	36	103	166	59	27	102	112	44	95	89	43	33	116	31	23	22	235	73	975	285	278	280	597	265	412	540	128	436	534	590	152	296	374	320	384	398	223	157	55	146	60	37	62	31	114	229	151	143	146	398	118	100	177	60	62	23	31	220	202	43	29	37	24	69	24	121	56	141	52	141	99	45	41	430									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1129	34	22	42	10	2	27	11	29	10	38	17	0	0	6	2	0	0	17	18	4	12	9	14	15	5	4	2	8	42	4	4	7	0	5	5	25	1	11	13	5	6	0	19	13	15	5	8	6	3	5	15	14	20	28	13	6	0	3	31	0	16	36	0	17	10	30	4	16	3	4	6	4	45	32	0	2	4	1	40	10	66	0	0	24	5	3	0	34	27									
6	Число погашенных избирательных бюллетеней	33375	549	581	593	410	487	533	402	532	30	75	49	107	62	43	72	37	177	517	123	24	186	129	82	290	96	63	80	276	127	44	24	458	87	1220	710	697	719	1192	522	1383	1154	672	1545	953	1895	443	496	620	777	1111	1387	763	223	87	71	54	53	135	88	266	655	313	17	237	692	202	196	307	52	84	76	80	435	466	37	44	109	35	141	36	213	49	109	124	254	88	155	45	1543									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1129	34	22	42	10	2	27	11	29	10	38	17	0	0	6	2	0	0	17	18	4	12	9	14	15	5	4	2	8	42	4	4	7	0	5	5	25	1	11	13	5	6	0	19	13	15	5	8	6	3	5	15	14	20	28	13	6	0	3	31	0	16	36	0	17	10	30	4	16	3	4	6	4	45	32	0	2	4	1	40	10	66	0	0	24	5	3	0	34	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14833	217	197	165	130	111	190	137	439	13	47	54	63	38	36	46	36	103	166	59	27	102	112	44	95	89	43	33	116	31	23	22	235	73	975	285	278	280	597	265	412	540	128	436	534	590	152	296	374	320	384	398	223	157	55	146	60	37	62	31	114	229	151	143	146	398	118	100	177	60	62	23	31	220	202	43	29	37	24	69	24	121	56	141	52	141	99	45	41	430									
9	Число недействительных избирательных бюллетеней	289	4	4	6	0	0	4	3	9	0	0	0	1	0	0	2	1	3	4	0	0	2	3	0	3	1	0	3	8	0	2	0	14	4	9	6	4	4	8	6	6	11	1	14	13	8	6	7	9	6	8	6	6	3	0	6	0	0	1	0	0	0	3	1	0	10	2	0	3	1	1	0	0	6	11	0	0	1	1	2	0	1	1	0	0	3	0	0	0	13									
10	Число действительных избирательных бюллетеней	15673	247	215	201	140	113	213	145	459	23	85	71	62	38	42	46	35	100	179	77	31	112	118	58	107	93	47	32	116	73	25	26	228	69	971	284	299	277	600	272	411	535	127	441	534	597	151	297	371	317	381	407	231	174	83	153	66	37	64	62	114	245	184	142	163	398	146	104	190	62	65	29	35	259	223	43	31	40	24	107	34	186	55	141	76	143	102	45	75	444									
