Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Янаульская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №3488	УИК №3489	УИК №3490	УИК №3491	УИК №3492	УИК №3493	УИК №3494	УИК №3495	УИК №3496	УИК №3497	УИК №3498	УИК №3499	УИК №3500	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546					
1	"Число избирателей, внесенных в списки избирателей"	35593	2299	2132	1680	1980	1638	1630	1775	1770	1258	1232	1485	188	305	199	191	106	132	145	345	367	256	429	151	367	208	114	270	478	267	729	447	1068	215	570	572	489	186	347	316	161	387	758	335	428	115	550	194	320	550	360	569	271	249	622	370	318	265	278	157					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35108	2200	2100	1600	1900	1600	1600	1700	1700	1200	1200	1400	186	317	200	204	110	138	147	358	365	255	448	158	378	223	116	270	480	265	730	450	1050	215	550	570	515	195	350	320	165	385	780	335	435	115	560	197	325	565	370	570	274	250	625	365	320	270	280	159					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33769	2189	2039	1576	1878	1557	1529	1667	1684	1185	1128	1374	175	277	191	178	105	120	131	331	357	240	401	147	346	201	108	208	449	259	711	436	1032	201	550	559	468	178	332	307	156	385	719	321	391	106	536	186	313	535	354	547	265	244	584	351	309	251	264	148					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	605	11	8	20	16	5	21	19	15	11	72	26	11	22	4	9	0	8	10	7	0	10	15	2	17	4	4	59	21	2	0	8	4	8	0	0	7	4	12	5	3	0	10	12	24	6	0	3	0	5	2	5	3	0	25	10	4	6	5	5					
6	Число погашенных избирательных бюллетеней	734	0	53	4	6	38	50	14	1	4	0	0	0	18	5	17	5	10	6	20	8	5	32	9	15	18	4	3	10	4	19	6	14	6	0	11	40	13	6	8	6	0	51	2	20	3	24	8	12	25	14	18	6	6	16	4	7	13	11	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	605	11	8	20	16	5	21	19	15	11	72	26	11	22	4	9	0	8	10	7	0	10	15	2	17	4	4	59	21	2	0	8	4	8	0	0	7	4	12	5	3	0	10	12	24	6	0	3	0	5	2	5	3	0	25	10	4	6	5	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33768	2189	2039	1576	1878	1557	1529	1667	1683	1185	1128	1374	175	277	191	178	105	120	131	331	357	240	401	147	346	201	108	208	449	259	711	436	1032	201	550	559	468	178	332	307	156	385	719	321	391	106	536	186	313	535	354	547	265	244	584	351	309	251	264	148					
9	Число недействительных избирательных бюллетеней	103	10	6	3	1	6	10	0	1	29	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	2	0	0	0					
10	Число действительных избирательных бюллетеней	34270	2190	2041	1593	1893	1556	1540	1686	1697	1167	1191	1400	186	299	195	187	105	128	141	338	357	250	416	149	363	202	112	267	468	261	702	444	1036	209	550	559	473	182	344	312	159	385	729	333	415	112	536	189	312	540	347	552	268	244	609	361	311	257	269	153					
