Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Янаульская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490	УИК №3491	УИК №3492	УИК №3493	УИК №3494	УИК №3495	УИК №3496	УИК №3497	УИК №3498	УИК №3499	УИК №3500	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527					
1	"Число избирателей, внесенных в список избирателей"	38152	2880	1403	2743	1385	2783	2306	2910	1448	1475	1816	302	126	143	376	247	186	338	176	415	146	214	106	359	507	292	270	717	440	1189	211	616	584	483	169	332	328	162	778	323	372	364	191	576	198	370	557	352	320	613	282	240	649	525	313	258	288					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37705	2800	1400	2700	1400	2800	2300	2800	1400	1400	1800	300	125	145	375	245	185	335	180	420	145	215	105	355	505	295	270	710	440	1100	210	615	585	485	175	330	335	160	775	320	365	365	190	575	195	375	555	350	310	610	280	235	645	560	310	260	285					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	26710	1921	983	1659	1065	1625	1179	1724	748	1191	657	190	113	133	282	139	177	201	144	242	102	199	100	289	405	260	227	595	348	1066	188	495	515	418	149	251	276	152	620	290	254	295	149	543	158	315	442	328	294	509	262	177	500	446	264	212	244					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1501	25	38	21	20	48	38	55	37	13	58	98	8	5	30	64	2	47	11	33	30	9	2	24	53	10	19	60	50	19	15	17	0	11	8	35	24	5	47	30	50	33	29	7	17	19	25	5	7	16	11	40	32	25	29	19	18					
6	Число погашенных избирательных бюллетеней	9494	854	379	1020	315	1127	1083	1021	615	196	1085	12	4	7	63	42	6	87	25	145	13	7	3	42	47	25	24	55	42	15	7	103	70	56	18	44	35	3	108	0	61	37	12	25	20	41	88	17	9	85	7	18	113	89	17	29	23					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1501	25	38	21	20	48	38	55	37	13	58	98	8	5	30	64	2	47	11	33	30	9	2	24	53	10	19	60	50	19	15	17	0	11	8	35	24	5	47	30	50	33	29	7	17	19	25	5	7	16	11	40	32	25	29	19	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26708	1921	983	1659	1065	1625	1177	1724	748	1191	657	190	113	133	282	139	177	201	144	242	102	199	100	289	405	260	227	595	348	1066	188	495	515	418	149	251	276	152	620	290	254	295	149	543	158	315	442	328	294	509	262	177	500	446	264	212	244					
9	Число недействительных избирательных бюллетеней	225	13	18	14	5	15	18	22	12	18	12	0	0	0	6	0	0	6	1	0	0	0	0	1	0	1	0	0	0	0	0	7	0	3	0	6	0	0	8	0	2	0	2	2	0	1	4	3	0	2	0	0	7	3	13	0	0					
10	Число действительных избирательных бюллетеней	27984	1933	1003	1666	1080	1658	1197	1757	773	1186	703	288	121	138	306	203	179	242	154	275	132	208	102	312	458	269	246	655	398	1085	203	505	515	426	157	280	300	157	659	320	302	328	176	548	175	333	463	330	301	523	273	217	525	468	280	231	262					
