Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Рославльская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	58557	1889	1366	1427	2264	937	1604	1758	2149	1203	1030	1738	1799	1225	2052	1996	991	2332	1807	1079	1560	1873	2124	2237	2451	1701	803	330	324	449	1290	256	673	327	2302	324	520	738	489	909	1413	1443	725	693	673	353	388	543									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52911	1700	1250	1300	2265	850	1450	1575	1950	1050	900	1550	1600	1100	1850	1800	994	2100	1600	900	1400	1650	1900	2000	2200	1525	801	300	300	400	1294	225	600	275	2050	300	450	650	425	800	1250	1300	732	625	600	300	300	475									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19231	569	224	415	782	242	503	572	623	344	255	470	478	336	734	611	740	672	660	324	508	568	781	689	902	627	277	183	135	174	376	83	305	187	637	110	152	342	224	335	466	381	272	172	256	143	193	199									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2590	34	41	13	27	19	25	28	19	13	20	25	27	23	23	35	32	29	31	30	7	13	18	20	5	25	43	30	47	111	29	64	108	63	71	100	167	37	127	146	81	141	108	108	133	62	62	170									
6	Число погашенных избирательных бюллетеней	31090	1097	985	872	1456	589	922	975	1308	693	625	1055	1095	741	1093	1154	222	1399	909	546	885	1069	1101	1291	1293	873	481	87	118	115	889	78	187	25	1342	90	131	271	74	319	703	778	352	345	211	95	45	106									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2590	34	41	13	27	19	25	28	19	13	20	25	27	23	23	35	32	29	31	30	7	13	18	20	5	25	43	30	47	111	29	64	108	63	71	100	167	37	127	146	81	141	108	108	133	62	62	170									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18710	569	224	415	782	242	503	572	623	344	255	470	478	336	734	611	223	672	659	324	508	568	778	689	902	627	277	183	135	174	376	83	305	187	637	110	152	342	224	335	466	381	272	172	256	143	193	199									
9	Число недействительных избирательных бюллетеней	448	4	7	11	36	6	18	20	12	11	8	12	7	12	15	21	5	18	14	10	21	34	22	13	20	25	8	0	0	0	6	0	4	1	12	0	0	3	3	3	3	10	6	2	3	0	2	0									
10	Число действительных избирательных бюллетеней	20852	599	258	417	773	255	510	580	630	346	267	483	498	347	742	625	250	683	676	344	494	547	774	696	887	627	312	213	182	285	399	147	409	249	696	210	319	376	348	478	544	512	374	278	386	205	253	369									
