Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Угличская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855					
1	"Число избирателей, внесенных в списки"	41330	2282	2052	2202	2115	2242	2347	2254	2223	2000	2061	1830	2166	1598	522	1025	628	167	396	274	1123	346	159	305	529	329	264	395	248	202	638	545	277	412	144	488	114	347	110	221	218	131	229	124	263	211	208	120	173	524	540	1009					
2	"Число бюллетеней, полученных участковыми комиссиями"	40930	2320	2030	2120	2120	2220	2270	2200	2140	2030	2050	1830	2210	1580	515	1000	610	167	387	265	1000	350	162	305	495	316	270	470	230	200	635	540	275	420	142	500	116	340	117	218	220	120	227	124	266	211	258	115	164	520	540	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22060	1327	1215	1307	1149	1228	1425	1134	949	1061	1233	1087	1130	951	249	471	371	81	271	120	334	173	58	136	279	106	151	345	112	106	347	268	162	257	41	261	45	152	58	135	83	67	113	80	146	117	150	61	79	237	165	477					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3026	63	25	36	45	47	35	28	76	77	34	36	43	20	17	35	8	43	7	48	367	77	47	99	29	89	30	50	70	36	91	79	15	54	65	111	36	118	37	64	68	39	77	38	29	25	54	11	25	179	151	43					
6	Число погашенных бюллетеней	15844	930	790	777	926	945	810	1038	1115	892	783	707	1037	609	249	494	231	43	109	97	299	100	57	70	187	121	89	75	48	58	197	193	98	109	36	128	35	70	22	19	69	14	37	6	91	69	54	43	60	104	224	480					
7	Число бюллетеней в переносных ящиках для голосования	3026	63	25	36	45	47	35	28	76	77	34	36	43	20	17	35	8	43	7	48	367	77	47	99	29	89	30	50	70	36	91	79	15	54	65	111	36	118	37	64	68	39	77	38	29	25	54	11	25	179	151	43					
8	Число бюллетеней в стационарных ящиках для голосования	22009	1327	1214	1307	1104	1228	1426	1132	947	1060	1233	1087	1130	951	249	471	371	81	271	120	334	173	58	136	279	106	151	345	112	106	347	268	162	256	41	261	45	152	58	135	83	67	113	80	146	117	150	61	79	237	165	477					
9	Число недействительных бюллетеней	252	4	11	5	7	22	8	10	7	15	14	9	12	7	7	6	33	0	3	1	4	8	1	2	4	4	3	3	0	2	3	4	0	2	0	2	3	1	1	2	6	0	1	0	4	2	1	1	0	2	0	5					
10	Число действительных бюллетеней	24783	1386	1228	1338	1142	1253	1453	1150	1016	1122	1253	1114	1161	964	259	500	346	124	275	167	697	242	104	233	304	191	178	392	182	140	435	343	177	308	106	370	78	269	94	197	145	106	189	118	171	140	203	71	104	414	316	515					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1398	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	56	10	15	12	17	15	10	14	16	13	11	15	12	10	14	14	11	15	9	15	8	12	8	12	12	8	10	8	14	12	15	9	10	13	18	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	174	22	17	4	7	10	5	4	2	11	13	19	2	2	3	4	0	2	1	0	2	4	0	0	2	0	1	3	0	1	3	4	0	0	0	5	0	1	0	0	4	0	0	0	0	0	0	0	0	7	0	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	144	4	12	7	4	6	0	4	5	13	7	1	1	1	8	8	1	1	5	2	3	3	4	0	0	0	0	4	3	2	2	8	0	2	2	3	0	2	0	1	1	1	0	0	2	2	1	1	0	3	0	4					
14	Число погашенных открепительных удостоверений	1224	38	43	56	53	50	55	56	58	49	47	41	58	58	57	56	56	8	14	12	15	11	10	14	14	13	10	12	12	9	11	10	11	15	9	10	8	11	8	12	8	8	10	8	14	12	15	9	10	6	18	16					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	"1. ""ЕДИНЕНИЕ"""	239	9	11	12	9	8	8	4	15	10	13	13	5	7	4	5	4	2	1	2	6	3	4	1	3	2	1	4	3	3	7	6	0	4	1	5	0	1	2	0	2	1	2	6	2	5	4	4	0	6	0	9					
		0.95%	0.64%	0.88%	0.89%	0.78%	0.62%	0.54%	0.34%	1.46%	0.87%	1.02%	1.15%	0.42%	0.72%	1.50%	0.98%	1.05%	1.61%	0.35%	1.19%	0.85%	1.2%	3.80%	0.42%	0.97%	1.02%	0.55%	1.01%	1.64%	2.11%	1.59%	1.72%	0.0%	1.29%	0.94%	1.34%	0.0%	0.37%	2.10%	0.0%	1.32%	0.94%	1.05%	5.08%	1.14%	3.52%	1.96%	5.55%	0.0%	1.44%	0.0%	1.73%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	566	45	30	34	28	37	36	41	24	30	39	44	25	25	7	10	5	5	4	2	8	2	0	0	12	3	1	8	1	3	7	3	3	2	2	4	1	1	0	0	2	4	2	1	1	4	4	1	0	2	10	3					
		2.26%	3.23%	2.42%	2.53%	2.43%	2.90%	2.46%	3.53%	2.34%	2.63%	3.07%	3.91%	2.13%	2.57%	2.63%	1.97%	1.31%	4.03%	1.43%	1.19%	1.14%	0.8%	0.0%	0.0%	3.89%	1.53%	0.55%	2.02%	0.54%	2.11%	1.59%	0.86%	1.69%	0.64%	1.88%	1.07%	1.23%	0.37%	0.0%	0.0%	1.32%	3.77%	1.05%	0.84%	0.57%	2.81%	1.96%	1.38%	0.0%	0.48%	3.16%	0.57%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	546	25	29	23	24	24	33	30	27	31	36	24	19	20	8	12	14	1	4	4	25	13	0	4	4	6	1	6	1	3	7	10	8	5	7	3	4	1	0	3	3	0	10	0	0	4	5	1	4	7	2	11					
		2.18%	1.79%	2.34%	1.71%	2.08%	1.88%	2.25%	2.58%	2.63%	2.72%	2.84%	2.13%	1.61%	2.05%	3.00%	2.37%	3.69%	0.80%	1.43%	2.38%	3.56%	5.2%	0.0%	1.70%	1.29%	3.07%	0.55%	1.51%	0.54%	2.11%	1.59%	2.88%	4.51%	1.61%	6.60%	0.80%	4.93%	0.37%	0.0%	1.50%	1.98%	0.0%	5.26%	0.0%	0.0%	2.81%	2.45%	1.38%	3.84%	1.68%	0.63%	2.11%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	736	85	33	45	41	51	56	60	56	46	30	36	31	24	13	13	8	0	11	2	12	3	0	3	15	5	4	5	1	2	3	3	2	2	2	2	0	2	1	2	2	0	2	0	4	1	3	0	2	3	3	6					
