Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Немская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812					
1	"Число избирателей, внесенных в список"	7251	121	1096	372	170	110	375	517	227	363	431	1311	1527	303	328					
2	Число полученных избирательных бюллетеней	7630	130	1180	430	180	120	395	590	245	415	425	1350	1500	340	330					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4375	81	617	263	99	72	231	394	174	226	211	749	857	204	197					
5	"Число избирательных бюллетеней, выданных вне помещения"	887	21	129	54	37	15	84	32	28	99	97	89	84	58	60					
6	Число погашенных избирательных бюллетеней	2368	28	434	113	44	33	80	164	43	90	117	512	559	78	73					
7	Число избирательных бюллетеней в переносных ящиках	887	21	129	54	37	15	84	32	28	99	97	89	84	58	60					
8	Число бюллетеней в стационарных ящиках для голосования	4375	81	617	263	99	72	231	394	174	226	211	749	857	204	197					
9	Число недействительных избирательных бюллетеней	32	2	0	0	0	0	0	5	1	4	3	6	10	1	0					
10	Число действительных избирательных бюллетеней	5230	100	746	317	136	87	315	421	201	321	305	832	931	261	257					
11	Число полученных открепительных  удостоверений	109	2	8	16	4	8	6	5	7	10	4	15	12	6	6					
12	Число выданных открепительных удостоверений	93	0	8	16	2	8	6	4	6	8	1	11	12	6	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	0	2	1	1	2	1	0	1	1	1	3	9	1	3					
14	Число неиспользованных открепительных удостоверений	16	2	0	0	2	0	0	1	1	2	3	4	0	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	138	8	13	0	5	1	2	10	2	7	9	28	34	8	11					
		2.62%	7.84%	1.74%	0.00%	3.68%	1.15%	0.63%	2.35%	0.99%	2.15%	2.92%	3.34%	3.61%	3.05%	4.28%					
19	. Малышкин Олег Александрович	139	6	20	15	4	1	12	3	5	2	6	13	31	8	13					
		2.64%	5.88%	2.68%	4.73%	2.94%	1.15%	3.81%	0.70%	2.48%	0.62%	1.95%	1.55%	3.29%	3.05%	5.06%					
20	. Миронов Сергей Михайлович	45	0	6	2	1	2	1	1	2	3	1	6	16	2	2					
		0.86%	0.00%	0.80%	0.63%	0.74%	2.30%	0.32%	0.23%	0.99%	0.92%	0.32%	0.72%	1.70%	0.76%	0.78%					
21	. Путин Владимир Владимирович	3427	58	527	211	90	47	227	332	91	190	206	538	587	188	135					
		65.13%	56.86%	70.64%	66.56%	66.18%	54.02%	72.06%	77.93%	45.05%	58.46%	66.88%	64.20%	62.38%	71.76%	52.53%					
22	. Хакамада Ирина Муцуовна	80	2	9	2	0	2	2	5	5	6	7	13	15	3	9					
		1.52%	1.96%	1.21%	0.63%	0.00%	2.30%	0.63%	1.17%	2.48%	1.85%	2.27%	1.55%	1.59%	1.15%	3.50%					
23	. Харитонов Николай Михайлович	1342	25	166	86	35	33	68	63	95	109	72	224	235	48	83					
		25.50%	24.51%	22.25%	27.13%	25.74%	37.93%	21.59%	14.79%	47.03%	33.54%	23.38%	26.73%	24.97%	18.32%	32.30%					
																					
24	Против всех	59	1	5	1	1	1	3	7	1	4	4	10	13	4	4					
		1.12%	0.98%	0.67%	0.32%	0.74%	1.15%	0.95%	1.64%	0.50%	1.23%	1.30%	1.19%	1.38%	1.53%	1.56%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
