Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Тевризская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11590	686	820	543	517	570	577	685	500	400	638	146	72	54	367	139	200	662	299	237	141	234	283	297	234	134	84	216	188	307	406	249	83	297	211	114									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11800	700	825	555	525	575	585	685	500	400	650	155	75	55	375	150	200	675	325	250	150	230	275	300	250	125	100	225	200	300	405	250	80	300	225	125									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5381	252	353	206	209	241	224	257	221	131	158	62	49	27	217	96	124	240	153	135	92	125	134	172	139	85	47	156	121	152	193	148	50	175	147	90									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	437	44	10	7	8	8	7	7	10	14	13	3	0	0	16	7	11	10	12	26	9	30	11	14	9	6	8	11	13	21	23	18	0	33	18	0									
6	Число погашенных избирательных бюллетеней	5982	404	462	342	308	326	354	421	269	255	479	90	26	28	142	47	65	425	160	89	49	75	130	114	102	34	45	58	66	127	189	84	30	92	60	35									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	437	44	10	7	8	8	7	7	10	14	13	3	0	0	16	7	11	10	12	26	9	30	11	14	9	6	8	11	13	21	23	18	0	33	18	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5381	252	353	206	209	241	224	257	221	131	158	62	49	27	217	96	124	240	153	135	92	125	134	172	139	85	47	156	121	152	193	148	50	175	147	90									
9	Число недействительных избирательных бюллетеней	156	5	12	3	4	4	6	8	3	3	8	3	0	1	7	10	2	5	2	1	2	3	2	7	9	5	0	2	2	7	5	9	2	5	8	1									
10	Число действительных избирательных бюллетеней	5662	291	351	210	213	245	225	256	228	142	163	62	49	26	226	93	133	245	163	160	99	152	143	179	139	86	55	165	132	166	211	157	48	203	157	89									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	14	20	11	11	11	11	14	9	9	14	4	4	4	8	4	4	12	6	4	4	4	4	6	4	4	4	4	4	6	8	6	4	6	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	61	3	7	8	0	4	3	2	0	1	1	1	0	0	1	2	4	0	1	1	0	0	0	3	0	1	1	0	3	1	2	2	0	6	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	57	3	5	3	3	4	5	1	3	1	3	1	2	1	0	2	1	1	0	0	0	3	1	0	1	1	1	0	1	2	2	2	1	2	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	189	11	13	3	11	7	8	12	9	8	13	3	4	4	7	2	0	12	5	3	4	4	4	3	4	3	3	4	1	5	6	4	4	0	1	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	4	7	5	6	4	7	3	5	1	3	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	58	1	2	2	2	1	2	2	3	1	1	0	0	0	3	1	1	13	1	3	2	2	2	3	2	0	0	0	2	1	0	0	2	2	1	0									
		0.99%	0.34%	0.55%	0.94%	0.92%	0.40%	0.87%	0.76%	1.30%	0.69%	0.58%	0.00%	0.00%	0.00%	1.29%	0.97%	0.74%	5.20%	0.61%	1.86%	1.98%	1.29%	1.38%	1.61%	1.35%	0.00%	0.00%	0.00%	1.49%	0.58%	0.00%	0.00%	4.00%	0.96%	0.61%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	291	18	13	11	7	8	10	6	3	2	0	2	6	3	8	9	8	18	9	2	3	2	7	23	14	4	3	3	4	17	10	5	1	38	11	3									
		5.00%	6.08%	3.58%	5.16%	3.23%	3.21%	4.33%	2.27%	1.30%	1.38%	0.00%	3.08%	12.24%	11.11%	3.43%	8.74%	5.93%	7.20%	5.45%	1.24%	2.97%	1.29%	4.83%	12.37%	9.46%	4.40%	5.45%	1.80%	2.99%	9.83%	4.63%	3.01%	2.00%	18.27%	6.67%	3.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	105	6	5	3	6	0	6	5	23	2	3	0	0	1	7	0	0	5	4	1	2	1	3	2	1	0	0	1	2	2	6	2	0	3	0	3									
		1.80%	2.03%	1.38%	1.41%	2.76%	0.00%	2.60%	1.89%	9.96%	1.38%	1.75%	0.00%	0.00%	3.70%	3.00%	0.00%	0.00%	2.00%	2.42%	0.62%	1.98%	0.65%	2.07%	1.08%	0.68%	0.00%	0.00%	0.60%	1.49%	1.16%	2.78%	1.20%	0.00%	1.44%	0.00%	3.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2758	128	149	89	94	113	90	139	98	75	70	29	26	10	118	28	76	102	64	118	69	86	62	68	64	40	26	128	75	83	114	60	20	104	87	56									
		47.40%	43.24%	41.05%	41.78%	43.32%	45.38%	38.96%	52.65%	42.42%	51.72%	40.94%	44.62%	53.06%	37.04%	50.64%	27.18%	56.30%	40.80%	38.79%	73.29%	68.32%	55.48%	42.76%	36.56%	43.24%	43.96%	47.27%	76.65%	55.97%	47.98%	52.78%	36.14%	40.00%	50.00%	52.73%	62.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	25	1	2	1	2	2	0	2	1	0	0	2	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	3	1	0									
		0.43%	0.34%	0.55%	0.47%	0.92%	0.80%	0.00%	0.76%	0.43%	0.00%	0.00%	3.08%	0.00%	0.00%	0.43%	0.97%	0.74%	0.00%	0.61%	0.62%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.20%	0.00%	1.44%	0.61%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	1	0	2	0	1	0	1	0	0	1	1	0	0	0	1	0	2	0	1	1	0	1	2	0	1	0	0	0	0	2	2	1	0	0	1									
		0.38%	0.34%	0.00%	0.94%	0.00%	0.40%	0.00%	0.38%	0.00%	0.00%	0.58%	1.54%	0.00%	0.00%	0.00%	0.97%	0.00%	0.80%	0.00%	0.62%	0.99%	0.00%	0.69%	1.08%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.93%	1.20%	2.00%	0.00%	0.00%	1.11%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	934	70	88	50	37	38	46	47	46	38	50	3	7	4	37	17	10	61	43	8	11	29	21	6	15	1	9	12	17	13	18	11	12	35	7	17									
		16.05%	23.65%	24.24%	23.47%	17.05%	15.26%	19.91%	17.80%	19.91%	26.21%	29.24%	4.62%	14.29%	14.81%	15.88%	16.50%	7.41%	24.40%	26.06%	4.97%	10.89%	18.71%	14.48%	3.23%	10.14%	1.10%	16.36%	7.19%	12.69%	7.51%	8.33%	6.63%	24.00%	16.83%	4.24%	18.89%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	1	4	0	0	0	1	2	0	1	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0									
		0.28%	0.34%	1.10%	0.00%	0.00%	0.00%	0.43%	0.76%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.40%	0.61%	0.00%	0.00%	0.00%	1.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.61%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	71	4	2	2	8	4	2	2	2	1	0	8	0	1	4	1	1	2	1	1	1	1	0	3	1	0	0	0	0	0	1	10	0	2	5	1									
		1.22%	1.35%	0.55%	0.94%	3.69%	1.61%	0.87%	0.76%	0.87%	0.69%	0.00%	12.31%	0.00%	3.70%	1.72%	0.97%	0.74%	0.80%	0.61%	0.62%	0.99%	0.65%	0.00%	1.61%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	6.02%	0.00%	0.96%	3.03%	1.11%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	4	0	0	0	1									
		0.22%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	1.54%	0.00%	3.70%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.58%	0.00%	2.41%	0.00%	0.00%	0.00%	1.11%									
