Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
"Наименование Избирательной комиссии:    Орск, Ленинская"																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214					
1	"Число избирателей, внесенных в списки избирателей"	62166	2450	2390	2382	1005	2046	1529	1246	1715	1453	1431	1787	1912	1808	1667	2128	2313	2510	2428	2759	2233	1785	2101	1850	1917	1634	2456	1887	1918	1391	2178	1097	2282	478					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	63650	2520	2480	2470	1240	2040	1530	1240	1730	1410	1550	1770	1960	1790	1620	2130	2590	2510	2400	2740	2210	1780	2100	1820	1910	1610	2420	1830	1910	1880	2150	1490	2320	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	30887	1578	1123	1123	581	854	771	665	880	733	731	812	996	896	880	1085	1320	1274	1278	1495	1042	845	966	895	913	714	1064	866	825	729	910	620	998	425					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1298	12	80	73	24	39	30	15	31	22	26	33	24	40	30	45	37	55	48	39	47	32	71	48	30	38	26	57	29	60	56	31	33	37					
6	Число погашенных избирательных бюллетеней	31465	930	1277	1274	635	1147	729	560	819	655	793	925	940	854	710	1000	1233	1181	1074	1206	1121	903	1063	877	967	858	1330	907	1056	1091	1184	839	1289	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1298	12	80	73	24	39	30	15	31	22	26	33	24	40	30	45	37	55	48	39	47	32	71	48	30	38	26	57	29	60	56	31	33	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30876	1578	1123	1123	581	854	771	665	880	733	731	811	996	896	880	1085	1320	1274	1278	1495	1042	845	964	895	913	714	1064	866	825	729	910	620	995	420					
9	Число недействительных избирательных бюллетеней	500	277	10	14	6	11	8	6	3	9	6	7	1	5	10	2	7	5	21	13	8	6	5	5	8	8	7	8	8	4	4	2	5	1					
10	Число действительных избирательных бюллетеней	31674	1313	1193	1182	599	882	793	674	908	746	751	837	1019	931	900	1128	1350	1324	1305	1521	1081	871	1030	938	935	744	1083	915	846	785	962	649	1023	456					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	486	18	16	16	16	16	16	16	15	16	16	16	16	16	16	16	16	16	15	16	16	16	16	16	16	16	16	16	16	11	11	6	7	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	203	9	11	3	4	9	10	14	8	4	2	10	6	5	6	14	3	9	8	13	7	1	5	5	9	1	8	1	2	2	3	6	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	174	4	4	8	9	4	3	4	4	12	2	6	0	2	8	10	1	3	3	9	4	21	8	11	6	4	4	3	7	1	1	2	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	283	9	5	13	12	7	6	2	7	12	14	6	10	11	10	2	13	7	7	3	9	15	11	11	7	15	8	15	14	9	8	0	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	2	1	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	1.Политическая партия «Аграрная партия России»	637	28	33	28	10	15	16	14	28	5	10	14	26	23	32	32	18	27	39	34	24	20	15	27	14	13	21	15	15	9	14	3	14	1					
		1.98%	1.76%	2.74%	2.34%	1.65%	1.68%	1.99%	2.06%	3.07%	0.66%	1.32%	1.66%	2.55%	2.46%	3.52%	2.83%	1.33%	2.03%	2.94%	2.22%	2.20%	2.28%	1.45%	2.86%	1.48%	1.73%	1.93%	1.63%	1.76%	1.14%	1.45%	0.46%	1.36%	0.22%					
19	2.Всероссийская политическая партия «Гражданская Сила»	269	9	6	11	5	7	15	13	8	6	10	10	7	9	7	18	16	7	10	16	2	8	9	8	3	9	14	1	3	2	7	2	7	4					
		0.84%	0.57%	0.50%	0.92%	0.83%	0.78%	1.87%	1.91%	0.88%	0.79%	1.32%	1.18%	0.69%	0.96%	0.77%	1.59%	1.18%	0.53%	0.75%	1.04%	0.18%	0.91%	0.87%	0.85%	0.32%	1.20%	1.28%	0.11%	0.35%	0.25%	0.72%	0.31%	0.68%	0.88%					
20	3.Политическая партия «Демократическая партия России»	64	2	0	0	0	1	1	0	1	4	0	0	2	1	2	0	4	23	0	1	1	0	4	2	0	2	0	0	0	10	2	0	0	1					
		0.20%	0.13%	0.00%	0.00%	0.00%	0.11%	0.12%	0.00%	0.11%	0.53%	0.00%	0.00%	0.20%	0.11%	0.22%	0.00%	0.29%	1.73%	0.00%	0.07%	0.09%	0.00%	0.39%	0.21%	0.00%	0.27%	0.00%	0.00%	0.00%	1.27%	0.21%	0.00%	0.00%	0.22%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3472	146	111	126	92	85	91	98	136	117	103	101	98	136	123	127	154	146	134	138	119	95	105	123	97	76	118	115	69	52	81	46	91	23					
		10.79%	9.18%	9.23%	10.54%	15.21%	9.52%	11.36%	14.41%	14.93%	15.50%	13.61%	11.97%	9.61%	14.53%	13.52%	11.24%	11.35%	10.99%	10.11%	8.99%	10.93%	10.83%	10.14%	13.04%	10.29%	10.11%	10.83%	12.46%	8.08%	6.59%	8.39%	7.07%	8.85%	5.03%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	332	21	11	11	5	16	7	17	8	9	8	12	9	4	6	17	30	13	9	16	7	14	8	10	6	6	11	9	8	3	7	1	12	1					
		1.03%	1.32%	0.91%	0.92%	0.83%	1.79%	0.87%	2.50%	0.88%	1.19%	1.06%	1.42%	0.88%	0.43%	0.66%	1.50%	2.21%	0.98%	0.68%	1.04%	0.64%	1.60%	0.77%	1.06%	0.64%	0.80%	1.01%	0.98%	0.94%	0.38%	0.72%	0.15%	1.17%	0.22%					
23	6.Политическая партия «Партия социальной справедливости»	63	5	5	0	1	1	0	2	3	1	0	2	3	0	1	1	4	1	3	4	2	3	4	2	0	2	0	1	0	10	1	0	1	0					
		0.20%	0.31%	0.42%	0.00%	0.17%	0.11%	0.00%	0.29%	0.33%	0.13%	0.00%	0.24%	0.29%	0.00%	0.11%	0.09%	0.29%	0.08%	0.23%	0.26%	0.18%	0.34%	0.39%	0.21%	0.00%	0.27%	0.00%	0.11%	0.00%	1.27%	0.10%	0.00%	0.10%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3023	126	105	83	49	65	68	55	75	62	70	61	98	92	85	95	120	136	114	153	105	85	119	76	100	74	117	121	134	64	107	71	110	28					
		9.40%	7.92%	8.73%	6.94%	8.10%	7.28%	8.49%	8.09%	8.23%	8.21%	9.25%	7.23%	9.61%	9.83%	9.34%	8.41%	8.84%	10.23%	8.60%	9.97%	9.64%	9.69%	11.50%	8.06%	10.60%	9.84%	10.73%	13.11%	15.69%	8.11%	11.08%	10.91%	10.70%	6.13%					
