Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва									
Дата голосования: 07.12.2003 0:00:00									
									
Наименование Избирательной комиссии:    Уфимская (Калининская ОИК)									
									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)									
									
		Сумма	УИК  3183	УИК №3184					
1	"Число избирателей, внесенных в списки"	646	469	177					
2	"Число бюллетеней, полученных участковыми комиссиями"	640	460	180					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	451	329	122					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	36	29	7					
6	Число погашенных бюллетеней	153	102	51					
7	Число бюллетеней в переносных ящиках для голосования	36	29	7					
8	Число бюллетеней в стационарных ящиках для голосования	451	329	122					
9	Число недействительных бюллетеней	12	6	6					
10	Число действительных бюллетеней	475	352	123					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	13	10	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	12	10	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	5	4					
14	Число погашенных открепительных удостоверений	1	0	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0					
16	Число утраченных бюллетеней	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0					
									
18	"1. ""ЕДИНЕНИЕ"""	12	8	4					
		2.46%	2.23%	3.10%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	10	8	2					
		2.05%	2.23%	1.55%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	14	8	6					
		2.87%	2.23%	4.65%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	9	7	2					
		1.84%	1.95%	1.55%					
22	"5. ""За Русь Святую"""	1	1	0					
		0.20%	0.27%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	2	2	0					
		0.41%	0.55%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	7	6	1					
		1.43%	1.67%	0.77%					
25	"8. ""Народно-республиканская партия России"""	3	0	3					
		0.61%	0.0%	2.32%					
26	"9. ""Российская экологическая партия ""Зеленые"""	1	0	1					
		0.20%	0.0%	0.77%					
27	"10. ""Аграрная партия России"""	43	24	19					
		8.82%	6.70%	14.72%					
28	"11. ""Истинные патриоты России"""	0	0	0					
		0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	5	5	0					
		1.02%	1.39%	0.0%					
30	"13. ""Демократическая партия России"""	2	1	1					
		0.41%	0.27%	0.77%					
31	"14. ""Великая Россия - Евразийский Союз"""	0	0	0					
		0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	2	1	1					
		0.41%	0.27%	0.77%					
33	"16. ""Родина"" (народно-патриотический союз)"""	31	26	5					
		6.36%	7.26%	3.87%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	1	1					
		0.41%	0.27%	0.77%					
35	"18. ""ЛДПР"""	57	32	25					
		11.70%	8.93%	19.37%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	16	13	3					
		3.28%	3.63%	2.32%					
37	"20. ""Политическая партия ""Единая Россия"""	178	148	30					
		36.55%	41.34%	23.25%					
38	"21. ""Российская Конституционно-демократическая партия"""	1	1	0					
		0.20%	0.27%	0.0%					
39	"22. ""Развитие предпринимательства"""	1	1	0					
		0.20%	0.27%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	65	49	16					
		13.34%	13.68%	12.40%					
									
41	Против всех	13	10	3					
		2.66%	2.79%	2.32%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
