Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Наримановская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №657	УИК №658					
1	"Число избирателей, внесенных в список"	32910	391	245	2485	833	882	1035	331	195	1112	303	774	877	902	967	635	795	1255	344	1780	1581	2323	2388	2229	2089	1338	1015	229	695	499	989	172	564	335	177	146					
2	Число полученных избирательных бюллетеней	32070	380	250	2450	800	850	1000	340	200	1100	300	750	850	900	950	650	800	1200	340	1750	1550	2200	2200	2200	2000	1300	1000	230	720	450	1000	160	550	340	180	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	409	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16953	248	147	1223	514	497	612	191	124	653	174	397	401	392	417	318	342	646	190	1018	811	851	1239	1171	940	618	563	152	450	283	656	103	280	171	78	83					
5	"Число избирательных бюллетеней, выданных вне помещения"	2311	37	38	105	64	12	188	66	31	88	44	40	55	60	75	16	41	23	18	62	64	539	53	42	108	97	52	10	55	39	46	12	42	65	11	13					
6	Число погашенных избирательных бюллетеней	12397	95	65	1122	222	341	200	83	45	326	82	313	394	448	458	316	417	531	132	670	407	810	908	987	952	585	277	68	215	128	298	45	228	104	91	34					
7	Число избирательных бюллетеней в переносных ящиках	2720	37	38	105	64	12	188	66	31	121	44	40	55	60	75	16	41	23	18	62	332	539	53	42	108	97	160	10	55	39	46	12	42	65	11	13					
8	Число бюллетеней в стационарных ящиках для голосования	16949	248	147	1223	513	497	612	191	124	653	174	397	401	392	417	318	342	646	190	1018	811	851	1239	1171	940	618	563	152	450	283	656	103	277	171	78	83					
9	Число недействительных избирательных бюллетеней	230	9	1	15	8	7	4	4	0	12	1	1	2	11	3	4	3	9	6	4	4	22	8	12	9	14	14	3	9	3	21	1	4	1	1	0					
10	Число действительных избирательных бюллетеней	19439	276	184	1313	569	502	796	253	155	762	217	436	454	441	489	330	380	660	202	1076	1139	1368	1284	1201	1039	701	709	159	496	319	681	114	315	235	88	96					
11	Число полученных открепительных  удостоверений	649	25	25	44	20	15	25	10	10	25	10	15	15	15	10	15	15	15	10	25	30	25	25	25	25	35	20	10	20	10	25	10	15	10	10	10					
12	Число выданных открепительных удостоверений	591	25	25	44	20	15	25	10	3	25	10	15	9	5	8	9	12	10	3	25	30	25	25	25	19	35	20	10	20	10	25	8	15	10	10	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	253	7	4	9	2	10	10	2	1	12	1	12	10	3	9	5	0	5	2	9	11	10	13	4	4	3	4	0	2	57	5	5	5	5	4	8					
14	Число неиспользованных открепительных удостоверений	58	0	0	0	0	0	0	0	7	0	0	0	6	10	2	6	3	5	7	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	611	1	7	32	16	15	37	0	3	16	11	25	17	17	16	15	14	50	3	26	23	39	62	41	38	18	15	5	8	10	18	2	8	2	0	1					
		3.11%	0.35%	3.78%	2.41%	2.77%	2.95%	4.62%	0.00%	1.94%	2.07%	5.05%	5.72%	3.73%	3.76%	3.25%	4.49%	3.66%	7.47%	1.44%	2.41%	2.01%	2.81%	4.80%	3.38%	3.63%	2.52%	2.07%	3.09%	1.58%	3.11%	2.56%	1.74%	2.51%	0.85%	0.00%	1.04%					
19	. Малышкин Олег Александрович	350	8	1	10	8	7	37	6	3	5	5	8	7	11	8	5	11	19	3	3	6	33	26	34	26	5	7	2	5	3	14	2	9	7	5	1					
		1.78%	2.81%	0.54%	0.75%	1.39%	1.38%	4.62%	2.33%	1.94%	0.65%	2.29%	1.83%	1.54%	2.43%	1.63%	1.50%	2.87%	2.84%	1.44%	0.28%	0.52%	2.37%	2.01%	2.80%	2.48%	0.70%	0.97%	1.23%	0.99%	0.93%	1.99%	1.74%	2.82%	2.97%	5.62%	1.04%					
20	. Миронов Сергей Михайлович	136	2	1	10	2	1	5	0	0	2	2	3	4	5	7	3	5	2	0	4	8	19	8	5	11	6	7	0	3	4	2	1	2	1	0	1					
		0.69%	0.70%	0.54%	0.75%	0.35%	0.20%	0.62%	0.00%	0.00%	0.26%	0.92%	0.69%	0.88%	1.11%	1.42%	0.90%	1.31%	0.30%	0.00%	0.37%	0.70%	1.37%	0.62%	0.41%	1.05%	0.84%	0.97%	0.00%	0.59%	1.24%	0.28%	0.87%	0.63%	0.42%	0.00%	1.04%					
21	. Путин Владимир Владимирович	13501	215	140	983	462	368	567	160	96	524	111	272	322	301	359	190	235	473	115	718	751	921	892	807	734	447	459	129	391	237	554	97	178	167	51	75					
		68.64%	75.44%	75.68%	74.02%	80.07%	72.30%	70.88%	62.26%	61.94%	67.70%	50.92%	62.24%	70.61%	66.59%	72.97%	56.89%	61.36%	70.70%	55.29%	66.48%	65.70%	66.26%	69.04%	66.53%	70.04%	62.52%	63.49%	79.63%	77.43%	73.60%	78.92%	84.35%	55.80%	70.76%	57.30%	78.12%					
22	. Хакамада Ирина Муцуовна	506	6	4	48	16	13	16	7	2	9	10	14	10	21	12	10	4	26	2	18	11	69	41	23	20	31	18	3	7	8	11	4	9	2	0	1					
		2.57%	2.11%	2.16%	3.61%	2.77%	2.55%	2.00%	2.72%	1.29%	1.16%	4.59%	3.20%	2.19%	4.65%	2.44%	2.99%	1.04%	3.89%	0.96%	1.67%	0.96%	4.96%	3.17%	1.90%	1.91%	4.34%	2.49%	1.85%	1.39%	2.48%	1.57%	3.48%	2.82%	0.85%	0.00%	1.04%					
23	. Харитонов Николай Михайлович	3789	31	27	191	47	77	106	75	50	194	67	105	87	76	69	89	101	72	75	303	328	184	203	253	177	182	193	15	74	56	75	8	97	55	30	17					
		19.26%	10.88%	14.59%	14.38%	8.15%	15.13%	13.25%	29.18%	32.26%	25.06%	30.73%	24.03%	19.08%	16.81%	14.02%	26.65%	26.37%	10.76%	36.06%	28.06%	28.70%	13.24%	15.71%	20.86%	16.89%	25.45%	26.69%	9.26%	14.65%	17.39%	10.68%	6.96%	30.41%	23.31%	33.71%	17.71%					
																																										
24	Против всех	546	13	4	39	18	21	28	5	1	12	11	9	7	10	18	18	10	18	4	4	12	103	52	38	33	12	10	5	8	1	7	0	12	1	2	0					
		2.78%	4.56%	2.16%	2.94%	3.12%	4.13%	3.50%	1.95%	0.65%	1.55%	5.05%	2.06%	1.54%	2.21%	3.66%	5.39%	2.61%	2.69%	1.92%	0.37%	1.05%	7.41%	4.02%	3.13%	3.15%	1.68%	1.38%	3.09%	1.58%	0.31%	1.00%	0.00%	3.76%	0.42%	2.25%	0.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
