Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Октябрьская городская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18866	1206	1078	1165	1200	1191	992	1068	1145	1217	1203	1123	1264	1232	946	806	1062	968									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18450	1100	1000	1100	1200	1200	1000	1000	1100	1200	1200	1100	1200	1200	975	800	1100	975									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9508	552	388	606	663	661	685	655	515	366	477	506	671	669	510	465	581	538									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2747	165	238	101	93	79	137	58	106	485	528	152	176	74	40	130	88	97									
6	Число погашенных избирательных бюллетеней	6195	383	374	393	444	460	178	287	479	349	195	442	353	457	425	205	431	340									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2747	165	238	101	93	79	137	58	106	485	528	152	176	74	40	130	88	97									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9467	552	366	606	663	661	675	655	515	366	477	506	671	668	510	457	581	538									
9	Число недействительных избирательных бюллетеней	414	20	18	29	17	25	34	16	19	16	23	36	33	20	23	15	39	31									
10	Число действительных избирательных бюллетеней	11800	697	586	678	739	715	778	697	602	835	982	622	814	722	527	572	630	604									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	361	13	10	20	20	23	25	27	30	3	21	19	20	20	20	30	35	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	343	9	10	15	16	23	25	27	30	3	21	17	17	20	20	30	35	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	143	9	5	11	10	11	16	14	7	8	5	2	12	8	4	4	5	12									
14	Число погашенных неиспользованных открепительных удостоверений	18	4	0	5	4	0	0	0	0	0	0	2	3	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	2	2	1	3	2	8	0	2	3	4	0	3	0	4	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	118	8	8	8	8	7	6	6	11	13	5	4	6	9	4	3	6	6									
		0.97%	1.12%	1.32%	1.13%	1.06%	0.95%	0.74%	0.84%	1.77%	1.53%	0.50%	0.61%	0.71%	1.21%	0.73%	0.51%	0.90%	0.94%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	319	14	16	20	24	21	22	27	16	15	16	12	25	18	17	16	18	22									
		2.61%	1.95%	2.65%	2.83%	3.17%	2.84%	2.71%	3.79%	2.58%	1.76%	1.59%	1.82%	2.95%	2.43%	3.09%	2.73%	2.69%	3.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	143	2	4	15	8	9	16	12	5	9	8	8	13	6	11	7	8	2									
		1.17%	0.28%	0.66%	2.12%	1.06%	1.22%	1.97%	1.68%	0.81%	1.06%	0.80%	1.22%	1.53%	0.81%	2.00%	1.19%	1.20%	0.31%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6372	417	325	346	362	352	462	326	309	532	439	348	438	403	253	362	373	325									
		52.17%	58.16%	53.81%	48.94%	47.88%	47.57%	56.90%	45.72%	49.76%	62.51%	43.68%	52.89%	51.71%	54.31%	46.00%	61.67%	55.75%	51.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	56	1	2	1	5	4	6	6	3	4	6	2	6	4	4	0	1	1									
		0.46%	0.14%	0.33%	0.14%	0.66%	0.54%	0.74%	0.84%	0.48%	0.47%	0.60%	0.30%	0.71%	0.54%	0.73%	0.00%	0.15%	0.16%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	0	0	1	2	2	2	4	3	0	1	4	8	3	1	0	0	3									
		0.28%	0.00%	0.00%	0.14%	0.26%	0.27%	0.25%	0.56%	0.48%	0.00%	0.10%	0.61%	0.94%	0.40%	0.18%	0.00%	0.00%	0.47%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2015	129	118	118	110	136	102	147	102	123	127	124	147	121	104	96	115	96									
		16.50%	17.99%	19.54%	16.69%	14.55%	18.38%	12.56%	20.62%	16.43%	14.45%	12.64%	18.84%	17.36%	16.31%	18.91%	16.35%	17.19%	15.12%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	44	2	0	5	3	1	5	3	0	1	4	3	2	5	3	3	1	3									
		0.36%	0.28%	0.00%	0.71%	0.40%	0.14%	0.62%	0.42%	0.00%	0.12%	0.40%	0.46%	0.24%	0.67%	0.55%	0.51%	0.15%	0.47%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	607	24	24	30	55	31	30	34	35	50	193	14	23	11	13	10	6	24									
		4.97%	3.35%	3.97%	4.24%	7.28%	4.19%	3.69%	4.77%	5.64%	5.88%	19.20%	2.13%	2.72%	1.48%	2.36%	1.70%	0.90%	3.78%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	0	1	1	2	2	1	0	1	0	1	0	3	1	0	0	1	0									
		0.11%	0.00%	0.17%	0.14%	0.26%	0.27%	0.12%	0.00%	0.16%	0.00%	0.10%	0.00%	0.35%	0.13%	0.00%	0.00%	0.15%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	91	2	7	6	4	9	10	6	1	8	3	10	8	2	3	6	4	2									
		0.75%	0.28%	1.16%	0.85%	0.53%	1.22%	1.23%	0.84%	0.16%	0.94%	0.30%	1.52%	0.94%	0.27%	0.55%	1.02%	0.60%	0.31%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1362	74	60	84	95	95	68	79	70	52	119	68	100	101	87	43	77	90									
		11.15%	10.32%	9.93%	11.88%	12.57%	12.84%	8.37%	11.08%	11.27%	6.11%	11.84%	10.33%	11.81%	13.61%	15.82%	7.33%	11.51%	14.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	63	1	4	2	2	3	2	0	31	3	1	1	3	4	4	1	1	0									
		0.52%	0.14%	0.66%	0.28%	0.26%	0.41%	0.25%	0.00%	4.99%	0.35%	0.10%	0.15%	0.35%	0.54%	0.73%	0.17%	0.15%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	562	23	17	41	59	43	46	47	15	25	59	24	32	34	23	25	19	30									
		4.60%	3.21%	2.81%	5.80%	7.80%	5.81%	5.67%	6.59%	2.42%	2.94%	5.87%	3.65%	3.78%	4.58%	4.18%	4.26%	2.84%	4.72%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
