Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Карасукская 																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344					
1	"Число избирателей, внесенных в списки"	35650	1071	2387	2160	2155	2640	1066	2458	2021	1504	2065	2432	747	417	386	739	723	541	293	154	629	661	196	221	98	504	117	81	98	1056	107	555	336	175	70	785	205	180	183	135	892	297	65	606	94	82	280	193	308	244	238					
2	"Число бюллетеней, полученных участковыми комиссиями"	35015	1070	2400	2020	1980	2433	1050	2560	1900	1300	2100	2320	740	430	385	745	740	550	287	160	670	680	197	225	105	520	115	86	100	1040	100	560	330	180	73	780	185	185	180	125	888	308	63	603	103	84	380	200	310	230	240					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20559	568	1295	1073	961	1347	517	1107	1044	803	1135	1449	573	285	266	547	416	349	165	124	402	407	141	147	89	348	87	73	85	622	69	302	230	149	70	511	171	167	163	110	531	176	54	385	89	58	264	123	216	143	153					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	939	37	36	30	98	94	23	67	33	26	41	22	20	23	24	44	8	21	0	13	20	14	0	10	0	10	0	0	0	43	0	31	0	0	0	21	9	0	0	0	58	10	5	20	1	0	16	0	11	0	0					
6	Число погашенных бюллетеней	13516	465	1069	917	921	992	510	1386	823	471	924	849	147	122	95	154	316	180	122	23	248	259	55	68	16	162	28	13	15	375	31	227	100	31	3	248	5	18	17	15	299	122	4	198	13	26	100	77	83	87	87					
7	Число бюллетеней в переносных ящиках для голосования	939	37	36	30	98	94	23	67	33	26	41	22	20	23	24	44	8	21	0	13	20	14	0	10	0	10	0	0	0	43	0	31	0	0	0	21	9	0	0	0	58	10	5	20	1	0	16	0	11	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	20558	568	1294	1073	961	1347	517	1107	1044	803	1135	1449	573	285	266	547	416	349	165	124	402	407	141	147	89	348	87	73	85	622	69	302	230	149	70	511	171	167	163	110	531	176	54	385	89	58	264	123	216	143	153					
9	Число недействительных бюллетеней	440	8	24	40	20	15	10	25	20	16	14	8	8	10	2	7	15	5	4	0	5	7	0	2	0	10	12	2	3	20	0	4	10	3	0	11	14	0	2	10	16	8	2	8	3	0	9	5	8	9	6					
10	Число действительных бюллетеней	21057	597	1306	1063	1039	1426	530	1149	1057	813	1162	1463	585	298	288	584	409	365	161	137	417	414	141	155	89	348	75	71	82	645	69	329	220	146	70	521	166	167	161	100	573	178	57	397	87	58	271	118	219	134	147					
