Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Сретенская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793					
1	"Число избирателей, внесенных в списки"	19169	594	397	811	405	790	510	1024	401	534	2263	2400	1963	42	109	762	42	311	430	199	515	43	259	66	101	308	234	287	389	64	85	174	333	59	195	161	81	630	651	491	56					
2	"Число бюллетеней, полученных участковыми комиссиями"	20000	635	370	830	355	760	505	1030	385	480	2270	2350	2150	70	165	835	80	350	450	205	525	55	360	85	115	420	235	350	415	75	85	170	370	65	205	185	105	680	650	510	65					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11127	238	215	366	215	372	269	662	270	238	1101	1146	1142	37	109	391	33	245	234	128	357	43	219	63	76	267	190	267	283	59	72	126	234	54	130	143	71	355	317	339	51					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	922	50	7	38	10	25	20	28	0	66	48	46	59	5	0	44	5	10	44	14	24	0	40	3	6	41	22	20	52	5	0	7	31	5	14	11	0	50	67	0	5					
6	Число погашенных бюллетеней	7951	347	148	426	130	363	216	340	115	176	1121	1158	949	28	56	400	42	95	172	63	144	12	101	19	33	112	23	63	80	11	13	37	105	6	61	31	34	275	266	171	9					
7	Число бюллетеней в переносных ящиках для голосования	922	50	7	38	10	25	20	28	0	66	48	46	59	5	0	44	5	10	44	14	24	0	40	3	6	41	22	20	52	5	0	7	31	5	14	11	0	50	67	0	5					
8	Число бюллетеней в стационарных ящиках для голосования	11127	238	215	366	215	372	269	662	270	238	1101	1146	1142	37	109	391	33	245	234	128	357	43	219	63	76	267	190	267	283	59	72	126	234	54	130	143	71	355	317	339	51					
9	Число недействительных бюллетеней	199	11	4	4	4	17	7	12	4	9	15	15	19	0	3	9	0	4	13	4	0	0	0	0	3	0	4	0	4	0	3	4	2	0	0	0	0	11	9	5	0					
10	Число действительных бюллетеней	11850	277	218	400	221	380	282	678	266	295	1134	1177	1182	42	106	426	38	251	265	138	381	43	259	66	79	308	208	287	331	64	69	129	263	59	144	154	71	394	375	334	56					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	501	15	11	10	20	10	10	20	15	10	40	40	70	5	5	20	5	10	10	5	10	5	10	5	5	5	5	5	10	5	5	5	10	5	5	5	5	20	20	20	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	129	0	3	1	1	5	0	2	3	3	18	18	44	0	0	3	0	7	1	0	1	0	0	0	1	0	3	0	2	0	0	0	3	0	1	1	0	2	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	1	1	0	2	0	0	2	0	0	8	8	2	7	0	3	0	1	0	0	0	0	2	0	1	2	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0					
14	Число погашенных открепительных удостоверений	372	15	8	9	19	5	10	18	12	7	22	22	26	5	5	17	5	3	9	5	9	5	10	5	4	5	2	5	8	5	5	5	7	5	4	4	5	18	20	14	5					
15	Число открепительных удостоверений выданных ТИК	4	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	202	1	6	7	4	2	6	5	12	5	10	21	30	0	3	6	1	3	4	2	7	4	4	1	0	3	4	7	2	2	0	6	5	0	4	4	0	13	6	0	2					
		1.67%	0.34%	2.70%	1.73%	1.77%	0.50%	2.07%	0.72%	4.44%	1.64%	0.87%	1.76%	2.49%	0.0%	2.75%	1.37%	2.63%	1.17%	1.43%	1.40%	1.83%	9.30%	1.54%	1.51%	0.0%	0.97%	1.88%	2.43%	0.59%	3.12%	0.0%	4.51%	1.88%	0.0%	2.77%	2.59%	0.0%	3.20%	1.56%	0.0%	3.57%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	87	4	1	3	3	5	2	5	0	4	8	6	15	0	0	2	1	4	2	1	5	0	0	0	1	2	0	0	0	0	1	2	1	2	0	1	0	3	2	0	1					
		0.72%	1.38%	0.45%	0.74%	1.33%	1.25%	0.69%	0.72%	0.0%	1.31%	0.69%	0.50%	1.24%	0.0%	0.0%	0.45%	2.63%	1.56%	0.71%	0.70%	1.31%	0.0%	0.0%	0.0%	1.21%	0.64%	0.0%	0.0%	0.0%	0.0%	1.38%	1.50%	0.37%	3.38%	0.0%	0.64%	0.0%	0.74%	0.52%	0.0%	1.78%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	266	10	5	9	7	7	15	14	7	7	27	39	13	0	1	4	0	8	8	5	1	1	19	2	2	3	7	3	7	4	0	0	2	0	0	3	0	9	10	7	0					
		2.20%	3.47%	2.25%	2.22%	3.11%	1.76%	5.19%	2.02%	2.59%	2.30%	2.34%	3.27%	1.08%	0.0%	0.91%	0.91%	0.0%	3.13%	2.87%	3.52%	0.26%	2.32%	7.33%	3.03%	2.43%	0.97%	3.30%	1.04%	2.08%	6.25%	0.0%	0.0%	0.75%	0.0%	0.0%	1.94%	0.0%	2.22%	2.60%	2.06%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	120	1	8	6	4	3	0	7	2	3	12	18	24	0	0	6	1	1	0	2	1	0	2	0	0	1	0	6	1	0	0	0	1	0	0	0	1	3	0	4	2					
		0.99%	0.34%	3.60%	1.48%	1.77%	0.75%	0.0%	1.01%	0.74%	0.98%	1.04%	1.51%	1.99%	0.0%	0.0%	1.37%	2.63%	0.39%	0.0%	1.40%	0.26%	0.0%	0.77%	0.0%	0.0%	0.32%	0.0%	2.09%	0.29%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	1.40%	0.74%	0.0%	1.17%	3.57%					
22	"5. ""За Русь Святую"""	48	0	0	1	2	1	2	1	1	0	1	6	2	0	0	0	0	2	7	2	5	1	0	0	3	4	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0					
		0.39%	0.0%	0.0%	0.24%	0.88%	0.25%	0.69%	0.14%	0.37%	0.0%	0.08%	0.50%	0.16%	0.0%	0.0%	0.0%	0.0%	0.78%	2.51%	1.40%	1.31%	2.32%	0.0%	0.0%	3.65%	1.29%	0.47%	0.69%	0.0%	0.0%	0.0%	0.0%	1.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	31	0	0	1	0	2	0	1	0	3	6	3	0	0	1	0	0	0	0	0	0	0	0	0	1	3	2	0	1	0	0	2	0	0	3	0	0	2	0	0	0					
		0.25%	0.0%	0.0%	0.24%	0.0%	0.50%	0.0%	0.14%	0.0%	0.98%	0.52%	0.25%	0.0%	0.0%	0.91%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.97%	0.94%	0.0%	0.29%	0.0%	0.0%	1.50%	0.0%	0.0%	2.08%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	70	0	1	0	0	3	7	19	0	3	5	6	12	0	0	1	0	0	0	0	1	0	2	0	0	3	0	0	1	0	0	0	0	0	1	0	0	1	3	1	0					
		0.58%	0.0%	0.45%	0.0%	0.0%	0.75%	2.42%	2.75%	0.0%	0.98%	0.43%	0.50%	0.99%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.77%	0.0%	0.0%	0.97%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.24%	0.78%	0.29%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	0	0	1	0	0	0	1	1	0	1	1	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0					
		0.09%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.14%	0.37%	0.0%	0.08%	0.08%	0.08%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.32%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	1	0	2	0	0	2	1	1	1	2	3	7	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
