Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Байкитская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256					
1	"Число избирателей, внесенных в списки избирателей"	3557	1231	1072	242	118	61	86	220	289	108	80	50					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3749	1361	1150	231	140	61	98	220	250	100	89	49					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	34	0	0	0	0	0	0	0	34	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2211	739	616	162	112	61	55	137	178	59	57	35					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	80	44	24	3	0	0	0	8	0	1	0	0					
6	Число погашенных избирательных бюллетеней	1424	578	510	66	28	0	43	75	38	40	32	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	114	44	24	3	0	0	0	8	34	1	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2211	739	616	162	112	61	55	137	178	59	57	35					
9	Число недействительных избирательных бюллетеней	27	8	8	1	1	0	1	4	1	1	1	1					
10	Число действительных избирательных бюллетеней	2298	775	632	164	111	61	54	141	211	59	56	34					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	192	44	43	25	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	65	30	22	2	0	0	0	1	7	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	17	12	0	0	1	0	0	1	1	1	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	127	14	21	23	10	10	10	9	3	7	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	2	0	0	3	0	0	0	1	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	60	20	25	4	2	1	1	2	3	1	1	0					
		2.58%	2.55%	3.91%	2.42%	1.79%	1.64%	1.82%	1.38%	1.42%	1.67%	1.75%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	18	9	6	0	1	0	1	1	0	0	0	0					
		0.77%	1.15%	0.94%	0.00%	0.89%	0.00%	1.82%	0.69%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	2	1	0	1	0	0	0	0	0	0	0	0					
		0.09%	0.13%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	92	37	28	8	2	0	1	8	5	1	1	1					
		3.96%	4.73%	4.38%	4.85%	1.79%	0.00%	1.82%	5.52%	2.36%	1.67%	1.75%	2.86%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	19	5	7	1	1	0	0	0	1	0	4	0					
		0.82%	0.64%	1.09%	0.61%	0.89%	0.00%	0.00%	0.00%	0.47%	0.00%	7.02%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	3	1	2	0	0	0	0	0	0	0	0	0					
		0.13%	0.13%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	193	70	72	14	5	2	2	14	4	0	7	3					
		8.30%	8.94%	11.25%	8.48%	4.46%	3.28%	3.64%	9.66%	1.89%	0.00%	12.28%	8.57%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	127	63	39	8	6	0	1	4	3	1	2	0					
		5.46%	8.05%	6.09%	4.85%	5.36%	0.00%	1.82%	2.76%	1.42%	1.67%	3.51%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	13	9	3	0	0	0	0	0	1	0	0	0					
		0.56%	1.15%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1761	556	447	126	94	58	48	112	193	56	41	30					
		75.74%	71.01%	69.84%	76.36%	83.93%	95.08%	87.27%	77.24%	91.04%	93.33%	71.93%	85.71%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	10	4	3	2	0	0	0	0	1	0	0	0					
		0.43%	0.51%	0.47%	1.21%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
