Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
Наименование Избирательной комиссии:    Табасаранская																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349					
1	"Число избирателей, внесенных в списки"	28812	283	272	328	114	346	170	258	260	331	134	430	390	234	592	426	866	606	396	755	329	973	1240	409	218	380	175	244	154	376	486	351	399	360	179	104	1314	899	606	818	728	292	224	142	150	213	477	871	149	502	321	671	1222	228	284	1037	791	361	514	189	237	376	611	262	305	450					
2	"Число бюллетеней, полученных участковыми комиссиями"	28482	283	281	316	114	346	174	258	265	319	134	424	390	234	579	426	866	606	411	752	329	965	1203	404	218	380	175	245	149	374	486	351	417	339	179	104	1314	899	529	818	728	275	224	142	140	203	461	871	137	458	321	671	1242	228	266	1037	791	340	497	188	222	367	612	262	295	448					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27263	283	272	293	114	342	166	258	257	300	130	395	382	224	464	399	860	580	396	741	255	965	1150	214	203	380	175	239	149	344	477	351	399	339	179	101	1303	810	529	810	728	275	224	142	121	200	442	854	103	414	321	599	1222	228	234	1030	791	340	497	174	184	367	597	262	256	430					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	1217	0	9	23	0	4	8	0	8	19	4	29	8	10	115	27	6	26	15	11	74	0	53	190	15	0	0	6	0	30	9	0	18	0	0	3	11	89	0	8	0	0	0	0	19	3	19	17	34	44	0	70	20	0	32	7	0	0	0	14	38	0	15	0	39	18					
7	Число бюллетеней в переносных ящиках для голосования	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	27263	283	272	293	114	342	166	258	257	300	130	395	382	224	464	399	860	580	396	741	255	965	1150	214	203	380	175	239	149	344	477	351	399	339	179	101	1303	810	529	810	728	275	224	142	121	200	442	854	103	414	321	599	1222	228	234	1030	791	340	497	174	184	367	597	262	256	430					
9	Число недействительных бюллетеней	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	19	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0					
10	Число действительных бюллетеней	27218	283	272	293	114	342	166	258	257	300	130	395	382	224	464	399	860	580	386	741	255	965	1150	212	184	380	175	239	149	334	477	351	399	339	179	100	1303	810	529	810	728	275	224	142	121	200	442	854	103	414	321	599	1222	228	234	1027	791	340	497	174	184	367	597	262	256	430					
