Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Шатковская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20430	1579	1434	1310	2049	1737	1070	568	1924	1089	495	708	305	440	364	979	406	915	1048	786	962	262									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20652	1603	1458	1300	2088	1757	1074	617	1932	1104	491	710	304	439	368	991	412	912	1050	807	974	261									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7924	684	424	669	774	784	341	244	638	411	313	209	110	131	123	627	94	321	437	191	322	77									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2411	7	8	33	25	28	161	194	229	403	76	258	84	117	50	10	23	137	191	155	162	60									
6	Число погашенных избирательных бюллетеней	10317	912	1026	598	1289	945	572	179	1065	290	102	243	110	191	195	354	295	454	422	461	490	124									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2411	7	8	33	25	28	161	194	229	403	76	258	84	117	50	10	23	137	191	155	162	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7920	680	424	669	774	784	341	244	638	411	313	209	110	131	123	627	94	321	437	191	322	77									
9	Число недействительных избирательных бюллетеней	220	4	10	11	53	13	6	37	2	3	0	6	4	3	21	9	6	3	7	8	6	8									
10	Число действительных избирательных бюллетеней	10111	683	422	691	746	799	496	401	865	811	389	461	190	245	152	628	111	455	621	338	478	129									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	335	29	22	19	42	31	16	9	29	17	7	11	5	7	5	15	6	14	15	17	15	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	224	27	14	17	35	26	6	1	20	13	3	7	0	3	2	15	4	3	4	17	6	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	136	11	9	21	2	8	5	5	5	6	4	7	4	10	1	3	3	10	9	4	5	4									
14	Число погашенных неиспользованных открепительных удостоверений	111	2	8	2	7	5	10	8	9	4	4	4	5	4	3	0	2	11	11	0	9	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	9	14	4	4	4	0	0	5	6	0	0	0	0	0	0	0	0	3	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	129	5	10	11	18	14	5	25	5	6	1	3	0	4	2	5	2	1	3	2	6	1									
		1.25%	0.73%	2.31%	1.57%	2.25%	1.72%	0.99%	5.71%	0.58%	0.74%	0.26%	0.64%	0.00%	1.61%	1.16%	0.78%	1.71%	0.22%	0.48%	0.58%	1.24%	0.73%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	287	21	20	15	31	25	14	7	16	27	14	14	6	7	14	16	5	4	12	5	11	3									
		2.78%	3.06%	4.63%	2.14%	3.88%	3.08%	2.79%	1.60%	1.85%	3.32%	3.60%	2.99%	3.09%	2.82%	8.09%	2.51%	4.27%	0.87%	1.91%	1.45%	2.27%	2.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	178	6	6	20	18	20	7	7	18	7	2	5	3	5	1	12	3	9	10	7	11	1									
		1.72%	0.87%	1.39%	2.85%	2.25%	2.46%	1.39%	1.60%	2.08%	0.86%	0.51%	1.07%	1.55%	2.02%	0.58%	1.88%	2.56%	1.97%	1.59%	2.02%	2.27%	0.73%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6423	422	193	381	388	439	328	268	541	606	317	279	134	131	55	450	55	358	458	230	319	71									
		62.17%	61.43%	44.68%	54.27%	48.56%	54.06%	65.34%	61.19%	62.40%	74.45%	81.49%	59.74%	69.07%	52.82%	31.79%	70.64%	47.01%	78.17%	72.93%	66.47%	65.91%	51.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	43	1	5	3	8	3	2	6	2	2	2	1	0	1	1	2	1	0	1	0	1	1									
		0.42%	0.15%	1.16%	0.43%	1.00%	0.37%	0.40%	1.37%	0.23%	0.25%	0.51%	0.21%	0.00%	0.40%	0.58%	0.31%	0.85%	0.00%	0.16%	0.00%	0.21%	0.73%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	1	0	1	1	0	0	8	0	0	0	0	0	0	1	0	0	0	0	2	0	0									
		0.14%	0.15%	0.00%	0.14%	0.13%	0.00%	0.00%	1.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1257	107	74	78	110	112	63	42	142	74	21	58	23	48	22	70	22	41	54	35	47	14									
		12.17%	15.57%	17.13%	11.11%	13.77%	13.79%	12.55%	9.59%	16.38%	9.09%	5.40%	12.42%	11.86%	19.35%	12.72%	10.99%	18.80%	8.95%	8.60%	10.12%	9.71%	10.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	32	0	1	1	7	11	1	8	0	0	0	0	0	0	0	0	0	0	0	2	1	0									
		0.31%	0.00%	0.23%	0.14%	0.88%	1.35%	0.20%	1.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.21%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	36	2	0	6	7	0	1	3	5	2	0	1	1	1	1	1	0	0	2	0	3	0									
		0.35%	0.29%	0.00%	0.85%	0.88%	0.00%	0.20%	0.68%	0.58%	0.25%	0.00%	0.21%	0.52%	0.40%	0.58%	0.16%	0.00%	0.00%	0.32%	0.00%	0.62%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	2	0	0	2	0	0	2	1	2	0	0	0	0	0	0	0	2	0	2	1	0									
		0.14%	0.29%	0.00%	0.00%	0.25%	0.00%	0.00%	0.46%	0.12%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.58%	0.21%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	1	2	6	2	6	3	1	2	1	0	2	1	3	1	1	3	1	1	2	2	1									
		0.41%	0.15%	0.46%	0.85%	0.25%	0.74%	0.60%	0.23%	0.23%	0.12%	0.00%	0.43%	0.52%	1.21%	0.58%	0.16%	2.56%	0.22%	0.16%	0.58%	0.41%	0.73%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1476	95	99	151	134	155	64	17	123	69	31	92	19	41	50	59	15	35	77	43	70	37									
		14.29%	13.83%	22.92%	21.51%	16.77%	19.09%	12.75%	3.88%	14.19%	8.48%	7.97%	19.70%	9.79%	16.53%	28.90%	9.26%	12.82%	7.64%	12.26%	12.43%	14.46%	27.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	3	4	4	2	1	1	1	2	3	0	1	1	0	0	0	0	0	0	1	0	0									
		0.23%	0.44%	0.93%	0.57%	0.25%	0.12%	0.20%	0.23%	0.23%	0.37%	0.00%	0.21%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	156	17	8	14	18	13	7	6	8	12	1	5	2	4	4	12	5	4	3	7	6	0									
		1.51%	2.47%	1.85%	1.99%	2.25%	1.60%	1.39%	1.37%	0.92%	1.47%	0.26%	1.07%	1.03%	1.61%	2.31%	1.88%	4.27%	0.87%	0.48%	2.02%	1.24%	0.00%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
