Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																						
Дата голосования: 07.12.2003 0:00:00																																																						
																																																						
Наименование Избирательной комиссии:    Переволоцкая																																																						
																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																						
																																																						
		Сумма	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385					
1	"Число избирателей, внесенных в списки"	20904	269	399	407	161	473	37	145	160	660	582	693	578	379	59	40	604	204	147	231	661	116	51	527	216	679	134	133	95	800	181	174	144	743	89	146	125	444	1045	898	797	1287	598	1208	1045	1392	727	221					
2	"Число бюллетеней, полученных участковыми комиссиями"	21048	250	400	400	160	450	40	150	150	650	550	700	600	400	70	40	590	200	150	250	650	100	50	500	200	1000	150	150	100	800	200	180	150	700	100	220	150	450	1100	900	900	1200	550	1150	1000	1300	698	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13483	153	266	294	96	303	28	94	112	328	296	567	441	231	59	39	437	167	112	162	424	93	44	347	125	673	120	114	70	481	138	105	100	447	84	146	101	265	1003	423	467	700	336	677	548	728	400	139					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	458	22	28	6	7	27	0	7	14	32	39	7	0	13	0	0	0	0	0	20	14	0	0	0	0	6	0	0	0	20	0	0	0	2	0	0	2	14	29	22	6	6	22	29	13	37	4	10					
6	Число погашенных бюллетеней	7107	75	106	100	57	120	12	49	24	290	215	126	159	156	11	1	153	33	38	68	212	7	6	153	75	321	30	36	30	299	62	75	50	251	16	74	47	171	68	455	427	494	192	444	439	535	294	51					
7	Число бюллетеней в переносных ящиках для голосования	458	22	28	6	7	27	0	7	14	32	39	7	0	13	0	0	0	0	0	20	14	0	0	0	0	6	0	0	0	20	0	0	0	2	0	0	2	14	29	22	6	6	22	29	13	37	4	10					
8	Число бюллетеней в стационарных ящиках для голосования	13481	153	266	294	96	303	28	94	112	328	296	567	441	231	59	39	437	167	112	162	424	93	44	347	125	673	120	114	70	480	138	105	100	447	84	146	101	265	1003	423	466	700	336	677	548	728	400	139					
9	Число недействительных бюллетеней	201	5	6	6	3	9	0	0	0	7	9	5	17	1	0	0	3	10	0	4	0	0	0	3	0	0	4	2	0	3	1	7	4	2	0	1	0	4	9	18	7	4	0	14	3	19	0	11					
10	Число действительных бюллетеней	13738	170	288	294	100	321	28	101	126	353	326	569	424	243	59	39	434	157	112	178	438	93	44	344	125	679	116	112	70	497	137	98	96	447	84	145	103	275	1023	427	465	702	358	692	558	746	404	138					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	151	2	3	3	1	3	0	1	1	5	4	5	4	3	0	0	4	2	1	1	4	1	0	3	1	7	1	1	0	5	2	1	1	5	0	2	1	4	8	6	6	10	5	10	8	10	5	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	14	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	2	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	0	0	0	0	0	1	0	1	0	1	0	8	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	19	0	0	0	0	0	0	0	2	0	0	2	3	0	4	1	1	0	0					
14	Число погашенных открепительных удостоверений	137	1	3	3	1	1	0	1	1	5	4	5	4	3	0	0	4	2	1	1	2	1	0	3	1	7	1	1	0	5	2	1	1	5	0	2	1	3	8	5	6	10	5	7	6	8	5	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
18	"1. ""ЕДИНЕНИЕ"""	178	4	7	3	1	2	2	7	2	6	5	15	2	4	2	1	5	4	3	6	6	0	0	4	0	11	0	3	1	4	1	5	2	8	1	0	2	3	17	3	0	7	3	4	3	5	1	3					
		1.27%	2.28%	2.38%	1.0%	0.97%	0.60%	7.14%	6.93%	1.58%	1.66%	1.49%	2.61%	0.45%	1.63%	3.38%	2.56%	1.14%	2.39%	2.67%	3.29%	1.36%	0.0%	0.0%	1.15%	0.0%	1.62%	0.0%	2.63%	1.42%	0.8%	0.72%	4.76%	2.0%	1.78%	1.19%	0.0%	1.94%	1.07%	1.64%	0.67%	0.0%	0.99%	0.83%	0.56%	0.53%	0.65%	0.24%	2.01%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	146	1	2	1	1	6	0	0	1	3	4	2	6	1	0	0	6	0	1	1	2	3	0	2	2	3	0	0	0	7	1	1	3	11	1	5	2	1	3	5	4	8	4	12	3	9	15	3					
		1.04%	0.57%	0.68%	0.33%	0.97%	1.81%	0.0%	0.0%	0.79%	0.83%	1.19%	0.34%	1.36%	0.40%	0.0%	0.0%	1.37%	0.0%	0.89%	0.54%	0.45%	3.22%	0.0%	0.57%	1.6%	0.44%	0.0%	0.0%	0.0%	1.4%	0.72%	0.95%	3.0%	2.44%	1.19%	3.42%	1.94%	0.35%	0.29%	1.12%	0.84%	1.13%	1.11%	1.69%	0.53%	1.17%	3.71%	2.01%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	249	3	9	2	2	4	1	1	1	11	16	1	19	4	2	0	12	2	4	3	4	1	0	7	0	10	0	2	0	5	3	8	1	18	0	1	3	4	2	7	6	8	12	19	7	20	4	0					
		1.78%	1.71%	3.06%	0.66%	1.94%	1.21%	3.57%	0.99%	0.79%	3.05%	4.77%	0.17%	4.30%	1.63%	3.38%	0.0%	2.74%	1.19%	3.57%	1.64%	0.91%	1.07%	0.0%	2.01%	0.0%	1.47%	0.0%	1.75%	0.0%	1.0%	2.17%	7.61%	1.0%	4.00%	0.0%	0.68%	2.91%	1.43%	0.19%	1.57%	1.27%	1.13%	3.35%	2.69%	1.24%	2.61%	0.99%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	143	1	0	0	0	2	0	0	0	2	2	0	5	3	0	0	4	4	1	1	10	0	0	1	2	8	0	1	2	5	9	0	0	5	4	1	1	1	1	5	11	9	8	14	6	8	6	0					
		1.02%	0.57%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.55%	0.59%	0.0%	1.13%	1.22%	0.0%	0.0%	0.91%	2.39%	0.89%	0.54%	2.28%	0.0%	0.0%	0.28%	1.6%	1.17%	0.0%	0.87%	2.85%	1.0%	6.52%	0.0%	0.0%	1.11%	4.76%	0.68%	0.97%	0.35%	0.09%	1.12%	2.33%	1.27%	2.23%	1.98%	1.06%	1.04%	1.48%	0.0%					
22	"5. ""За Русь Святую"""	71	0	0	1	4	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	3	1	8	1	0	0	1	0	1	1	1	0	0	0	0	1	2	6	7	5	6	4	8	2	2					
		0.50%	0.0%	0.0%	0.33%	3.88%	0.0%	0.0%	0.0%	0.0%	0.83%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.86%	0.8%	1.17%	0.83%	0.0%	0.0%	0.2%	0.0%	0.95%	1.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.09%	0.44%	1.27%	0.99%	1.39%	0.84%	0.71%	1.04%	0.49%	1.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	0	0	3	0	1	0	0	0	1	0	3	5	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	3	0	0	0	2	0	1	1	1	0	1	1	4	1	1	1	1	0	0					
		0.25%	0.0%	0.0%	1.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.27%	0.0%	0.52%	1.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	2.27%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	0.6%	0.0%	0.0%	0.0%	0.44%	0.0%	0.68%	0.97%	0.35%	0.0%	0.22%	0.21%	0.56%	0.27%	0.14%	0.17%	0.13%	0.0%	0.0%					
