Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    район Нагатинский затон																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №3248	УИК №3249					
1	"Число избирателей, внесенных в списки избирателей"	67568	1760	1759	2727	2221	1731	2638	2642	2282	1994	2504	2359	1236	1483	1556	2707	2323	2071	2374	2156	2676	2464	2335	2089	2030	2601	2470	1753	2289	902	2114	2100	1084	40	98					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	62200	1500	1500	2500	2000	1500	2500	2500	2000	2000	2000	2000	1000	1500	1500	2500	2000	2000	2000	2000	2500	2000	2000	2000	2000	2500	2500	1500	2000	1500	2000	2000	1000	50	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	39052	895	900	1930	1171	856	1990	1378	1715	1029	1384	1312	789	761	865	1374	1894	1248	1166	1101	1337	1253	1311	1287	1085	1383	1770	921	1160	875	1097	1108	583	26	98					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	987	32	37	41	23	27	35	46	15	22	21	34	23	46	34	22	75	32	24	57	29	22	24	24	28	19	20	21	41	27	27	40	10	9	0					
6	Число погашенных избирательных бюллетеней	22161	573	563	529	806	617	475	1076	270	949	595	654	188	693	601	1104	31	720	810	842	1134	725	665	689	887	1098	710	558	799	598	876	852	407	15	52					
7	Число избирательных бюллетеней в переносных ящиках для голосования	987	32	37	41	23	27	35	46	15	22	21	34	23	46	34	22	75	32	24	57	29	22	24	24	28	19	20	21	41	27	27	40	10	9	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38902	893	898	1921	1168	854	1990	1378	1715	1027	1363	1312	785	761	865	1374	1894	1219	1166	1101	1329	1248	1305	1287	1083	1383	1750	899	1160	872	1094	1101	583	26	98					
9	Число недействительных избирательных бюллетеней	655	16	15	29	27	12	24	21	0	12	15	27	39	12	16	24	7	0	26	20	28	18	79	13	26	27	10	16	15	16	22	24	18	0	1					
10	Число действительных избирательных бюллетеней	39234	909	920	1933	1164	869	2001	1403	1730	1037	1369	1319	769	795	883	1372	1962	1251	1164	1138	1330	1252	1250	1298	1085	1375	1760	904	1186	883	1099	1117	575	35	97					
