Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    район Нагатинский затон																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №3340	УИК №3341					
1	"Число избирателей, внесенных в список избирателей"	67359	1697	1858	3106	2039	1294	2604	2654	2183	1975	2398	2316	1190	1447	1691	2700	2276	2114	2334	2106	2640	2401	2306	2037	1998	2604	2469	1767	2219	1618	2019	2050	1086	40	123					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62450	1500	1500	2700	2000	1100	2500	2500	2000	2000	2200	2100	1100	1200	1500	2500	2100	2000	2100	2000	2500	2100	2100	2000	1900	2500	2450	1500	2100	1500	1900	2000	1000	50	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	46073	860	1136	2189	1021	690	1961	1951	1545	1510	1597	1697	770	950	1118	1580	1626	1459	1264	1498	2052	1955	1679	1376	1341	1683	2038	1226	1696	1200	1191	1284	767	40	123					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	996	22	117	38	30	23	52	40	25	10	34	38	26	19	15	28	89	37	22	16	25	30	27	16	25	18	33	15	41	27	21	34	3	0	0					
6	Число погашенных избирательных бюллетеней	15381	618	247	473	949	387	487	509	430	480	569	365	304	231	367	892	385	504	814	486	423	115	394	608	534	799	379	259	363	273	688	682	230	10	127					
7	Число избирательных бюллетеней в переносных ящиках для голосования	996	22	117	38	30	23	52	40	25	10	34	38	26	19	15	28	89	37	22	16	25	30	27	16	25	18	33	15	41	27	21	34	3	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46069	860	1136	2189	1021	686	1961	1951	1545	1510	1597	1697	770	950	1118	1580	1626	1459	1264	1498	2052	1955	1679	1376	1341	1683	2038	1226	1696	1200	1191	1284	767	40	123					
9	Число недействительных избирательных бюллетеней	571	12	21	12	30	16	4	0	27	24	11	0	13	0	10	23	0	73	20	24	20	53	39	31	5	0	4	1	0	17	37	22	22	0	0					
10	Число действительных избирательных бюллетеней	46494	870	1232	2215	1021	693	2009	1991	1543	1496	1620	1735	783	969	1123	1585	1715	1423	1266	1490	2057	1932	1667	1361	1361	1701	2067	1240	1737	1210	1175	1296	748	40	123					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1500	40	45	45	45	20	60	55	55	25	50	60	40	30	40	55	60	65	50	35	55	55	60	30	50	45	55	45	55	50	45	45	35	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1378	40	44	45	45	20	60	55	55	16	50	57	32	30	40	41	60	54	41	28	50	45	50	30	42	40	53	45	55	50	37	33	35	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1198	47	23	53	45	31	19	13	39	51	13	40	25	30	20	38	26	22	11	22	16	71	52	64	45	51	35	37	28	59	71	45	33	8	15					
14	Число погашенных неиспользованных открепительных удостоверений	122	0	1	0	0	0	0	0	0	9	0	3	8	0	0	14	0	11	9	7	5	10	10	0	8	5	2	0	0	0	8	12	0	0	0					
