Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Симферопольская - 21																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1132	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1163	УИК №1180	УИК №1181	УИК №1182	УИК №1183									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27784	1436	2283	780	808	1593	2189	1178	484	193	2116	539	2446	1843	1560	2487	2440	1656	1753									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21950	1130	1730	620	640	1260	1770	940	380	150	1680	420	1960	1460	1230	1950	1910	1320	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13085	713	1065	331	372	476	1032	467	211	90	1307	356	1423	1065	717	1078	878	711	793									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	806	46	56	14	40	66	85	49	8	18	101	28	48	52	31	36	42	33	53									
6	Число погашенных избирательных бюллетеней	8059	371	609	275	228	718	653	424	161	42	272	36	489	343	482	836	990	576	554									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	806	46	56	14	40	66	85	49	8	18	101	28	48	52	31	36	42	33	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13085	713	1065	331	372	476	1032	467	211	90	1307	356	1423	1065	717	1078	878	711	793									
9	Число недействительных избирательных бюллетеней	225	16	15	9	11	20	8	10	4	2	23	1	12	24	9	22	15	17	7									
10	Число действительных избирательных бюллетеней	13666	743	1106	336	401	522	1109	506	215	106	1385	383	1459	1093	739	1092	905	727	839									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	683	33	50	18	19	37	102	27	11	5	49	12	50	42	37	57	56	38	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	280	12	5	1	2	6	57	22	11	3	25	7	36	17	24	13	5	20	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	147	1	87	0	3	3	2	2	5	1	0	2	3	3	7	10	10	4	4									
