Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    Даниловская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689					
1	"Число избирателей, внесенных в списки избирателей"	14815	2438	2705	150	111	514	617	83	519	758	202	168	855	138	95	1523	192	499	617	102	114	1276	109	180	709	141					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15710	2435	2705	194	135	530	800	110	510	765	210	170	980	153	122	1615	197	545	635	102	115	1425	110	235	765	147					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7857	1052	1246	128	90	341	366	53	259	335	141	86	505	101	54	747	116	282	335	70	84	722	79	143	423	99					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1023	145	71	0	5	46	60	6	50	82	20	15	81	20	21	99	22	32	24	7	11	139	1	9	40	17					
6	Число погашенных избирательных бюллетеней	6830	1238	1388	66	40	143	374	51	201	348	49	69	394	32	47	769	59	231	276	25	20	564	30	83	302	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1023	145	71	0	5	46	60	6	50	82	20	15	81	20	21	99	22	32	24	7	11	139	1	9	40	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7857	1052	1246	128	90	341	366	53	259	335	141	86	505	101	54	747	116	282	335	70	84	722	79	143	423	99					
9	Число недействительных избирательных бюллетеней	44	5	9	3	2	0	0	0	3	1	1	0	0	0	0	6	2	3	4	0	0	5	0	0	0	0					
10	Число действительных избирательных бюллетеней	8836	1192	1308	125	93	387	426	59	306	416	160	101	586	121	75	840	136	311	355	77	95	856	80	152	463	116					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	285	40	40	5	5	10	15	5	10	12	7	7	15	5	5	25	5	10	10	5	5	20	5	7	7	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	56	11	6	0	1	1	10	2	0	4	2	0	0	0	0	4	0	0	2	0	0	6	0	1	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	35	5	4	0	0	2	0	1	0	1	0	0	3	0	0	2	0	0	0	0	0	14	0	1	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	229	29	34	5	4	9	5	3	10	8	5	7	15	5	5	21	5	10	8	5	5	14	5	6	3	3					
