Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Нижнесергинская 																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601					
1	"Число избирателей, внесенных в список избирателей"	38129	945	643	1435	1628	1298	856	570	748	1213	796	1536	1582	1486	1177	976	414	1160	1385	1120	1327	1472	1480	1231	1120	483	130	796	308	81	730	243	147	166	144	191	288	322	119	445	304	626	399	553	104	673	603	232	428	597	919	426	74					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31000	750	550	1150	1300	1000	700	500	550	1000	650	1200	1250	1200	950	800	350	950	1150	900	1100	1200	1200	1000	900	400	120	650	250	80	600	200	150	150	130	150	250	250	100	350	250	500	350	450	100	550	500	200	350	500	700	350	70					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17714	394	296	677	851	611	446	186	341	507	321	683	710	660	483	377	137	517	806	510	697	663	497	536	533	282	92	286	124	43	395	104	85	82	69	126	141	185	61	225	159	393	204	282	62	299	284	115	194	242	541	160	40					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1440	45	35	33	50	53	10	34	17	16	40	35	31	21	53	56	39	17	21	20	22	53	63	39	74	15	2	65	30	0	30	10	8	16	19	8	20	11	8	8	20	10	14	25	7	42	41	9	55	43	9	33	5					
6	Число погашенных избирательных бюллетеней	11846	311	219	440	399	336	244	280	192	477	289	482	509	519	414	367	174	416	323	370	381	484	640	425	293	103	26	299	96	37	175	86	57	52	42	16	89	54	31	117	71	97	132	143	31	209	175	76	101	215	150	157	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1440	45	35	33	50	53	10	34	17	16	40	35	31	21	53	56	39	17	21	20	22	53	63	39	74	15	2	65	30	0	30	10	8	16	19	8	20	11	8	8	20	10	14	25	7	42	41	9	55	43	9	33	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17714	394	296	677	851	611	446	186	341	507	321	683	710	660	483	377	137	517	806	510	697	663	497	536	533	282	92	286	124	43	395	104	85	82	69	126	141	185	61	225	159	393	204	282	62	299	284	115	194	242	541	160	40					
9	Число недействительных избирательных бюллетеней	501	5	11	14	13	30	5	4	5	11	6	14	26	26	16	6	2	9	48	16	22	15	21	20	14	4	1	10	2	1	13	1	0	1	1	2	0	2	0	5	7	17	8	7	0	11	10	6	4	4	19	4	2					
10	Число действительных избирательных бюллетеней	18653	434	320	696	888	634	451	216	353	512	355	704	715	655	520	427	174	525	779	514	697	701	539	555	593	293	93	341	152	42	412	113	93	97	87	132	161	194	69	228	172	386	210	300	69	330	315	118	245	281	531	189	43					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	491	7	5	10	15	10	8	5	5	16	5	25	25	15	16	5	5	10	15	15	10	20	35	20	20	20	3	9	6	3	10	4	3	3	3	3	11	3	3	5	10	5	3	5	3	5	9	3	8	8	15	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	369	3	5	10	11	6	7	2	5	12	5	14	15	12	15	1	0	8	15	11	6	18	32	14	17	17	2	9	6	0	9	4	1	3	0	2	9	0	0	0	9	3	2	5	1	4	9	3	8	6	13	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	339	3	6	4	9	9	2	2	28	2	6	6	8	0	6	2	5	6	7	9	6	6	7	12	57	34	1	5	6	2	9	0	3	4	2	2	2	4	0	5	4	10	3	4	1	4	4	3	1	2	11	2	3					
