Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Нижнесергинская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599					
1	"Число избирателей, внесенных в списки избирателей"	39177	985	695	1515	1457	1479	850	542	855	1204	761	1596	1668	1594	1669	1006	452	1422	1469	968	1377	1554	1482	1381	1125	446	139	745	316	71	748	251	146	168	138	185	294	332	116	413	314	607	386	558	110	694	598	232	500	580	984					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37500	930	650	1470	1430	1440	850	530	670	1170	710	1510	1510	1510	1600	960	410	1350	1400	890	1330	1500	1450	1190	1090	450	139	750	320	76	750	260	155	171	139	190	290	340	116	410	320	600	370	560	103	720	600	220	490	511	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21044	465	315	840	864	801	533	190	493	589	417	868	866	789	816	480	197	759	889	489	777	796	607	654	620	279	101	371	145	46	439	126	86	99	70	142	175	186	68	256	222	424	263	318	57	390	341	125	239	299	663					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1677	73	35	48	39	49	15	29	12	43	48	39	48	53	88	95	39	42	23	36	36	81	62	44	79	30	4	50	30	0	20	19	6	19	19	5	10	1	8	10	19	23	14	15	11	15	42	8	69	66	8					
6	Число погашенных избирательных бюллетеней	14779	392	300	582	527	590	302	311	165	538	245	603	596	668	696	385	174	549	488	365	517	623	781	492	391	141	34	329	145	30	291	115	63	53	50	43	105	153	40	144	79	153	93	227	35	315	217	87	182	146	229					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1677	73	35	48	39	49	15	29	12	43	48	39	48	53	88	95	39	42	23	36	36	81	62	44	79	30	4	50	30	0	20	19	6	19	19	5	10	1	8	10	19	23	14	15	11	15	42	8	69	66	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21040	465	315	840	864	801	533	190	493	589	417	868	866	789	813	480	197	759	889	489	777	796	607	654	620	279	101	371	145	46	439	126	86	99	70	142	175	186	68	256	222	424	263	318	57	389	341	125	239	299	663					
9	Число недействительных избирательных бюллетеней	262	6	5	7	11	8	3	2	5	6	4	8	2	9	9	3	2	10	13	5	12	12	9	8	8	0	1	3	4	0	3	0	0	0	2	3	0	1	0	3	5	5	4	16	1	20	3	8	8	4	1					
10	Число действительных избирательных бюллетеней	22455	532	345	881	892	842	545	217	500	626	461	899	912	833	892	572	234	791	899	520	801	865	660	690	691	309	104	418	171	46	456	145	92	118	87	144	185	186	76	263	236	442	273	317	67	384	380	125	300	361	670					
