Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Кирово-Чепецкая городская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №644					
1	"Число избирателей, внесенных в списки избирателей"	70664	1168	2106	1972	2347	2714	2018	2142	1457	2054	2685	2371	2545	1511	1703	986	2129	2892	2281	2445	1211	1853	2147	1331	2535	2648	2671	1905	1406	888	1125	1626	495	1093	498	1742	1731	1314	1515	1404					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	67930	1000	2000	2000	2300	2700	2000	2000	1400	2000	2500	2400	2500	1500	1600	1000	2000	2500	2000	2000	1200	1800	2000	1300	2600	2600	2800	1900	1400	800	1050	1800	480	900	500	1600	1600	1300	1400	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	44634	750	1383	1307	1572	1595	1224	1266	907	1364	1681	1593	1542	999	1031	548	1449	1733	1503	1562	799	1122	1397	868	1738	1700	1826	1262	937	703	508	1002	153	745	137	1141	942	786	950	909					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2013	44	43	35	55	60	41	39	39	60	24	44	45	23	8	5	11	35	22	37	18	18	44	28	23	28	29	18	19	8	287	131	145	42	361	23	17	21	28	55					
6	Число погашенных избирательных бюллетеней	21283	206	574	658	673	1045	735	695	454	576	795	763	913	478	561	447	540	732	475	401	383	660	559	404	839	872	945	620	444	89	255	667	182	113	2	436	641	493	422	536					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2013	44	43	35	55	60	41	39	39	60	24	44	45	23	8	5	11	35	22	37	18	18	44	28	23	28	29	18	19	8	287	131	145	42	361	23	17	21	28	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44593	750	1382	1307	1571	1593	1224	1266	907	1364	1681	1593	1542	997	1031	548	1447	1732	1501	1562	799	1121	1397	865	1738	1697	1804	1262	937	703	508	1002	153	745	137	1141	942	785	950	909					
9	Число недействительных избирательных бюллетеней	608	10	16	22	27	22	26	17	13	18	23	17	7	15	9	8	12	19	17	17	6	21	18	15	20	13	15	21	19	21	11	19	1	14	2	15	20	16	17	9					
10	Число действительных избирательных бюллетеней	45998	784	1409	1320	1599	1631	1239	1288	933	1406	1682	1620	1580	1005	1030	545	1446	1748	1506	1582	811	1118	1423	878	1741	1712	1818	1259	937	690	784	1114	297	773	496	1149	939	790	961	955					
