Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Демидовская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136					
1	"Число избирателей, внесенных в списки избирателей"	13809	2024	1728	1304	2003	218	271	301	291	420	215	513	234	352	223	369	208	363	170	381	219	145	197	1281	379					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13670	1965	1713	1267	1940	214	273	310	290	417	218	520	238	360	227	381	208	366	174	366	233	152	192	1246	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6496	967	825	666	962	99	99	144	160	167	106	245	129	175	108	138	41	126	75	105	106	79	44	571	359					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2089	91	80	49	36	76	66	80	64	141	60	128	57	68	72	64	130	128	62	206	75	21	121	194	20					
6	Число погашенных избирательных бюллетеней	5085	907	808	552	942	39	108	86	66	109	52	147	52	117	47	179	37	112	37	55	52	52	27	481	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2089	91	80	49	36	76	66	80	64	141	60	128	57	68	72	64	130	128	62	206	75	21	121	194	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6492	967	825	666	962	99	99	144	160	167	106	245	129	175	108	138	41	126	75	105	106	79	44	571	355					
9	Число недействительных избирательных бюллетеней	135	20	13	4	25	0	5	1	5	6	4	8	4	6	1	8	0	4	3	2	0	1	1	14	0					
10	Число действительных избирательных бюллетеней	8446	1038	892	711	973	175	160	223	219	302	162	365	182	237	179	194	171	250	134	309	181	99	164	751	375					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	386	24	24	24	24	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	24	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	99	18	4	11	16	1	4	3	0	4	1	3	1	5	4	1	0	0	1	1	10	0	0	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	147	7	2	0	10	2	4	1	3	6	1	4	2	4	3	2	2	3	1	2	2	1	2	9	74					
14	Число погашенных неиспользованных открепительных удостоверений	287	6	20	13	8	13	10	11	14	10	13	11	13	9	10	13	14	14	13	13	4	14	14	14	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	1.Политическая партия «Аграрная партия России»	191	18	17	16	15	3	3	11	1	10	3	6	1	12	3	9	2	6	1	0	15	1	2	23	13					
		2.23%	1.70%	1.88%	2.24%	1.50%	1.71%	1.82%	4.91%	0.45%	3.25%	1.81%	1.61%	0.54%	4.94%	1.67%	4.46%	1.17%	2.36%	0.73%	0.00%	8.29%	1.00%	1.21%	3.01%	3.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	43	9	4	7	3	0	0	0	0	2	0	1	0	0	0	1	1	3	0	5	0	0	0	4	3					
		0.50%	0.85%	0.44%	0.98%	0.30%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.27%	0.00%	0.00%	0.00%	0.50%	0.58%	1.18%	0.00%	1.61%	0.00%	0.00%	0.00%	0.52%	0.80%					
20	3.Политическая партия «Демократическая партия России»	9	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0					
		0.10%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.50%	0.00%	1.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
