Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																								
Дата голосования: 02.12.2007																								
																								
Наименование Избирательной комиссии:    Локнянская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447					
1	"Число избирателей, внесенных в списки избирателей"	9417	1223	1358	1270	750	617	307	258	370	248	704	677	81	223	477	494	175	185					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8565	1060	1245	1170	700	560	275	230	340	240	650	620	80	200	420	450	160	165					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4728	694	743	820	378	237	150	89	137	75	248	348	45	111	261	225	90	77					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1518	94	71	46	157	118	47	107	124	98	270	108	26	44	52	65	39	52					
6	Число погашенных избирательных бюллетеней	2319	272	431	304	165	205	78	34	79	67	132	164	9	45	107	160	31	36					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1518	94	71	46	157	118	47	107	124	98	270	108	26	44	52	65	39	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4727	693	743	820	378	237	150	89	137	75	248	348	45	111	261	225	90	77					
9	Число недействительных избирательных бюллетеней	63	3	10	7	9	0	0	0	2	1	18	4	1	1	3	4	0	0					
10	Число действительных избирательных бюллетеней	6182	784	804	859	526	355	197	196	259	172	500	452	70	154	310	286	129	129					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	178	10	10	28	40	10	2	5	10	5	5	13	5	5	10	10	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	114	7	10	24	36	0	0	0	10	0	3	9	1	4	5	3	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	53	6	3	4	2	3	4	3	3	1	8	2	4	1	3	1	2	3					
14	Число погашенных неиспользованных открепительных удостоверений	64	3	0	4	4	10	2	5	0	5	2	4	4	1	5	7	3	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	1.Политическая партия «Аграрная партия России»	158	16	19	19	15	9	4	1	9	6	9	18	1	3	12	11	3	3					
		2.53%	2.03%	2.33%	2.19%	2.80%	2.54%	2.03%	0.51%	3.45%	3.47%	1.74%	3.95%	1.41%	1.94%	3.83%	3.79%	2.33%	2.33%					
19	2.Всероссийская политическая партия «Гражданская Сила»	22	3	1	5	4	1	0	1	1	0	0	0	0	0	2	3	1	0					
		0.35%	0.38%	0.12%	0.58%	0.75%	0.28%	0.00%	0.51%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	1.03%	0.78%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	0	2	2	0	1	0	0	0	0	1	2	1	0	0	0	0	0					
		0.14%	0.00%	0.25%	0.23%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.19%	0.44%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	513	86	71	99	38	25	10	7	11	10	40	45	6	6	33	11	11	4					
		8.21%	10.93%	8.72%	11.43%	7.10%	7.04%	5.08%	3.57%	4.21%	5.78%	7.72%	9.87%	8.45%	3.87%	10.54%	3.79%	8.53%	3.10%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	13	2	2	4	2	0	1	0	0	0	1	0	0	0	0	0	0	1					
		0.21%	0.25%	0.25%	0.46%	0.37%	0.00%	0.51%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%					
23	6.Политическая партия «Партия социальной справедливости»	9	2	0	3	1	0	0	0	0	0	0	2	0	1	0	0	0	0					
		0.14%	0.25%	0.00%	0.35%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%					
