Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																		
Дата голосования: 02.12.2007																																		
																																		
Наименование Избирательной комиссии:    Ленинская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149					
1	"Число избирателей, внесенных в списки избирателей"	15582	2296	939	1142	127	421	372	132	274	152	1369	64	148	662	269	213	268	1317	414	335	467	177	168	775	516	686	1280	599					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15436	2205	932	1107	122	408	376	129	269	152	1362	67	149	666	266	220	267	1317	423	332	475	175	164	774	517	695	1246	621					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10852	1559	712	675	92	271	268	124	242	131	705	58	99	409	206	152	199	767	311	278	358	133	140	564	320	408	1152	519					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	421	47	37	28	5	8	16	0	8	0	32	1	0	29	19	8	8	29	6	10	9	13	0	35	26	33	14	0					
6	Число погашенных избирательных бюллетеней	4163	599	183	404	25	129	92	5	19	21	625	8	50	228	41	60	60	521	106	44	108	29	24	175	171	254	80	102					
7	Число избирательных бюллетеней в переносных ящиках для голосования	421	47	37	28	5	8	16	0	8	0	32	1	0	29	19	8	8	29	6	10	9	13	0	35	26	33	14	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10852	1559	712	675	92	271	268	124	242	131	705	58	99	409	206	152	199	767	311	278	358	133	140	564	320	408	1152	519					
9	Число недействительных избирательных бюллетеней	116	27	5	5	2	4	2	4	4	0	1	0	5	4	2	2	0	18	0	1	3	1	0	2	0	3	17	4					
10	Число действительных избирательных бюллетеней	11157	1579	744	698	95	275	282	120	246	131	736	59	94	434	223	158	207	778	317	287	364	145	140	597	346	438	1149	515					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	670	50	50	30	10	10	15	10	20	10	50	10	10	20	10	10	10	50	10	10	10	10	10	20	15	10	100	100					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	335	40	27	8	1	5	12	0	1	1	7	0	2	6	0	7	2	29	4	8	5	0	3	7	14	10	45	91					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	207	34	24	6	4	4	4	3	3	1	8	2	1	5	4	3	4	20	5	4	6	6	3	8	3	5	8	29					
14	Число погашенных неиспользованных открепительных удостоверений	335	10	23	22	9	5	3	10	19	9	43	10	8	14	10	3	8	21	6	2	5	10	7	13	1	0	55	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	5	10	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	1.Политическая партия «Аграрная партия России»	136	29	6	8	0	0	3	0	1	1	11	0	0	7	3	7	3	7	5	2	8	0	0	11	5	7	9	3					
