Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    район Ивановское 																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №8275	УИК №8277									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	79242	2157	2098	2369	2367	2466	2408	2082	2070	2424	2406	2453	2736	2019	1981	2100	2410	2088	2215	2104	2071	1979	2076	2354	409	2299	2287	2221	2416	2271	2385	2317	1974	2004	2218	2364	2090	306	248									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	87337	2000	2000	2200	2100	2200	2200	2100	1900	2200	2200	2200	2300	1700	1700	1900	2200	1900	2000	1900	1800	1800	1900	2200	400	2100	2000	2000	2200	2000	2100	2100	1700	1800	2000	2100	1800	12660	3777									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28358	769	710	834	830	885	815	1194	731	937	794	873	1161	676	633	773	749	681	690	627	714	594	573	756	126	726	993	840	866	737	829	821	700	835	757	914	718	306	191									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	994	17	31	26	32	25	34	34	25	24	30	14	26	27	35	22	12	27	30	31	28	50	32	23	9	23	44	29	19	25	21	13	30	34	15	25	15	0	57									
6	Число погашенных избирательных бюллетеней	57985	1214	1259	1340	1238	1290	1351	872	1144	1239	1376	1313	1113	997	1032	1105	1439	1192	1280	1242	1058	1156	1295	1421	265	1351	963	1131	1315	1238	1250	1266	970	931	1228	1161	1067	12354	3529									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	994	17	31	26	32	25	34	34	25	24	30	14	26	27	35	22	12	27	30	31	28	50	32	23	9	23	44	29	19	25	21	13	30	34	15	25	15	0	57									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28305	769	708	834	830	884	812	1186	730	937	792	871	1161	676	633	773	749	681	690	627	714	594	573	756	126	726	981	840	862	735	827	821	700	835	754	914	707	306	191									
9	Число недействительных избирательных бюллетеней	586	17	17	20	14	24	21	26	11	8	17	26	25	15	3	6	15	6	15	10	18	8	14	12	4	17	55	18	10	10	18	17	16	13	15	20	18	3	4									
10	Число действительных избирательных бюллетеней	28713	769	722	840	848	885	825	1194	744	953	805	859	1162	688	665	789	746	702	705	648	724	636	591	767	131	732	970	851	871	750	830	817	714	856	754	919	704	303	244									
