Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Сортавальская городская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  547					
1	"Число избирателей, внесенных в список"	29180	2118	1068	1122	2121	2082	2515	2501	1547	646	2085	2631	636	91	515	281	354	640	2475	1236	165	432	361	289	835	185	249					
2	Число полученных избирательных бюллетеней	25620	2000	1000	1000	2000	2000	2000	2000	1200	600	2000	2000	600	90	500	250	400	600	2000	1000	130	400	300	300	800	200	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15731	1013	607	588	1236	1019	1327	1478	881	323	1115	1481	355	47	271	136	189	322	1427	581	79	191	194	181	495	119	76					
5	"Число избирательных бюллетеней, выданных вне помещения"	1163	18	14	46	28	32	43	39	58	1	32	74	26	15	30	27	42	30	163	195	45	54	18	9	58	17	49					
6	Число погашенных избирательных бюллетеней	8726	969	379	366	736	949	630	483	261	276	853	445	219	28	199	87	169	248	410	224	6	155	88	110	247	64	125					
7	Число избирательных бюллетеней в переносных ящиках	1163	18	14	46	28	32	43	39	58	1	32	74	26	15	30	27	42	30	163	195	45	54	18	9	58	17	49					
8	Число бюллетеней в стационарных ящиках для голосования	15726	1013	607	588	1235	1019	1324	1478	881	323	1115	1481	355	47	271	136	189	322	1427	581	79	191	193	181	495	119	76					
9	Число недействительных избирательных бюллетеней	98	1	2	1	8	8	9	4	6	2	2	13	1	0	2	3	0	6	9	16	0	0	3	1	1	0	0					
10	Число действительных избирательных бюллетеней	16791	1030	619	633	1255	1043	1358	1513	933	322	1145	1542	380	62	299	160	231	346	1581	760	124	245	208	189	552	136	125					
11	Число полученных открепительных  удостоверений	319	20	45	10	15	15	20	15	20	5	20	20	5	2	5	5	20	10	20	12	4	5	5	5	7	4	5					
12	Число выданных открепительных удостоверений	195	8	41	3	8	14	15	13	7	0	11	10	2	0	3	0	11	9	14	9	0	4	0	2	6	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	110	0	2	6	11	9	3	6	13	1	3	4	4	3	1	3	7	2	18	3	0	0	3	0	8	0	0					
14	Число неиспользованных открепительных удостоверений	124	12	4	7	7	1	5	2	13	5	9	10	3	2	2	5	9	1	6	3	4	1	5	3	1	1	3					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
