Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Красносельская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347					
1	"Число избирателей, внесенных в списки"	15565	2277	2260	2416	1299	451	450	797	481	489	541	219	189	216	323	297	568	736	493	265	613	185					
2	"Число бюллетеней, полученных участковыми комиссиями"	14370	2100	2100	2200	1200	400	440	710	450	440	500	200	197	200	300	270	520	700	450	260	550	183					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7457	1043	1063	1213	704	205	155	357	289	183	192	107	127	124	151	111	212	360	259	161	319	122					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	743	47	29	18	20	17	46	47	14	41	72	29	20	4	49	39	58	39	29	23	91	11					
6	Число погашенных бюллетеней	6170	1010	1008	969	476	178	239	306	147	216	236	64	50	72	100	120	250	301	162	76	140	50					
7	Число бюллетеней в переносных ящиках для голосования	743	47	29	18	20	17	46	47	14	41	72	29	20	4	49	39	58	39	29	23	91	11					
8	Число бюллетеней в стационарных ящиках для голосования	7453	1043	1063	1209	704	205	155	357	289	183	192	107	127	124	151	111	212	360	259	161	319	122					
9	Число недействительных бюллетеней	103	11	7	12	8	0	0	6	10	6	3	1	0	3	3	1	5	8	7	7	2	3					
10	Число действительных бюллетеней	8093	1079	1085	1215	716	222	201	398	293	218	261	135	147	125	197	149	265	391	281	177	408	130					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	135	10	10	10	7	5	5	7	10	7	7	5	5	5	5	5	5	5	5	5	7	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	30	0	3	6	1	1	0	4	4	0	2	0	5	1	0	0	1	1	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	3	7	5	3	0	0	9	0	1	4	1	0	1	1	0	1	2	1	1	5	6					
14	Число погашенных открепительных удостоверений	105	10	7	4	6	4	5	3	6	7	5	5	0	4	5	5	4	4	5	5	6	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	104	12	11	9	5	2	5	4	9	4	4	2	2	6	7	1	5	5	2	3	4	2					
		1.26%	1.10%	1.00%	0.73%	0.69%	0.90%	2.48%	0.99%	2.97%	1.78%	1.51%	1.47%	1.36%	4.68%	3.5%	0.66%	1.85%	1.25%	0.69%	1.63%	0.97%	1.50%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	123	15	25	25	12	2	3	9	4	5	2	1	2	0	1	3	2	1	2	0	8	1					
		1.50%	1.37%	2.28%	2.03%	1.65%	0.90%	1.49%	2.22%	1.32%	2.23%	0.75%	0.73%	1.36%	0.0%	0.5%	2.0%	0.74%	0.25%	0.69%	0.0%	1.95%	0.75%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	250	32	43	33	13	8	15	15	10	10	8	5	4	3	3	8	5	14	2	5	11	3					
		3.05%	2.93%	3.93%	2.68%	1.79%	3.60%	7.46%	3.71%	3.30%	4.46%	3.03%	3.67%	2.72%	2.34%	1.5%	5.33%	1.85%	3.50%	0.69%	2.71%	2.68%	2.25%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	163	27	16	28	20	3	6	7	6	8	3	1	1	0	1	2	6	17	3	1	7	0					
		1.98%	2.47%	1.46%	2.28%	2.76%	1.35%	2.98%	1.73%	1.98%	3.57%	1.13%	0.73%	0.68%	0.0%	0.5%	1.33%	2.22%	4.26%	1.04%	0.54%	1.70%	0.0%					
22	"5. ""За Русь Святую"""	74	24	11	6	4	2	2	0	2	1	1	2	0	2	1	2	2	2	1	2	4	3					
		0.90%	2.20%	1.00%	0.48%	0.55%	0.90%	0.99%	0.0%	0.66%	0.44%	0.37%	1.47%	0.0%	1.56%	0.5%	1.33%	0.74%	0.50%	0.34%	1.08%	0.97%	2.25%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	4	4	1	4	1	0	2	0	0	0	1	1	0	0	1	0	2	1	0	1	0					
		0.28%	0.36%	0.36%	0.08%	0.55%	0.45%	0.0%	0.49%	0.0%	0.0%	0.0%	0.73%	0.68%	0.0%	0.0%	0.66%	0.0%	0.50%	0.34%	0.0%	0.24%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	40	3	6	3	5	2	0	5	2	1	1	0	0	0	0	0	1	7	2	0	2	0					
		0.48%	0.27%	0.54%	0.24%	0.69%	0.90%	0.0%	1.23%	0.66%	0.44%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	1.75%	0.69%	0.0%	0.48%	0.0%					
25	"8. ""Народно-республиканская партия России"""	13	0	1	1	3	1	0	2	0	0	0	0	1	0	0	2	0	1	0	1	0	0					
