Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
"Наименование Избирательной комиссии:    Новосибирск, Первомайская "																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943					
1	"Число избирателей, внесенных в список избирателей"	56358	1223	1321	1643	1558	2316	1620	2534	2008	2070	1318	2618	1148	2045	2039	922	1558	1625	2497	1822	1825	2061	1250	1604	2633	2149	2360	2265	2112	2018	2196					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49900	1100	1100	1400	1300	2100	1400	2200	1900	1900	1100	2300	1100	1900	1900	700	1300	1400	2200	1500	1600	1900	1100	1400	2200	2000	2200	2000	1900	1900	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	28979	612	541	854	826	1342	863	1247	1079	1332	801	1402	643	1199	928	481	883	953	1204	772	981	856	497	929	1305	1111	1219	1093	1014	1059	953					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2004	68	105	71	125	61	39	60	67	25	34	47	39	37	69	4	14	42	52	165	71	78	73	38	234	21	36	49	40	144	96					
6	Число погашенных избирательных бюллетеней	18917	420	454	475	349	697	498	893	754	543	265	851	418	664	903	215	403	405	944	563	548	966	530	433	661	868	945	858	846	697	851					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2004	68	105	71	125	61	39	60	67	25	34	47	39	37	69	4	14	42	52	165	71	78	73	38	234	21	36	49	40	144	96					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28909	612	541	854	825	1342	863	1247	1079	1332	801	1402	643	1199	859	481	883	953	1204	772	981	856	497	929	1305	1111	1219	1093	1014	1059	953					
9	Число недействительных избирательных бюллетеней	477	9	8	9	12	19	11	12	22	15	14	26	6	13	18	5	16	18	21	27	22	16	5	17	23	25	22	23	8	19	16					
10	Число действительных избирательных бюллетеней	30436	671	638	916	938	1384	891	1295	1124	1342	821	1423	676	1223	910	480	881	977	1235	910	1030	918	565	950	1516	1107	1233	1119	1046	1184	1033					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1153	17	30	17	38	32	30	56	35	43	22	46	25	30	52	29	20	23	54	33	32	38	28	38	65	48	45	30	49	98	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1149	17	30	17	38	32	30	56	35	43	22	46	25	30	51	29	19	21	54	33	32	38	28	38	65	48	45	30	49	98	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	826	16	23	35	57	29	55	19	14	95	29	15	20	23	16	12	18	10	26	50	17	18	15	24	87	29	12	17	14	21	10					
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	139	8	2	4	2	10	5	11	7	5	5	8	4	4	6	3	6	3	5	2	3	2	2	0	6	5	2	5	4	9	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3531	60	61	115	102	161	95	148	143	154	106	158	73	166	127	68	116	128	127	80	109	97	58	112	180	122	159	128	120	139	119					
		11.42%	8.82%	9.44%	12.43%	10.74%	11.48%	10.53%	11.32%	12.48%	11.35%	12.69%	10.90%	10.70%	13.43%	13.69%	14.02%	12.93%	12.86%	10.11%	8.54%	10.36%	10.39%	10.18%	11.58%	11.70%	10.78%	12.67%	11.21%	11.39%	11.55%	11.34%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5219	116	120	140	151	229	140	244	182	231	117	277	143	201	182	93	148	126	173	159	152	171	98	132	278	202	206	175	190	237	206					
