Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																												
Дата голосования: 04.12.2011																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №2																																																																																												
																																																																																												
Сводная таблица результатов выборов																																																																																												
																																																																																												
		Сумма	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158					
1	"Число избирателей, внесенных в список избирателей"	145041	1552	2168	1815	1657	1770	1896	1808	1813	1977	1762	1628	2460	2411	2278	1582	2386	1846	1931	1851	2005	1820	2047	2599	1901	1781	1632	1725	2046	1820	1690	2174	2023	1906	2347	1578	2198	1891	1776	1359	1662	2094	1713	2001	2215	1791	2008	1865	1821	2104	1899	2799	2335	1924	1596	1719	1700	1756	1675	1352	1855	1910	1948	2397	2650	2077	2065	2056	1788	1761	1869	2160	2183	2163	2177	8	124	236	315	23	17	54	18	49	16	184					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	121639	1500	1800	1400	1300	1400	1500	1500	1500	1700	1400	1400	1900	2000	1800	1300	2000	1500	1500	1600	1600	1600	1700	2300	1400	1400	1300	1500	1700	1500	1100	1900	1700	1500	2000	1200	1800	1600	1500	1200	1500	1800	1600	1700	1700	1600	1700	1600	1600	1800	1600	2400	2000	1600	1400	1400	1500	1500	1400	1200	1600	1700	1700	2000	2100	1800	1800	1800	1500	1400	1600	1900	1800	1900	1900	8	126	253	291	23	17	54	18	49	16	184					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	83932	1106	1293	947	898	1125	1063	1093	895	993	1207	1129	1506	1393	1507	806	1524	1180	1206	1051	1129	819	898	1194	1224	1262	802	912	1331	1082	1092	1144	1115	1358	1573	974	1190	968	1016	725	886	1149	1109	1052	1326	1097	1142	1081	1020	1240	1127	1318	1282	1109	886	927	1021	1043	1025	751	1139	1152	1151	1345	1456	1227	1153	1237	1069	1126	1023	1095	1289	1161	1030	8	109	236	260	23	17	53	18	49	16	169					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1427	11	12	14	17	7	13	7	25	15	21	5	28	24	23	9	10	13	11	14	19	20	14	13	22	13	4	17	27	12	5	26	34	20	13	22	24	16	28	17	26	11	4	24	35	25	24	23	49	30	24	21	10	21	1	23	21	20	22	30	32	25	24	10	8	27	16	34	25	14	17	8	40	45	13	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	36280	383	495	439	385	268	424	400	580	692	172	266	366	583	270	485	466	307	283	535	452	761	788	1093	154	125	494	571	342	406	3	730	551	122	414	204	586	616	456	458	588	640	487	624	339	478	534	496	531	530	449	1061	708	470	513	450	458	437	353	419	429	523	525	645	636	546	631	529	406	260	560	797	471	694	857	0	17	17	31	0	0	1	0	0	0	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1425	11	12	14	17	7	13	7	25	15	21	5	28	24	23	9	10	13	11	14	19	20	14	13	22	13	4	17	27	12	5	26	34	20	12	22	23	16	28	17	26	11	4	24	35	25	24	23	49	30	24	21	10	21	1	23	21	20	22	30	32	25	24	10	8	27	16	34	25	14	17	8	40	45	13	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	80917	1040	1132	937	897	1051	1062	954	833	985	1032	999	1306	1164	1375	806	1370	968	1070	954	1060	811	894	1183	1058	1085	799	897	1256	1077	1088	1136	1111	1184	1423	973	1190	967	1012	723	886	1145	1100	1051	1325	1070	1142	1076	1015	1238	1124	1314	1279	1109	886	920	1021	1041	1020	747	1139	1149	1150	1335	1436	1221	1150	1234	1065	1126	1021	1094	1279	1161	1028	8	109	236	260	23	17	53	18	49	16	169					
9	Число недействительных избирательных бюллетеней	1557	37	29	330	19	20	13	17	14	15	14	21	30	19	12	8	22	12	18	14	19	14	10	20	20	11	7	7	16	16	24	17	18	19	27	16	20	10	12	8	12	21	6	18	25	25	15	6	7	19	20	17	14	11	19	14	14	13	14	4	19	15	12	13	22	16	21	15	20	22	10	20	20	16	12	0	3	3	7	4	1	1	3	0	0	13					
10	Число действительных избирательных бюллетеней	80785	1014	1115	621	895	1038	1062	944	844	985	1039	983	1304	1169	1386	807	1358	969	1063	954	1060	817	898	1176	1060	1087	796	907	1267	1073	1069	1145	1127	1185	1408	979	1193	973	1028	732	900	1135	1098	1057	1335	1070	1151	1093	1057	1249	1128	1318	1275	1119	868	929	1028	1048	1028	773	1152	1159	1162	1332	1422	1232	1145	1253	1070	1118	1028	1082	1299	1190	1029	8	106	233	253	19	16	52	15	49	16	156					
