Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Шацкая																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804					
1	"Число избирателей, внесенных в список избирателей"	21301	211	236	423	283	255	480	227	372	536	1164	1038	310	97	657	189	298	177	330	184	230	484	545	242	221	104	34	311	235	91	74	366	276	245	262	356	270	188	150	149	179	199	1073	1117	1645	1752	1206	1150	599	81					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21300	210	240	420	290	260	500	220	390	540	1170	1040	300	101	640	190	305	175	335	190	230	490	555	250	220	106	40	310	235	95	76	350	270	245	260	350	290	190	155	153	190	195	1070	1130	1600	1750	1150	1130	615	84					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10860	110	126	257	130	113	298	95	257	285	579	493	169	44	208	86	163	65	170	91	111	304	281	154	117	64	25	163	141	42	37	188	136	124	154	146	121	94	94	85	110	105	535	600	800	846	571	666	268	39					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3444	52	43	68	78	81	96	92	76	117	66	96	90	36	309	66	88	93	79	50	47	60	98	41	33	17	5	58	27	31	25	87	96	86	46	140	111	54	14	17	50	36	61	32	111	87	82	52	131	33					
6	Число погашенных избирательных бюллетеней	6996	48	71	95	82	66	106	33	57	138	525	451	41	21	123	38	54	17	86	49	72	126	176	55	70	25	10	89	67	22	14	75	38	35	60	64	58	42	47	51	30	54	474	498	689	817	497	412	216	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3444	52	43	68	78	81	96	92	76	117	66	96	90	36	309	66	88	93	79	50	47	60	98	41	33	17	5	58	27	31	25	87	96	86	46	140	111	54	14	17	50	36	61	32	111	87	82	52	131	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10860	110	126	257	130	113	298	95	257	285	579	493	169	44	208	86	163	65	170	91	111	304	281	154	117	64	25	163	141	42	37	188	136	124	154	146	121	94	94	85	110	105	535	600	800	846	571	666	268	39					
9	Число недействительных избирательных бюллетеней	120	0	0	5	0	1	2	1	3	3	8	5	2	0	0	1	0	0	1	2	0	0	6	1	4	0	0	2	1	0	0	0	1	1	0	0	1	1	0	0	0	0	10	12	19	7	8	9	3	0					
10	Число действительных избирательных бюллетеней	14184	162	169	320	208	193	392	186	330	399	637	584	257	80	517	151	251	158	248	139	158	364	373	194	146	81	30	219	167	73	62	275	231	209	200	286	231	147	108	102	160	141	586	620	892	926	645	709	396	72					
